ID,Table,Concept
0,1,Barack Obama
1,0,Barack Obama
10,0,Barack Obama
11,0,Barack Obama
12,0,Barack Obama
13,0,Barack Obama
14,0,Barack Obama
15,0,Barack Obama
16,0,Barack Obama
17,0,Barack Obama
18,0,Barack Obama
19,0,Barack Obama
2,0,Barack Obama
20,0,Barack Obama
21,0,Barack Obama
22,0,Barack Obama
23,0,Barack Obama
24,0,Barack Obama
25,0,Barack Obama
26,0,Barack Obama
27,0,Barack Obama
28,0,Barack Obama
29,0,Barack Obama
3,0,Barack Obama
30,0,Barack Obama
31,0,Barack Obama
32,0,Barack Obama
33,0,Barack Obama
34,0,Barack Obama
35,0,Barack Obama
36,0,Barack Obama
37,0,Barack Obama
38,0,Barack Obama
39,0,Barack Obama
4,0,Barack Obama
40,0,Barack Obama
41,0,Barack Obama
42,0,Barack Obama
43,0,Barack Obama
44,0,Barack Obama
45,0,Barack Obama
46,0,Barack Obama
47,0,Barack Obama
48,0,Barack Obama
49,0,Barack Obama
5,0,Barack Obama
50,0,Barack Obama
51,0,Barack Obama
52,0,Barack Obama
53,0,Barack Obama
54,0,Barack Obama
55,0,Barack Obama
56,0,Barack Obama
57,0,Barack Obama
58,0,Barack Obama
59,0,Barack Obama
6,0,Barack Obama
60,0,Barack Obama
61,0,Barack Obama
62,0,Barack Obama
63,0,Barack Obama
64,0,Barack Obama
65,0,Barack Obama
66,0,Barack Obama
67,0,Barack Obama
68,0,Barack Obama
69,0,Barack Obama
7,0,Barack Obama
70,0,Barack Obama
71,0,Barack Obama
72,0,Barack Obama
73,0,Barack Obama
74,0,Barack Obama
75,0,Barack Obama
76,0,Barack Obama
77,0,Barack Obama
78,0,Barack Obama
79,0,Barack Obama
8,0,Barack Obama
80,0,Barack Obama
81,0,Barack Obama
82,0,Barack Obama
83,0,Barack Obama
84,0,Barack Obama
85,0,Barack Obama
86,0,Barack Obama
87,0,Barack Obama
88,0,Barack Obama
89,0,Barack Obama
9,0,Barack Obama
90,0,Barack Obama
91,0,Barack Obama
92,0,Barack Obama
93,0,Barack Obama
94,0,Barack Obama
95,0,Barack Obama
96,0,Barack Obama
97,0,Barack Obama
98,0,Barack Obama
99,0,Barack Obama
0,0,Bernie Sanders
1,0,Bernie Sanders
10,0,Bernie Sanders
11,0,Bernie Sanders
12,0,Bernie Sanders
13,0,Bernie Sanders
