Concept,Iteration,S_Chao1,NumberOfPeople,NumberOfTrials,Prior,Tables,Alpha,Posterior,Chain,ProbabilityOfSameTable
Abraham Lincoln,1,214.0,25,36,Simplicity,22,0.16,-686.7982229113468,1,0.052799999999999965
Abraham Lincoln,2,277.91999999999996,25,36,Simplicity,24,0.16,-687.2874106553196,1,0.04319999999999999
Abraham Lincoln,3,277.91999999999996,25,36,Simplicity,24,0.16,-683.3254077175865,1,0.04319999999999999
Abraham Lincoln,4,128.83999999999997,25,36,Simplicity,23,0.16,-682.8337462393744,1,0.04639999999999998
Abraham Lincoln,5,128.83999999999997,25,36,Simplicity,23,0.16,-682.8337462393744,1,0.04639999999999998
Abraham Lincoln,6,277.91999999999996,25,36,Simplicity,24,0.16,-681.3444062487198,1,0.04319999999999999
Abraham Lincoln,7,128.83999999999997,25,36,Simplicity,23,0.16,-684.814747708241,1,0.04639999999999998
Abraham Lincoln,8,128.83999999999997,25,36,Simplicity,23,0.16,-682.8337462393745,1,0.04639999999999998
Abraham Lincoln,9,277.91999999999996,25,36,Simplicity,24,0.16,-683.3254077175865,1,0.04319999999999999
Barack Obama,1,128.83999999999997,25,36,Simplicity,23,0.16,-676.8907418327747,1,0.04639999999999998
Barack Obama,2,277.91999999999996,25,36,Simplicity,24,0.16,-679.3634047798532,1,0.04319999999999999
Barack Obama,3,79.75999999999999,25,36,Simplicity,22,0.16,-678.3800818234294,1,0.04959999999999999
Barack Obama,4,128.83999999999997,25,36,Simplicity,23,0.16,-676.8907418327747,1,0.04639999999999998
Barack Obama,5,79.75999999999999,25,36,Simplicity,22,0.16,-678.3800818234292,1,0.04959999999999998
Barack Obama,6,79.75999999999999,25,36,Simplicity,22,0.16,-682.3420847611625,1,0.04959999999999997
Barack Obama,7,277.91999999999996,25,36,Simplicity,24,0.16,-679.3634047798532,1,0.04319999999999999
Barack Obama,8,79.75999999999999,25,36,Simplicity,22,0.16,-680.3610832922959,1,0.049599999999999984
Barack Obama,9,79.75999999999999,25,36,Simplicity,22,0.16,-682.3420847611625,1,0.04959999999999997
Bernie Sanders,1,277.91999999999996,25,36,Simplicity,24,0.16,-683.3254077175865,1,0.04319999999999999
Bernie Sanders,2,277.91999999999996,25,36,Simplicity,24,0.16,-679.3634047798532,1,0.04319999999999999
Bernie Sanders,3,128.83999999999997,25,36,Simplicity,23,0.16,-680.8527447705078,1,0.04639999999999998
Bernie Sanders,4,128.83999999999997,25,36,Simplicity,23,0.16,-678.8717433016412,1,0.04639999999999998
