ID,Table,Concept
0,1,Abraham Lincoln
1,1,Abraham Lincoln
10,1,Abraham Lincoln
11,1,Abraham Lincoln
12,1,Abraham Lincoln
13,1,Abraham Lincoln
14,1,Abraham Lincoln
15,1,Abraham Lincoln
16,1,Abraham Lincoln
17,1,Abraham Lincoln
18,1,Abraham Lincoln
19,1,Abraham Lincoln
2,1,Abraham Lincoln
20,1,Abraham Lincoln
21,1,Abraham Lincoln
22,1,Abraham Lincoln
23,1,Abraham Lincoln
24,1,Abraham Lincoln
25,1,Abraham Lincoln
26,1,Abraham Lincoln
27,1,Abraham Lincoln
28,1,Abraham Lincoln
29,1,Abraham Lincoln
3,1,Abraham Lincoln
30,1,Abraham Lincoln
31,1,Abraham Lincoln
32,1,Abraham Lincoln
33,1,Abraham Lincoln
34,1,Abraham Lincoln
35,1,Abraham Lincoln
36,1,Abraham Lincoln
37,1,Abraham Lincoln
38,2,Abraham Lincoln
39,0,Abraham Lincoln
4,1,Abraham Lincoln
40,1,Abraham Lincoln
41,1,Abraham Lincoln
42,1,Abraham Lincoln
43,1,Abraham Lincoln
44,1,Abraham Lincoln
45,1,Abraham Lincoln
46,1,Abraham Lincoln
47,1,Abraham Lincoln
48,1,Abraham Lincoln
49,1,Abraham Lincoln
5,1,Abraham Lincoln
50,1,Abraham Lincoln
51,0,Abraham Lincoln
52,1,Abraham Lincoln
53,1,Abraham Lincoln
54,1,Abraham Lincoln
55,1,Abraham Lincoln
56,1,Abraham Lincoln
57,1,Abraham Lincoln
58,3,Abraham Lincoln
59,1,Abraham Lincoln
6,1,Abraham Lincoln
60,1,Abraham Lincoln
61,1,Abraham Lincoln
62,1,Abraham Lincoln
63,1,Abraham Lincoln
64,1,Abraham Lincoln
65,1,Abraham Lincoln
66,1,Abraham Lincoln
67,1,Abraham Lincoln
68,1,Abraham Lincoln
69,1,Abraham Lincoln
7,1,Abraham Lincoln
70,1,Abraham Lincoln
71,1,Abraham Lincoln
72,1,Abraham Lincoln
73,1,Abraham Lincoln
74,1,Abraham Lincoln
75,1,Abraham Lincoln
76,1,Abraham Lincoln
77,1,Abraham Lincoln
78,1,Abraham Lincoln
79,1,Abraham Lincoln
8,1,Abraham Lincoln
80,1,Abraham Lincoln
81,1,Abraham Lincoln
82,1,Abraham Lincoln
83,1,Abraham Lincoln
84,1,Abraham Lincoln
85,1,Abraham Lincoln
86,1,Abraham Lincoln
87,1,Abraham Lincoln
88,1,Abraham Lincoln
89,1,Abraham Lincoln
9,1,Abraham Lincoln
90,1,Abraham Lincoln
91,1,Abraham Lincoln
92,1,Abraham Lincoln
93,1,Abraham Lincoln
94,1,Abraham Lincoln
95,1,Abraham Lincoln
96,1,Abraham Lincoln
97,1,Abraham Lincoln
98,1,Abraham Lincoln
99,1,Abraham Lincoln
0,20,Barack Obama
1,21,Barack Obama
10,1,Barack Obama
11,12,Barack Obama
12,22,Barack Obama
13,23,Barack Obama
14,12,Barack Obama
15,4,Barack Obama
16,24,Barack Obama
17,13,Barack Obama
18,0,Barack Obama
19,16,Barack Obama
2,9,Barack Obama
20,25,Barack Obama
21,14,Barack Obama
22,7,Barack Obama
23,10,Barack Obama
24,0,Barack Obama
25,26,Barack Obama
26,27,Barack Obama
27,28,Barack Obama
