subject,condition,category,target,choice1,choice2,response1,response2
0,none,animals,a finch,a robin,a chicken,robin,robin
0,none,animals,a finch,a robin,an eagle,robin,robin
0,none,animals,a finch,a robin,an ostrich,robin,robin
0,none,animals,a finch,a robin,a penguin,a robin,robin
0,none,animals,a finch,a robin,a salmon,robin,robin
0,none,animals,a finch,a robin,a seal,robin,robin
0,none,animals,a finch,a robin,a dolphin,robin,robin
0,none,animals,a finch,a robin,a whale,robin,robin
0,none,animals,a finch,a chicken,a robin,robin,robin
0,none,animals,a finch,a chicken,an eagle,chicken,chicken
0,none,animals,a finch,a chicken,an ostrich,chicken,chicken
0,none,animals,a finch,a chicken,a penguin,chicken,penguin
0,none,animals,a finch,a chicken,a salmon,chicken,chicken
0,none,animals,a finch,a chicken,a seal,a chicken,chicken
0,none,animals,a finch,a chicken,a dolphin,chicken,chicken
0,none,animals,a finch,a chicken,a whale,chicken,chicken
0,none,animals,a finch,an eagle,a robin,robin,robin
0,none,animals,a finch,an eagle,a chicken,chicken,chicken
0,none,animals,a finch,an eagle,an ostrich,eagle,an ostrich
0,none,animals,a finch,an eagle,a penguin,eagle,penguin
0,none,animals,a finch,an eagle,a salmon,eagle,salmon
0,none,animals,a finch,an eagle,a seal,eagle,eagle
0,none,animals,a finch,an eagle,a dolphin,eagle,dolphin
0,none,animals,a finch,an eagle,a whale,eagle,eagle
0,none,animals,a finch,an ostrich,a robin,robin,robin
0,none,animals,a finch,an ostrich,a chicken,chicken,a chicken
0,none,animals,a finch,an ostrich,an eagle,eagle,eagle
0,none,animals,a finch,an ostrich,a penguin,penguin,penguin
0,none,animals,a finch,an ostrich,a salmon,salmon,salmon
0,none,animals,a finch,an ostrich,a seal,an ostrich,ostrich
0,none,animals,a finch,an ostrich,a dolphin,an ostrich,dolphin
0,none,animals,a finch,an ostrich,a whale,ostrich,whale
0,none,animals,a finch,a penguin,a robin,robin,robin
0,none,animals,a finch,a penguin,a chicken,penguin,chicken
0,none,animals,a finch,a penguin,an eagle,penguin,eagle
0,none,animals,a finch,a penguin,an ostrich,penguin,penguin
0,none,animals,a finch,a penguin,a salmon,penguin,salmon
0,none,animals,a finch,a penguin,a seal,penguin,penguin
0,none,animals,a finch,a penguin,a dolphin,penguin,penguin
0,none,animals,a finch,a penguin,a whale,penguin,penguin
0,none,animals,a finch,a salmon,a robin,robin,robin
0,none,animals,a finch,a salmon,a chicken,chicken,chicken
0,none,animals,a finch,a salmon,an eagle,salmon,eagle
0,none,animals,a finch,a salmon,an ostrich,salmon,salmon
0,none,animals,a finch,a salmon,a penguin,salmon,penguin
0,none,animals,a finch,a salmon,a seal,salmon,salmon
0,none,animals,a finch,a salmon,a dolphin,salmon,dolphin
0,none,animals,a finch,a salmon,a whale,salmon,salmon
0,none,animals,a finch,a seal,a robin,robin,robin
0,none,animals,a finch,a seal,a chicken,chicken,chicken
0,none,animals,a finch,a seal,an eagle,seal,eagle
0,none,animals,a finch,a seal,an ostrich,seal,an ostrich
0,none,animals,a finch,a seal,a penguin,penguin,penguin
0,none,animals,a finch,a seal,a salmon,salmon,salmon
0,none,animals,a finch,a seal,a dolphin,seal,dolphin
0,none,animals,a finch,a seal,a whale,seal,whale
0,none,animals,a finch,a dolphin,a robin,robin,robin
0,none,animals,a finch,a dolphin,a chicken,chicken,chicken
