"","Concept","ID","Question","ChoiceNumber"
"1","Donald Trump","0","Abraham Lincoln Barack Obama",0
"2","Donald Trump","0","Abraham Lincoln Bernie Sanders",0
"3","Donald Trump","0","Abraham Lincoln Elizabeth Warren",0
"4","Donald Trump","0","Abraham Lincoln George W. Bush",0
"5","Donald Trump","0","Abraham Lincoln Hillary Clinton",0
"6","Donald Trump","0","Abraham Lincoln Joe Biden",0
"7","Donald Trump","0","Abraham Lincoln Richard Nixon",1
"8","Donald Trump","0","Abraham Lincoln Ronald Reagan",1
"9","Donald Trump","0","Barack Obama Abraham Lincoln",0
"10","Donald Trump","0","Barack Obama Bernie Sanders",0
"11","Donald Trump","0","Barack Obama Elizabeth Warren",0
"12","Donald Trump","0","Barack Obama George W. Bush",1
"13","Donald Trump","0","Barack Obama Hillary Clinton",0
"14","Donald Trump","0","Barack Obama Joe Biden",1
"15","Donald Trump","0","Barack Obama Richard Nixon",0
"16","Donald Trump","0","Barack Obama Ronald Reagan",1
"17","Donald Trump","0","Bernie Sanders Abraham Lincoln",1
"18","Donald Trump","0","Bernie Sanders Barack Obama",1
"19","Donald Trump","0","Bernie Sanders Elizabeth Warren",1
"20","Donald Trump","0","Bernie Sanders George W. Bush",1
"21","Donald Trump","0","Bernie Sanders Hillary Clinton",0
"22","Donald Trump","0","Bernie Sanders Joe Biden",0
"23","Donald Trump","0","Bernie Sanders Richard Nixon",1
"24","Donald Trump","0","Bernie Sanders Ronald Reagan",1
"25","Donald Trump","0","Elizabeth Warren Abraham Lincoln",1
"26","Donald Trump","0","Elizabeth Warren Barack Obama",1
"27","Donald Trump","0","Elizabeth Warren Bernie Sanders",0
"28","Donald Trump","0","Elizabeth Warren George W. Bush",1
"29","Donald Trump","0","Elizabeth Warren Hillary Clinton",1
"30","Donald Trump","0","Elizabeth Warren Joe Biden",1
"31","Donald Trump","0","Elizabeth Warren Richard Nixon",1
"32","Donald Trump","0","Elizabeth Warren Ronald Reagan",1
"33","Donald Trump","0","George W. Bush Abraham Lincoln",1
"34","Donald Trump","0","George W. Bush Barack Obama",0
"35","Donald Trump","0","George W. Bush Bernie Sanders",1
"36","Donald Trump","0","George W. Bush Elizabeth Warren",0
"37","Donald Trump","0","George W. Bush Hillary Clinton",0
"38","Donald Trump","0","George W. Bush Joe Biden",1
"39","Donald Trump","0","George W. Bush Richard Nixon",0
"40","Donald Trump","0","George W. Bush Ronald Reagan",0
"41","Donald Trump","0","Hillary Clinton Abraham Lincoln",1
"42","Donald Trump","0","Hillary Clinton Barack Obama",1
