Concept,Iteration,S_Chao1,NumberOfPeople,NumberOfTrials,Prior,Tables,Alpha,Posterior,Chain,ProbabilityOfSameTable
Hillary Clinton,1,11.336666666666666,25,36,Simplicity,10,0.16,-610.3596845954445,1,0.14879999999999996
Hillary Clinton,2,20.758333333333333,25,36,Simplicity,11,0.16,-611.4794638081788,1,0.16479999999999995
Hillary Clinton,3,19.64,25,36,Simplicity,11,0.16,-612.4765804891749,1,0.15519999999999995
Hillary Clinton,4,9.516666666666667,25,36,Simplicity,9,0.16,-608.5151393828882,1,0.17119999999999994
Hillary Clinton,5,9.516666666666667,25,36,Simplicity,9,0.16,-608.5151393828882,1,0.17119999999999994
Hillary Clinton,6,12.536,25,36,Simplicity,11,0.16,-611.7443469153055,1,0.15519999999999992
Hillary Clinton,7,14.0,25,36,Simplicity,11,0.16,-617.4591205704768,1,0.16159999999999994
Hillary Clinton,8,11.92,25,36,Simplicity,10,0.16,-619.399703411106,1,0.18719999999999992
Hillary Clinton,9,9.516666666666667,25,36,Simplicity,9,0.16,-610.5211770224595,1,0.17119999999999996
Donald Trump,1,16.456,25,36,Simplicity,13,0.16,-643.7825206581148,1,0.10720000000000005
Donald Trump,2,12.559999999999999,25,36,Simplicity,10,0.16,-641.4906674666817,1,0.1488
Donald Trump,3,14.68,25,36,Simplicity,7,0.16,-627.5479974433254,1,0.3216
Donald Trump,4,16.6,25,36,Simplicity,7,0.16,-615.6345382853618,1,0.4432
Donald Trump,5,9.32,25,36,Simplicity,5,0.16,-592.3521432094883,1,0.6512000000000002
Donald Trump,6,2.0,25,36,Simplicity,2,0.16,-587.4599540461495,1,0.9232
Donald Trump,7,3.96,25,36,Simplicity,3,0.16,-585.0662906679393,1,0.8496000000000001
Donald Trump,8,3.96,25,36,Simplicity,3,0.16,-585.0662906679393,1,0.8496000000000001
Donald Trump,9,6.88,25,36,Simplicity,4,0.16,-586.3025885090024,1,0.7792000000000001
Joe Biden,1,18.64,25,36,Simplicity,10,0.16,-609.9265643754547,1,0.24159999999999993
Joe Biden,2,8.879999999999999,25,36,Simplicity,6,0.16,-592.047860933805,1,0.3472
Joe Biden,3,6.92,25,36,Simplicity,5,0.16,-581.5352893447468,1,0.5424
Joe Biden,4,3.96,25,36,Simplicity,3,0.16,-559.6917526329569,1,0.8496000000000001
Joe Biden,5,2.0,25,36,Simplicity,2,0.16,-554.4215007591075,1,0.9232
Joe Biden,6,10.76,25,36,Simplicity,5,0.16,-556.2736308832727,1,0.7120000000000001
Joe Biden,7,3.96,25,36,Simplicity,3,0.16,-553.5667347132987,1,0.8496000000000001
Joe Biden,8,2.0,25,36,Simplicity,2,0.16,-555.0560747039533,1,0.8528
Joe Biden,9,3.96,25,36,Simplicity,3,0.16,-553.5667347132987,1,0.8496000000000001
Elizabeth Warren,1,13.84,25,36,Simplicity,10,0.16,-610.7905840302034,1,0.14559999999999995
Elizabeth Warren,2,27.28,25,36,Simplicity,10,0.16,-601.7462158043811,1,0.19999999999999993
Elizabeth Warren,3,15.68,25,36,Simplicity,8,0.16,-593.1235780572741,1,0.2448
Elizabeth Warren,4,11.32,25,36,Simplicity,7,0.16,-595.9341198023474,1,0.2768
Elizabeth Warren,5,15.68,25,36,Simplicity,8,0.16,-593.1235780572741,1,0.2448
Elizabeth Warren,6,5.96,25,36,Simplicity,5,0.16,-587.6048524123387,1,0.3376
Elizabeth Warren,7,3.0,25,36,Simplicity,3,0.16,-587.7925317805048,1,0.4304
Elizabeth Warren,8,4.48,25,36,Simplicity,4,0.16,-587.566579367208,1,0.39519999999999994
Elizabeth Warren,9,4.0,25,36,Simplicity,4,0.16,-587.753960565029,1,0.3696
Ronald Reagan,1,22.999166666666667,25,36,Simplicity,10,0.16,-624.1385376939226,1,0.15199999999999994
Ronald Reagan,2,14.64,25,36,Simplicity,8,0.16,-624.5391010388388,1,0.2032
Ronald Reagan,3,21.0,25,36,Simplicity,9,0.16,-601.9656718131246,1,0.19679999999999997
Ronald Reagan,4,30.16,25,36,Simplicity,10,0.16,-598.4953303536034,1,0.19359999999999997
Ronald Reagan,5,30.16,25,36,Simplicity,10,0.16,-598.4953303536034,1,0.19359999999999997
Ronald Reagan,6,23.4,25,36,Simplicity,9,0.16,-601.6249710905118,1,0.21919999999999995
Ronald Reagan,7,11.76,25,36,Simplicity,6,0.16,-590.0095525403019,1,0.456
Ronald Reagan,8,5.92,25,36,Simplicity,4,0.16,-583.5123146868921,1,0.7152
Ronald Reagan,9,2.0,25,36,Simplicity,2,0.16,-562.46662615413,1,0.9232
Bernie Sanders,1,11.84,25,36,Simplicity,8,0.16,-612.3297936877241,1,0.2704
Bernie Sanders,2,10.32,25,36,Simplicity,6,0.16,-602.245217956001,1,0.36
Bernie Sanders,3,10.32,25,36,Simplicity,6,0.16,-600.8261731950523,1,0.36000000000000004
Bernie Sanders,4,6.92,25,36,Simplicity,5,0.16,-598.6652041929536,1,0.3824
Bernie Sanders,5,7.88,25,36,Simplicity,5,0.16,-597.5516463541143,1,0.4208
Bernie Sanders,6,7.88,25,36,Simplicity,5,0.16,-598.0135074621394,1,0.4208
Bernie Sanders,7,3.0,25,36,Simplicity,3,0.16,-589.7916126827855,1,0.5776
Bernie Sanders,8,3.0,25,36,Simplicity,3,0.16,-579.9666008631923,1,0.7215999999999999
