ID,Table,Concept
6,0,Bernie Sanders
13,0,Bernie Sanders
27,0,Bernie Sanders
31,0,Bernie Sanders
33,0,Bernie Sanders
50,0,Bernie Sanders
86,0,Bernie Sanders
89,0,Bernie Sanders
90,0,Bernie Sanders
106,0,Bernie Sanders
109,0,Bernie Sanders
113,0,Bernie Sanders
122,0,Bernie Sanders
132,0,Bernie Sanders
150,0,Bernie Sanders
157,0,Bernie Sanders
170,0,Bernie Sanders
184,0,Bernie Sanders
204,0,Bernie Sanders
207,0,Bernie Sanders
209,0,Bernie Sanders
210,0,Bernie Sanders
226,0,Bernie Sanders
239,0,Bernie Sanders
240,0,Bernie Sanders
241,0,Bernie Sanders
255,0,Bernie Sanders
257,0,Bernie Sanders
263,0,Bernie Sanders
274,0,Bernie Sanders
277,0,Bernie Sanders
283,0,Bernie Sanders
291,0,Bernie Sanders
293,0,Bernie Sanders
298,0,Bernie Sanders
304,0,Bernie Sanders
310,0,Bernie Sanders
316,0,Bernie Sanders
335,0,Bernie Sanders
346,0,Bernie Sanders
352,0,Bernie Sanders
373,0,Bernie Sanders
379,0,Bernie Sanders
382,0,Bernie Sanders
406,0,Bernie Sanders
408,0,Bernie Sanders
433,1,Bernie Sanders
446,0,Bernie Sanders
449,0,Bernie Sanders
451,0,Bernie Sanders
457,0,Bernie Sanders
459,0,Bernie Sanders
468,0,Bernie Sanders
485,0,Bernie Sanders
487,0,Bernie Sanders
499,0,Bernie Sanders
510,0,Bernie Sanders
514,0,Bernie Sanders
533,0,Bernie Sanders
551,0,Bernie Sanders
562,0,Bernie Sanders
567,0,Bernie Sanders
577,0,Bernie Sanders
592,0,Bernie Sanders
593,0,Bernie Sanders
603,0,Bernie Sanders
627,0,Bernie Sanders
630,0,Bernie Sanders
653,0,Bernie Sanders
662,0,Bernie Sanders
675,0,Bernie Sanders
688,0,Bernie Sanders
699,0,Bernie Sanders
707,0,Bernie Sanders
716,0,Bernie Sanders
732,0,Bernie Sanders
743,0,Bernie Sanders
744,0,Bernie Sanders
747,0,Bernie Sanders
748,0,Bernie Sanders
775,0,Bernie Sanders
785,0,Bernie Sanders
787,0,Bernie Sanders
792,0,Bernie Sanders
793,0,Bernie Sanders
810,0,Bernie Sanders
819,0,Bernie Sanders
843,0,Bernie Sanders
844,0,Bernie Sanders
858,0,Bernie Sanders
863,0,Bernie Sanders
869,0,Bernie Sanders
879,0,Bernie Sanders
21,1,Abraham Lincoln
25,3,Abraham Lincoln
51,4,Abraham Lincoln
78,3,Abraham Lincoln
83,3,Abraham Lincoln
87,3,Abraham Lincoln
101,3,Abraham Lincoln
124,3,Abraham Lincoln
144,2,Abraham Lincoln
145,3,Abraham Lincoln
156,3,Abraham Lincoln
165,3,Abraham Lincoln
171,3,Abraham Lincoln
173,3,Abraham Lincoln
175,3,Abraham Lincoln
176,3,Abraham Lincoln
182,3,Abraham Lincoln
193,3,Abraham Lincoln
215,0,Abraham Lincoln
220,3,Abraham Lincoln
231,3,Abraham Lincoln
233,3,Abraham Lincoln
246,3,Abraham Lincoln
249,1,Abraham Lincoln
266,3,Abraham Lincoln
268,3,Abraham Lincoln
288,3,Abraham Lincoln
295,2,Abraham Lincoln
302,0,Abraham Lincoln
305,3,Abraham Lincoln
309,1,Abraham Lincoln
326,3,Abraham Lincoln
328,3,Abraham Lincoln
344,3,Abraham Lincoln
359,3,Abraham Lincoln
365,3,Abraham Lincoln
392,1,Abraham Lincoln
413,3,Abraham Lincoln
435,3,Abraham Lincoln
442,3,Abraham Lincoln
447,3,Abraham Lincoln
448,3,Abraham Lincoln
452,3,Abraham Lincoln
495,3,Abraham Lincoln
501,3,Abraham Lincoln
502,3,Abraham Lincoln
507,3,Abraham Lincoln
539,3,Abraham Lincoln
553,3,Abraham Lincoln
576,3,Abraham Lincoln
579,2,Abraham Lincoln
582,3,Abraham Lincoln
598,5,Abraham Lincoln
599,2,Abraham Lincoln
622,2,Abraham Lincoln
624,2,Abraham Lincoln
640,3,Abraham Lincoln
642,3,Abraham Lincoln
649,3,Abraham Lincoln
650,3,Abraham Lincoln
654,3,Abraham Lincoln
658,3,Abraham Lincoln
677,3,Abraham Lincoln
678,3,Abraham Lincoln
690,3,Abraham Lincoln
712,3,Abraham Lincoln
717,3,Abraham Lincoln
722,3,Abraham Lincoln
761,3,Abraham Lincoln
769,2,Abraham Lincoln
772,3,Abraham Lincoln
800,3,Abraham Lincoln
805,3,Abraham Lincoln
818,3,Abraham Lincoln
831,3,Abraham Lincoln
855,3,Abraham Lincoln
871,3,Abraham Lincoln
873,3,Abraham Lincoln
874,3,Abraham Lincoln
880,3,Abraham Lincoln
892,3,Abraham Lincoln
895,2,Abraham Lincoln
0,0,a salmon
4,0,a salmon
7,0,a salmon
28,0,a salmon
34,0,a salmon
37,0,a salmon
48,0,a salmon
68,0,a salmon
80,1,a salmon
94,0,a salmon
97,0,a salmon
102,0,a salmon
103,0,a salmon
117,0,a salmon
118,0,a salmon
123,0,a salmon
128,0,a salmon
129,0,a salmon
131,0,a salmon
141,0,a salmon
143,0,a salmon
151,0,a salmon
168,0,a salmon
180,0,a salmon
189,0,a salmon
191,0,a salmon
212,0,a salmon
224,0,a salmon
227,0,a salmon
236,0,a salmon
273,0,a salmon
279,0,a salmon
308,0,a salmon
321,0,a salmon
331,0,a salmon
333,0,a salmon
340,0,a salmon
347,0,a salmon
350,0,a salmon
374,0,a salmon
384,0,a salmon
389,0,a salmon
402,0,a salmon
405,0,a salmon
419,0,a salmon
423,0,a salmon
440,0,a salmon
460,0,a salmon
470,0,a salmon
491,0,a salmon
493,0,a salmon
496,0,a salmon
497,0,a salmon
512,0,a salmon
524,0,a salmon
526,0,a salmon
530,0,a salmon
534,0,a salmon
541,0,a salmon
557,0,a salmon
564,0,a salmon
568,0,a salmon
575,0,a salmon
604,0,a salmon
638,0,a salmon
656,0,a salmon
664,0,a salmon
682,0,a salmon
695,0,a salmon
700,0,a salmon
714,0,a salmon
734,0,a salmon
735,0,a salmon
780,0,a salmon
786,0,a salmon
788,0,a salmon
795,0,a salmon
798,0,a salmon
801,0,a salmon
837,0,a salmon
840,0,a salmon
842,0,a salmon
886,0,a salmon
899,0,a salmon
3,0,an ostrich
9,1,an ostrich
15,1,an ostrich
20,0,an ostrich
32,0,an ostrich
35,1,an ostrich
45,0,an ostrich
71,1,an ostrich
73,0,an ostrich
92,1,an ostrich
105,0,an ostrich
112,0,an ostrich
115,0,an ostrich
137,0,an ostrich
155,0,an ostrich
172,1,an ostrich
181,0,an ostrich
186,0,an ostrich
196,0,an ostrich
234,1,an ostrich
235,1,an ostrich
269,0,an ostrich
287,0,an ostrich
290,0,an ostrich
296,0,an ostrich
300,0,an ostrich
303,1,an ostrich
307,0,an ostrich
364,0,an ostrich
367,0,an ostrich
368,0,an ostrich
386,0,an ostrich
388,0,an ostrich
391,1,an ostrich
400,0,an ostrich
403,0,an ostrich
409,0,an ostrich
412,0,an ostrich
415,0,an ostrich
418,0,an ostrich
422,1,an ostrich
427,0,an ostrich
437,0,an ostrich
450,0,an ostrich
473,0,an ostrich
478,1,an ostrich
482,0,an ostrich
494,0,an ostrich
516,0,an ostrich
517,0,an ostrich
521,0,an ostrich
523,0,an ostrich
527,0,an ostrich
532,0,an ostrich
548,0,an ostrich
549,0,an ostrich
584,0,an ostrich
587,1,an ostrich
589,0,an ostrich
590,0,an ostrich
600,0,an ostrich
610,1,an ostrich
618,0,an ostrich
625,1,an ostrich
631,0,an ostrich
637,0,an ostrich
645,0,an ostrich
655,0,an ostrich
659,0,an ostrich
660,1,an ostrich
663,0,an ostrich
665,1,an ostrich
666,0,an ostrich
667,0,an ostrich
672,0,an ostrich
692,0,an ostrich
696,0,an ostrich
697,0,an ostrich
718,0,an ostrich
727,0,an ostrich
730,0,an ostrich
749,0,an ostrich
750,1,an ostrich
754,0,an ostrich
757,0,an ostrich
796,0,an ostrich
822,0,an ostrich
829,0,an ostrich
832,0,an ostrich
834,0,an ostrich
846,0,an ostrich
864,0,an ostrich
877,0,an ostrich
885,0,an ostrich
893,0,an ostrich
5,1,a whale
22,1,a whale
26,2,a whale
42,1,a whale
44,1,a whale
59,1,a whale
63,1,a whale
65,2,a whale
75,0,a whale
93,1,a whale
95,2,a whale
116,0,a whale
120,1,a whale
121,2,a whale
135,1,a whale
140,0,a whale
158,0,a whale
166,2,a whale
187,0,a whale
208,1,a whale
225,1,a whale
228,2,a whale
313,1,a whale
315,0,a whale
323,2,a whale
325,2,a whale
332,2,a whale
334,0,a whale
339,2,a whale
354,0,a whale
356,1,a whale
357,2,a whale
361,1,a whale
378,2,a whale
383,1,a whale
385,2,a whale
387,2,a whale
393,1,a whale
394,0,a whale
407,0,a whale
416,2,a whale
417,0,a whale
424,0,a whale
425,1,a whale
431,0,a whale
432,0,a whale
434,0,a whale
455,1,a whale
462,1,a whale
464,0,a whale
465,1,a whale
466,2,a whale
472,2,a whale
481,2,a whale
515,2,a whale
528,2,a whale
529,2,a whale
531,1,a whale
537,2,a whale
538,1,a whale
543,1,a whale
546,2,a whale
565,0,a whale
566,1,a whale
571,0,a whale
586,2,a whale
606,2,a whale
612,0,a whale
614,2,a whale
616,2,a whale
634,2,a whale
646,1,a whale
669,1,a whale
683,0,a whale
684,2,a whale
715,1,a whale
720,2,a whale
723,2,a whale
746,2,a whale
752,2,a whale
759,1,a whale
762,2,a whale
764,0,a whale
770,2,a whale
779,1,a whale
783,0,a whale
790,2,a whale
797,1,a whale
803,2,a whale
809,0,a whale
820,2,a whale
862,1,a whale
875,2,a whale
884,2,a whale
887,0,a whale
6,0,a chicken
13,0,a chicken
27,0,a chicken
31,0,a chicken
33,0,a chicken
50,0,a chicken
86,0,a chicken
89,0,a chicken
90,0,a chicken
106,0,a chicken
109,0,a chicken
111,0,a chicken
113,0,a chicken
122,0,a chicken
132,0,a chicken
150,0,a chicken
157,0,a chicken
170,0,a chicken
184,0,a chicken
204,0,a chicken
207,0,a chicken
209,0,a chicken
210,0,a chicken
226,0,a chicken
239,0,a chicken
240,0,a chicken
241,0,a chicken
255,0,a chicken
257,0,a chicken
263,0,a chicken
274,0,a chicken
277,0,a chicken
283,0,a chicken
291,0,a chicken
293,0,a chicken
298,0,a chicken
304,0,a chicken
310,0,a chicken
316,0,a chicken
335,0,a chicken
346,0,a chicken
352,0,a chicken
373,0,a chicken
379,0,a chicken
382,0,a chicken
406,0,a chicken
408,0,a chicken
433,0,a chicken
446,0,a chicken
449,0,a chicken
451,0,a chicken
457,0,a chicken
459,0,a chicken
468,0,a chicken
485,0,a chicken
487,0,a chicken
499,0,a chicken
506,0,a chicken
510,0,a chicken
514,0,a chicken
518,0,a chicken
533,0,a chicken
551,0,a chicken
562,0,a chicken
567,0,a chicken
569,0,a chicken
577,0,a chicken
592,0,a chicken
593,0,a chicken
603,0,a chicken
627,0,a chicken
630,0,a chicken
653,0,a chicken
662,0,a chicken
670,0,a chicken
675,0,a chicken
688,0,a chicken
699,0,a chicken
707,0,a chicken
716,0,a chicken
732,0,a chicken
743,0,a chicken
744,0,a chicken
747,0,a chicken
748,0,a chicken
775,0,a chicken
785,0,a chicken
787,0,a chicken
792,0,a chicken
793,0,a chicken
819,0,a chicken
843,0,a chicken
844,0,a chicken
858,0,a chicken
869,0,a chicken
879,0,a chicken
14,1,a penguin
18,1,a penguin
57,1,a penguin
58,2,a penguin
61,1,a penguin
108,1,a penguin
133,1,a penguin
138,1,a penguin
152,1,a penguin
160,1,a penguin
