Concept,ID,Question,ChoiceNumber
Hillary Clinton,0,Barack Obama Bernie Sanders,1
Hillary Clinton,0,Barack Obama Donald Trump,0
Hillary Clinton,0,Barack Obama Elizabeth Warren,0
Hillary Clinton,0,Barack Obama Joe Biden,0
Hillary Clinton,0,Barack Obama Richard Nixon,1
Hillary Clinton,0,Bernie Sanders Donald Trump,0
Hillary Clinton,0,Bernie Sanders George W. Bush,0
Hillary Clinton,0,Bernie Sanders Richard Nixon,0
Hillary Clinton,0,Donald Trump Elizabeth Warren,0
Hillary Clinton,0,Donald Trump Richard Nixon,0
Hillary Clinton,0,Elizabeth Warren Richard Nixon,1
Hillary Clinton,0,Elizabeth Warren Ronald Reagan,0
Hillary Clinton,0,George W. Bush Ronald Reagan,0
Hillary Clinton,0,Richard Nixon Ronald Reagan,0
Donald Trump,1,Abraham Lincoln Barack Obama,0
Donald Trump,1,Abraham Lincoln Bernie Sanders,0
Donald Trump,1,Abraham Lincoln Hillary Clinton,0
Donald Trump,1,Abraham Lincoln Joe Biden,0
Donald Trump,1,Abraham Lincoln Ronald Reagan,0
Donald Trump,1,Barack Obama Richard Nixon,0
Donald Trump,1,Elizabeth Warren Hillary Clinton,0
Donald Trump,1,Elizabeth Warren Richard Nixon,0
Donald Trump,1,Elizabeth Warren Ronald Reagan,0
Donald Trump,1,Hillary Clinton Richard Nixon,0
Joe Biden,2,Abraham Lincoln Donald Trump,1
Joe Biden,2,Abraham Lincoln George W. Bush,1
Joe Biden,2,Abraham Lincoln Hillary Clinton,0
Joe Biden,2,Barack Obama Donald Trump,0
Joe Biden,2,Bernie Sanders Donald Trump,0
Joe Biden,2,Bernie Sanders Elizabeth Warren,0
Joe Biden,2,Bernie Sanders Richard Nixon,0
Joe Biden,2,Donald Trump Elizabeth Warren,0
Joe Biden,2,Elizabeth Warren Richard Nixon,0
Joe Biden,2,Hillary Clinton Ronald Reagan,0
Elizabeth Warren,3,Abraham Lincoln Joe Biden,0
Elizabeth Warren,3,Bernie Sanders Donald Trump,0
Elizabeth Warren,3,Bernie Sanders Joe Biden,0
Elizabeth Warren,3,Bernie Sanders Ronald Reagan,0
Elizabeth Warren,3,George W. Bush Hillary Clinton,0
Elizabeth Warren,3,George W. Bush Richard Nixon,0
Elizabeth Warren,3,Joe Biden Richard Nixon,0
Elizabeth Warren,3,Joe Biden Ronald Reagan,0
Elizabeth Warren,3,Richard Nixon Ronald Reagan,0
Hillary Clinton,4,Barack Obama Joe Biden,1
Hillary Clinton,4,Bernie Sanders Joe Biden,0
Hillary Clinton,4,Bernie Sanders Richard Nixon,0
