Concept,ID,Question,ChoiceNumber
Hillary Clinton,0,Abraham Lincoln George W. Bush,0
Hillary Clinton,0,Barack Obama Donald Trump,0
Hillary Clinton,0,Bernie Sanders Ronald Reagan,1
Hillary Clinton,0,Donald Trump Elizabeth Warren,0
Hillary Clinton,0,Donald Trump Joe Biden,0
Hillary Clinton,0,George W. Bush Joe Biden,0
Donald Trump,1,Abraham Lincoln George W. Bush,0
Donald Trump,1,Barack Obama Joe Biden,0
Donald Trump,1,Bernie Sanders George W. Bush,0
Donald Trump,1,Bernie Sanders Hillary Clinton,0
Joe Biden,2,Abraham Lincoln Ronald Reagan,0
Joe Biden,2,Barack Obama Donald Trump,0
Joe Biden,2,Barack Obama Elizabeth Warren,0
Joe Biden,2,Barack Obama Hillary Clinton,0
Joe Biden,2,Barack Obama Richard Nixon,1
Joe Biden,2,Bernie Sanders Elizabeth Warren,0
Joe Biden,2,Bernie Sanders George W. Bush,0
Joe Biden,2,Donald Trump Ronald Reagan,0
Joe Biden,2,Elizabeth Warren George W. Bush,0
Elizabeth Warren,3,Abraham Lincoln Richard Nixon,0
Elizabeth Warren,3,Barack Obama Donald Trump,0
Elizabeth Warren,3,Donald Trump Richard Nixon,0
Elizabeth Warren,3,Donald Trump Ronald Reagan,0
Elizabeth Warren,3,Richard Nixon Ronald Reagan,0
Hillary Clinton,4,Abraham Lincoln Barack Obama,0
Hillary Clinton,4,Barack Obama Bernie Sanders,0
Hillary Clinton,4,Barack Obama George W. Bush,0
Hillary Clinton,4,Bernie Sanders George W. Bush,0
Hillary Clinton,4,Donald Trump Elizabeth Warren,0
Hillary Clinton,4,Donald Trump George W. Bush,0
Hillary Clinton,4,Elizabeth Warren Richard Nixon,0
Hillary Clinton,4,Elizabeth Warren Ronald Reagan,0
Ronald Reagan,5,Abraham Lincoln Donald Trump,0
Ronald Reagan,5,Abraham Lincoln Richard Nixon,0
Ronald Reagan,5,Barack Obama Elizabeth Warren,0
Ronald Reagan,5,Barack Obama George W. Bush,0
Ronald Reagan,5,Bernie Sanders Elizabeth Warren,0
Ronald Reagan,5,Bernie Sanders George W. Bush,1
Ronald Reagan,5,Bernie Sanders Hillary Clinton,0
Ronald Reagan,5,Hillary Clinton Richard Nixon,0
Ronald Reagan,5,Joe Biden Richard Nixon,1
Bernie Sanders,6,Abraham Lincoln Joe Biden,0
Bernie Sanders,6,Barack Obama Joe Biden,0
Bernie Sanders,6,Donald Trump George W. Bush,0
Bernie Sanders,6,George W. Bush Ronald Reagan,0
Bernie Sanders,6,Joe Biden Richard Nixon,1
Bernie Sanders,6,Richard Nixon Ronald Reagan,0
Hillary Clinton,7,Abraham Lincoln Barack Obama,0
Hillary Clinton,7,Abraham Lincoln Elizabeth Warren,0
Hillary Clinton,7,Barack Obama Elizabeth Warren,0
Hillary Clinton,7,Barack Obama Ronald Reagan,0
Hillary Clinton,7,Bernie Sanders Donald Trump,0
Hillary Clinton,7,Bernie Sanders Elizabeth Warren,0
Hillary Clinton,7,Bernie Sanders Joe Biden,0
Hillary Clinton,7,Joe Biden Richard Nixon,0
Hillary Clinton,7,Richard Nixon Ronald Reagan,0
Joe Biden,8,Barack Obama Hillary Clinton,0
Joe Biden,8,Barack Obama Ronald Reagan,0
Joe Biden,8,Bernie Sanders Donald Trump,0
Joe Biden,8,Bernie Sanders Elizabeth Warren,0
Joe Biden,8,Bernie Sanders Hillary Clinton,0
Joe Biden,8,Donald Trump George W. Bush,0
Joe Biden,8,Elizabeth Warren George W. Bush,0
Joe Biden,8,George W. Bush Ronald Reagan,0
Elizabeth Warren,9,Abraham Lincoln Richard Nixon,0
Elizabeth Warren,9,Donald Trump Ronald Reagan,0
Elizabeth Warren,9,George W. Bush Hillary Clinton,0
Donald Trump,10,Elizabeth Warren George W. Bush,1
Donald Trump,10,George W. Bush Hillary Clinton,0
Donald Trump,10,Joe Biden Ronald Reagan,0
Joe Biden,11,Abraham Lincoln Donald Trump,0
Joe Biden,11,Abraham Lincoln Hillary Clinton,0
Joe Biden,11,Barack Obama Ronald Reagan,0
Joe Biden,11,Bernie Sanders Elizabeth Warren,0
Joe Biden,11,Elizabeth Warren Ronald Reagan,0
Joe Biden,12,Barack Obama George W. Bush,0
Joe Biden,12,George W. Bush Hillary Clinton,0
Joe Biden,12,George W. Bush Ronald Reagan,0
Bernie Sanders,13,Donald Trump Elizabeth Warren,0
George W. Bush,14,Barack Obama Donald Trump,0
George W. Bush,14,Donald Trump Hillary Clinton,0
George W. Bush,14,Hillary Clinton Richard Nixon,0
George W. Bush,14,Joe Biden Ronald Reagan,0
George W. Bush,14,Richard Nixon Ronald Reagan,0
Elizabeth Warren,15,Abraham Lincoln Ronald Reagan,0
Elizabeth Warren,15,Bernie Sanders Hillary Clinton,0
Elizabeth Warren,15,Donald Trump Joe Biden,0
Elizabeth Warren,15,Joe Biden Ronald Reagan,0
Barack Obama,16,Abraham Lincoln George W. Bush,0
Barack Obama,16,Donald Trump Ronald Reagan,0
Barack Obama,16,George W. Bush Joe Biden,0
Joe Biden,17,Abraham Lincoln Hillary Clinton,0
Joe Biden,17,Abraham Lincoln Richard Nixon,0
Joe Biden,17,Abraham Lincoln Ronald Reagan,0
Joe Biden,17,Barack Obama Donald Trump,0
Joe Biden,17,George W. Bush Richard Nixon,0
Joe Biden,17,Hillary Clinton Ronald Reagan,0
George W. Bush,18,Abraham Lincoln Richard Nixon,0
George W. Bush,18,Barack Obama Elizabeth Warren,0
George W. Bush,18,Bernie Sanders Elizabeth Warren,0
George W. Bush,18,Bernie Sanders Hillary Clinton,0
George W. Bush,18,Donald Trump Elizabeth Warren,0
George W. Bush,18,Donald Trump Joe Biden,0
George W. Bush,18,Donald Trump Richard Nixon,0
George W. Bush,18,Hillary Clinton Ronald Reagan,0
George W. Bush,18,Joe Biden Richard Nixon,0
Barack Obama,19,Abraham Lincoln Richard Nixon,1
Barack Obama,19,Bernie Sanders Joe Biden,0
Barack Obama,19,Bernie Sanders Richard Nixon,0
Barack Obama,19,Donald Trump Elizabeth Warren,0
Barack Obama,19,Joe Biden Richard Nixon,1
Elizabeth Warren,20,Abraham Lincoln Donald Trump,0
Elizabeth Warren,20,Barack Obama Donald Trump,0
Elizabeth Warren,20,Barack Obama George W. Bush,0
Elizabeth Warren,20,Bernie Sanders Richard Nixon,0
Elizabeth Warren,20,Joe Biden Ronald Reagan,1
Elizabeth Warren,20,Richard Nixon Ronald Reagan,1
Abraham Lincoln,21,Bernie Sanders George W. Bush,0
Ronald Reagan,22,Abraham Lincoln Richard Nixon,0
Ronald Reagan,22,Barack Obama Hillary Clinton,0
Ronald Reagan,22,Bernie Sanders Donald Trump,0
Ronald Reagan,22,Bernie Sanders Joe Biden,1
Ronald Reagan,22,Donald Trump Hillary Clinton,0
George W. Bush,23,Abraham Lincoln Bernie Sanders,0
George W. Bush,23,Bernie Sanders Elizabeth Warren,0
George W. Bush,23,Bernie Sanders Joe Biden,0
George W. Bush,23,Bernie Sanders Ronald Reagan,0
George W. Bush,23,Donald Trump Elizabeth Warren,0
George W. Bush,23,Donald Trump Ronald Reagan,0
George W. Bush,23,Elizabeth Warren Joe Biden,0
Richard Nixon,24,Abraham Lincoln Hillary Clinton,0
Richard Nixon,24,Bernie Sanders Hillary Clinton,1
Abraham Lincoln,25,Richard Nixon Ronald Reagan,0
Ronald Reagan,26,Abraham Lincoln Barack Obama,1
Ronald Reagan,26,Barack Obama Donald Trump,0
Ronald Reagan,26,Bernie Sanders Donald Trump,0
Ronald Reagan,26,George W. Bush Hillary Clinton,0
Bernie Sanders,27,Abraham Lincoln Barack Obama,0
Bernie Sanders,27,Abraham Lincoln Elizabeth Warren,0
Bernie Sanders,27,Barack Obama Joe Biden,0
Bernie Sanders,27,Elizabeth Warren Richard Nixon,0
Bernie Sanders,27,George W. Bush Joe Biden,1
Bernie Sanders,27,Joe Biden Richard Nixon,0
Hillary Clinton,28,Abraham Lincoln Bernie Sanders,0
Hillary Clinton,28,Abraham Lincoln George W. Bush,0
Hillary Clinton,28,Donald Trump George W. Bush,0
Hillary Clinton,28,Donald Trump Joe Biden,0
Hillary Clinton,28,George W. Bush Ronald Reagan,0
Hillary Clinton,28,Richard Nixon Ronald Reagan,0
Donald Trump,29,Abraham Lincoln George W. Bush,0
Donald Trump,29,Abraham Lincoln Richard Nixon,0
Donald Trump,29,Barack Obama George W. Bush,0
Donald Trump,29,Elizabeth Warren George W. Bush,0
Donald Trump,29,Elizabeth Warren Richard Nixon,0
Donald Trump,29,Joe Biden Ronald Reagan,0
Richard Nixon,30,Barack Obama Donald Trump,0
Richard Nixon,30,Barack Obama Elizabeth Warren,0
Richard Nixon,30,Barack Obama George W. Bush,0
Richard Nixon,30,Bernie Sanders Joe Biden,0
Richard Nixon,30,Donald Trump Elizabeth Warren,0
Richard Nixon,30,Donald Trump Ronald Reagan,0
Richard Nixon,30,Elizabeth Warren Joe Biden,0
Richard Nixon,30,Hillary Clinton Joe Biden,0
Bernie Sanders,31,Abraham Lincoln George W. Bush,1
Bernie Sanders,31,Barack Obama Hillary Clinton,0
Bernie Sanders,31,Barack Obama Joe Biden,0
Bernie Sanders,31,Barack Obama Richard Nixon,0
Bernie Sanders,31,Elizabeth Warren Ronald Reagan,1
Bernie Sanders,31,George W. Bush Hillary Clinton,0
Bernie Sanders,31,George W. Bush Ronald Reagan,1
Elizabeth Warren,32,Abraham Lincoln Barack Obama,1
Elizabeth Warren,32,Abraham Lincoln Ronald Reagan,0
Elizabeth Warren,32,Barack Obama George W. Bush,0
Elizabeth Warren,32,Barack Obama Joe Biden,1
Elizabeth Warren,32,Bernie Sanders Richard Nixon,0
Elizabeth Warren,32,Donald Trump Hillary Clinton,0
Elizabeth Warren,32,Donald Trump Joe Biden,0
Bernie Sanders,33,Abraham Lincoln Hillary Clinton,0
Bernie Sanders,33,Abraham Lincoln Ronald Reagan,0
Bernie Sanders,33,Barack Obama Donald Trump,0
Bernie Sanders,33,Barack Obama Joe Biden,0
Bernie Sanders,33,George W. Bush Hillary Clinton,0
Bernie Sanders,33,Joe Biden Ronald Reagan,1
Hillary Clinton,34,Barack Obama Bernie Sanders,1
Hillary Clinton,34,Barack Obama Elizabeth Warren,0
Hillary Clinton,34,Bernie Sanders Elizabeth Warren,0
Hillary Clinton,34,Bernie Sanders Ronald Reagan,0
Hillary Clinton,34,Joe Biden Ronald Reagan,1
Elizabeth Warren,35,Abraham Lincoln Donald Trump,0
Elizabeth Warren,35,Abraham Lincoln Richard Nixon,0
Elizabeth Warren,35,Barack Obama Bernie Sanders,0
Elizabeth Warren,35,Barack Obama Hillary Clinton,0
Elizabeth Warren,35,Bernie Sanders Richard Nixon,0
Elizabeth Warren,35,Hillary Clinton Joe Biden,1
Elizabeth Warren,35,Joe Biden Ronald Reagan,0
Richard Nixon,36,Donald Trump Elizabeth Warren,1
