Concept,Iteration,S_Chao1,NumberOfPeople,NumberOfTrials,Prior,Tables,Alpha,Posterior,Chain,ProbabilityOfSameTable
Hillary Clinton,1,1.0,11,36,Simplicity,1,0.16,-101.30220201019608,1,1.0
Hillary Clinton,2,1.0,11,36,Simplicity,1,0.16,-101.30220201019608,1,1.0
Hillary Clinton,3,1.0,11,36,Simplicity,1,0.16,-101.30220201019608,1,1.0
Hillary Clinton,4,1.0,11,36,Simplicity,1,0.16,-101.30220201019608,1,1.0
Hillary Clinton,5,1.0,11,36,Simplicity,1,0.16,-101.30220201019608,1,1.0
Hillary Clinton,6,1.0,11,36,Simplicity,1,0.16,-101.30220201019608,1,1.0
Hillary Clinton,7,1.0,11,36,Simplicity,1,0.16,-101.30220201019608,1,1.0
Hillary Clinton,8,1.0,11,36,Simplicity,1,0.16,-101.30220201019608,1,1.0
Hillary Clinton,9,1.0,11,36,Simplicity,1,0.16,-101.30220201019608,1,1.0
Elizabeth Warren,1,3.0,11,36,Simplicity,3,0.16,-126.02490651497061,1,0.42148760330578505
Elizabeth Warren,2,2.0,11,36,Simplicity,2,0.16,-109.25018496341974,1,0.5041322314049586
Elizabeth Warren,3,2.0,11,36,Simplicity,2,0.16,-108.07006033305521,1,0.5371900826446281
Elizabeth Warren,4,2.0,11,36,Simplicity,2,0.16,-101.01127048296307,1,0.8347107438016528
Elizabeth Warren,5,1.0,11,36,Simplicity,1,0.16,-76.59596975638928,1,1.0
Elizabeth Warren,6,1.0,11,36,Simplicity,1,0.16,-76.59596975638928,1,1.0
Elizabeth Warren,7,1.0,11,36,Simplicity,1,0.16,-76.59596975638928,1,1.0
Elizabeth Warren,8,1.0,11,36,Simplicity,1,0.16,-76.59596975638928,1,1.0
Elizabeth Warren,9,1.0,11,36,Simplicity,1,0.16,-76.59596975638928,1,1.0
Ronald Reagan,1,1.0,12,36,Simplicity,1,0.16,-102.23393677818186,1,1.0
Ronald Reagan,2,1.0,12,36,Simplicity,1,0.16,-102.23393677818186,1,1.0
Ronald Reagan,3,1.0,12,36,Simplicity,1,0.16,-102.23393677818186,1,1.0
Ronald Reagan,4,1.0,12,36,Simplicity,1,0.16,-102.23393677818186,1,1.0
Ronald Reagan,5,1.0,12,36,Simplicity,1,0.16,-102.23393677818186,1,1.0
Ronald Reagan,6,1.0,12,36,Simplicity,1,0.16,-102.23393677818186,1,1.0
Ronald Reagan,7,1.0,12,36,Simplicity,1,0.16,-102.23393677818186,1,1.0
Ronald Reagan,8,1.0,12,36,Simplicity,1,0.16,-102.23393677818186,1,1.0
Ronald Reagan,9,1.0,12,36,Simplicity,1,0.16,-102.23393677818186,1,1.0
Bernie Sanders,1,2.0,25,36,Simplicity,2,0.16,-203.89734365988522,1,0.7888
Bernie Sanders,2,2.0,25,36,Simplicity,2,0.16,-203.89734365988522,1,0.7888
Bernie Sanders,3,2.0,25,36,Simplicity,2,0.16,-203.89734365988522,1,0.7888
Bernie Sanders,4,2.0,25,36,Simplicity,2,0.16,-203.89734365988522,1,0.7888
Bernie Sanders,5,2.0,25,36,Simplicity,2,0.16,-203.89734365988522,1,0.7888
Bernie Sanders,6,2.0,25,36,Simplicity,2,0.16,-203.89734365988522,1,0.7888
Bernie Sanders,7,2.0,25,36,Simplicity,2,0.16,-203.89734365988522,1,0.7888
Bernie Sanders,8,2.0,25,36,Simplicity,2,0.16,-203.89734365988522,1,0.7888
Bernie Sanders,9,2.0,25,36,Simplicity,2,0.16,-203.89734365988522,1,0.7888
Joe Biden,1,1.0,3,36,Simplicity,1,0.16,-43.686814567241136,1,1.0
Joe Biden,2,1.0,3,36,Simplicity,1,0.16,-43.686814567241136,1,1.0
Joe Biden,3,1.0,3,36,Simplicity,1,0.16,-43.686814567241136,1,1.0
Joe Biden,4,1.0,3,36,Simplicity,1,0.16,-43.686814567241136,1,1.0
Joe Biden,5,1.0,3,36,Simplicity,1,0.16,-43.686814567241136,1,1.0
Joe Biden,6,1.0,3,36,Simplicity,1,0.16,-43.686814567241136,1,1.0
