ID,Table,Concept
0,0,a salmon
4,1,a salmon
7,0,a salmon
28,0,a salmon
34,1,a salmon
37,0,a salmon
48,1,a salmon
68,0,a salmon
80,0,a salmon
94,0,a salmon
97,0,a salmon
102,1,a salmon
103,0,a salmon
117,1,a salmon
118,0,a salmon
123,0,a salmon
128,1,a salmon
129,0,a salmon
131,0,a salmon
141,1,a salmon
143,0,a salmon
151,0,a salmon
168,0,a salmon
180,0,a salmon
189,0,a salmon
191,0,a salmon
212,0,a salmon
217,0,a salmon
224,0,a salmon
227,0,a salmon
236,0,a salmon
273,0,a salmon
279,0,a salmon
308,0,a salmon
321,1,a salmon
331,1,a salmon
333,0,a salmon
340,1,a salmon
347,0,a salmon
350,1,a salmon
369,0,a salmon
374,1,a salmon
384,0,a salmon
389,1,a salmon
402,0,a salmon
405,0,a salmon
419,0,a salmon
423,0,a salmon
440,0,a salmon
460,1,a salmon
470,0,a salmon
491,0,a salmon
493,0,a salmon
496,1,a salmon
497,0,a salmon
512,1,a salmon
524,0,a salmon
526,0,a salmon
530,0,a salmon
541,0,a salmon
557,0,a salmon
568,0,a salmon
575,0,a salmon
604,0,a salmon
638,1,a salmon
656,1,a salmon
664,0,a salmon
682,1,a salmon
700,0,a salmon
714,0,a salmon
734,0,a salmon
735,0,a salmon
780,1,a salmon
786,1,a salmon
788,0,a salmon
795,0,a salmon
798,0,a salmon
801,0,a salmon
837,0,a salmon
840,0,a salmon
842,0,a salmon
886,0,a salmon
899,0,a salmon
1,1,an eagle
10,1,an eagle
29,1,an eagle
47,0,an eagle
52,1,an eagle
55,0,an eagle
60,0,an eagle
66,1,an eagle
125,1,an eagle
126,0,an eagle
130,0,an eagle
139,1,an eagle
148,1,an eagle
163,1,an eagle
167,0,an eagle
190,0,an eagle
197,1,an eagle
206,0,an eagle
211,0,an eagle
213,1,an eagle
230,1,an eagle
242,0,an eagle
248,1,an eagle
251,0,an eagle
254,0,an eagle
265,0,an eagle
267,0,an eagle
270,1,an eagle
292,0,an eagle
306,1,an eagle
342,1,an eagle
343,1,an eagle
360,0,an eagle
370,0,an eagle
372,0,an eagle
376,0,an eagle
414,0,an eagle
420,0,an eagle
428,0,an eagle
430,1,an eagle
438,0,an eagle
