Concept,Iteration,S_Chao1,NumberOfPeople,NumberOfTrials,Prior,Tables,Alpha,Posterior,Chain,ProbabilityOfSameTable
Hillary Clinton,1,2.0,25,36,Simplicity,2,0.16,-153.06577758413687,1,0.7888
Hillary Clinton,2,2.0,25,36,Simplicity,2,0.16,-152.9796310333202,1,0.8528
Hillary Clinton,3,2.0,25,36,Simplicity,2,0.16,-153.06577758413687,1,0.7888
Hillary Clinton,4,2.0,25,36,Simplicity,2,0.16,-153.06577758413687,1,0.7888
Hillary Clinton,5,2.0,25,36,Simplicity,2,0.16,-152.9796310333202,1,0.8528
Hillary Clinton,6,2.0,25,36,Simplicity,2,0.16,-153.06577758413687,1,0.7888
Hillary Clinton,7,1.0,25,36,Simplicity,1,0.16,-140.11379619404224,1,1.0
Hillary Clinton,8,1.0,25,36,Simplicity,1,0.16,-140.11379619404224,1,1.0
Hillary Clinton,9,1.0,25,36,Simplicity,1,0.16,-140.11379619404224,1,1.0
Donald Trump,1,3.0,25,36,Simplicity,3,0.16,-255.7336625161723,1,0.35359999999999997
Donald Trump,2,3.0,25,36,Simplicity,3,0.16,-253.61375340448512,1,0.3472
Donald Trump,3,3.0,25,36,Simplicity,3,0.16,-254.6876455581874,1,0.37920000000000004
Donald Trump,4,3.0,25,36,Simplicity,3,0.16,-251.03425909223034,1,0.49119999999999997
Donald Trump,5,2.0,25,36,Simplicity,2,0.16,-220.97588782484027,1,0.6352
Donald Trump,6,2.0,25,36,Simplicity,2,0.16,-221.9243418673097,1,0.6800000000000002
Donald Trump,7,2.0,25,36,Simplicity,2,0.16,-216.9955833480251,1,0.7888
Donald Trump,8,1.0,25,36,Simplicity,1,0.16,-193.46140826755263,1,1.0
Donald Trump,9,1.0,25,36,Simplicity,1,0.16,-193.46140826755263,1,1.0
Joe Biden,1,2.0,25,36,Simplicity,2,0.16,-140.00956965885592,1,0.5392
Joe Biden,2,2.0,25,36,Simplicity,2,0.16,-143.82960812427103,1,0.6800000000000002
Joe Biden,3,2.0,25,36,Simplicity,2,0.16,-143.37653166675972,1,0.6352
Joe Biden,4,2.0,25,36,Simplicity,2,0.16,-142.12268876762187,1,0.7888
Joe Biden,5,1.0,25,36,Simplicity,1,0.16,-107.41401965927832,1,1.0
Joe Biden,6,1.0,25,36,Simplicity,1,0.16,-107.41401965927832,1,1.0
Joe Biden,7,1.0,25,36,Simplicity,1,0.16,-107.41401965927832,1,1.0
Joe Biden,8,1.0,25,36,Simplicity,1,0.16,-107.41401965927832,1,1.0
Joe Biden,9,1.0,25,36,Simplicity,1,0.16,-107.41401965927832,1,1.0
Elizabeth Warren,1,4.48,25,36,Simplicity,4,0.16,-210.50461949059545,1,0.5104000000000001
Elizabeth Warren,2,2.0,25,36,Simplicity,2,0.16,-168.06884466961253,1,0.6800000000000002
Elizabeth Warren,3,2.0,25,36,Simplicity,2,0.16,-168.06884466961253,1,0.6800000000000002
Elizabeth Warren,4,2.0,25,36,Simplicity,2,0.16,-167.51644600612894,1,0.7888
Elizabeth Warren,5,2.0,25,36,Simplicity,2,0.16,-167.51644600612894,1,0.7888
Elizabeth Warren,6,2.0,25,36,Simplicity,2,0.16,-167.30171248943822,1,0.9232
Elizabeth Warren,7,1.0,25,36,Simplicity,1,0.16,-144.92956493550633,1,1.0
Elizabeth Warren,8,1.0,25,36,Simplicity,1,0.16,-144.92956493550633,1,1.0
Elizabeth Warren,9,1.0,25,36,Simplicity,1,0.16,-144.92956493550633,1,1.0
Ronald Reagan,1,5.48,25,36,Simplicity,5,0.16,-328.40548964176503,1,0.2928
Ronald Reagan,2,4.96,25,36,Simplicity,4,0.16,-312.17731588057546,1,0.4464
Ronald Reagan,3,2.0,25,36,Simplicity,2,0.16,-278.62769332309233,1,0.52
Ronald Reagan,4,2.0,25,36,Simplicity,2,0.16,-273.59440248852513,1,0.5968
Ronald Reagan,5,2.0,25,36,Simplicity,2,0.16,-269.09726550112254,1,0.7311999999999999
Ronald Reagan,6,2.0,25,36,Simplicity,2,0.16,-269.09726550112254,1,0.7311999999999999
Ronald Reagan,7,2.0,25,36,Simplicity,2,0.16,-275.63628186535004,1,0.6800000000000002
Ronald Reagan,8,2.0,25,36,Simplicity,2,0.16,-263.8431726462647,1,0.9232
Ronald Reagan,9,1.0,25,36,Simplicity,1,0.16,-243.9271049649051,1,1.0
Bernie Sanders,1,4.0,25,36,Simplicity,4,0.16,-255.56867065942563,1,0.264
Bernie Sanders,2,4.0,25,36,Simplicity,4,0.16,-254.6056374206011,1,0.2896
Bernie Sanders,3,3.0,25,36,Simplicity,3,0.16,-225.3952080419221,1,0.6672000000000001
Bernie Sanders,4,1.0,25,36,Simplicity,1,0.16,-165.26628290137427,1,1.0
Bernie Sanders,5,1.0,25,36,Simplicity,1,0.16,-165.26628290137427,1,1.0
Bernie Sanders,6,1.0,25,36,Simplicity,1,0.16,-165.26628290137427,1,1.0
Bernie Sanders,7,1.0,25,36,Simplicity,1,0.16,-165.26628290137427,1,1.0
Bernie Sanders,8,1.0,25,36,Simplicity,1,0.16,-165.26628290137427,1,1.0
Bernie Sanders,9,1.0,25,36,Simplicity,1,0.16,-165.26628290137427,1,1.0
George W. Bush,1,4.22,25,36,Simplicity,4,0.16,-301.34803262061325,1,0.5040000000000001
George W. Bush,2,1.0,25,36,Simplicity,1,0.16,-219.87999452314156,1,1.0
George W. Bush,3,1.0,25,36,Simplicity,1,0.16,-219.87999452314156,1,1.0
George W. Bush,4,1.0,25,36,Simplicity,1,0.16,-219.87999452314156,1,1.0
George W. Bush,5,1.0,25,36,Simplicity,1,0.16,-219.87999452314156,1,1.0
George W. Bush,6,1.0,25,36,Simplicity,1,0.16,-219.87999452314156,1,1.0
George W. Bush,7,1.0,25,36,Simplicity,1,0.16,-219.87999452314156,1,1.0
George W. Bush,8,1.0,25,36,Simplicity,1,0.16,-219.87999452314156,1,1.0
George W. Bush,9,1.0,25,36,Simplicity,1,0.16,-219.87999452314156,1,1.0
Barack Obama,1,2.0,25,36,Simplicity,2,0.16,-164.2670034374429,1,0.6800000000000002
Barack Obama,2,2.0,25,36,Simplicity,2,0.16,-148.99337913135196,1,0.8528
Barack Obama,3,1.0,25,36,Simplicity,1,0.16,-123.40452955915734,1,1.0
Barack Obama,4,1.0,25,36,Simplicity,1,0.16,-123.40452955915734,1,1.0
Barack Obama,5,1.0,25,36,Simplicity,1,0.16,-123.40452955915734,1,1.0
Barack Obama,6,1.0,25,36,Simplicity,1,0.16,-123.40452955915734,1,1.0
Barack Obama,7,1.0,25,36,Simplicity,1,0.16,-123.40452955915734,1,1.0
Barack Obama,8,1.0,25,36,Simplicity,1,0.16,-123.40452955915734,1,1.0
Barack Obama,9,1.0,25,36,Simplicity,1,0.16,-123.40452955915734,1,1.0
Abraham Lincoln,1,2.0,25,36,Simplicity,2,0.16,-139.49853925908954,1,0.8528
Abraham Lincoln,2,1.0,25,36,Simplicity,1,0.16,-114.93381393439398,1,1.0
Abraham Lincoln,3,1.0,25,36,Simplicity,1,0.16,-114.93381393439398,1,1.0
Abraham Lincoln,4,1.0,25,36,Simplicity,1,0.16,-114.93381393439398,1,1.0
Abraham Lincoln,5,1.0,25,36,Simplicity,1,0.16,-114.93381393439398,1,1.0
Abraham Lincoln,6,1.0,25,36,Simplicity,1,0.16,-114.93381393439398,1,1.0
Abraham Lincoln,7,1.0,25,36,Simplicity,1,0.16,-114.93381393439398,1,1.0
Abraham Lincoln,8,1.0,25,36,Simplicity,1,0.16,-114.93381393439398,1,1.0
Abraham Lincoln,9,1.0,25,36,Simplicity,1,0.16,-114.93381393439398,1,1.0
Richard Nixon,1,4.48,25,36,Simplicity,4,0.16,-238.61723807267842,1,0.44639999999999996
Richard Nixon,2,2.0,25,36,Simplicity,2,0.16,-190.5772695805793,1,0.6352
Richard Nixon,3,2.0,25,36,Simplicity,2,0.16,-189.11877374566262,1,0.7311999999999999
Richard Nixon,4,1.0,25,36,Simplicity,1,0.16,-156.26492348786107,1,1.0
Richard Nixon,5,1.0,25,36,Simplicity,1,0.16,-156.26492348786107,1,1.0
Richard Nixon,6,1.0,25,36,Simplicity,1,0.16,-156.26492348786107,1,1.0
Richard Nixon,7,1.0,25,36,Simplicity,1,0.16,-156.26492348786107,1,1.0
Richard Nixon,8,1.0,25,36,Simplicity,1,0.16,-156.26492348786107,1,1.0
Richard Nixon,9,1.0,25,36,Simplicity,1,0.16,-156.26492348786107,1,1.0
a salmon,1,2.0,25,36,Simplicity,2,0.16,-255.90902760530295,1,0.5392
a salmon,2,2.0,25,36,Simplicity,2,0.16,-250.68319332396058,1,0.6352
a salmon,3,2.0,25,36,Simplicity,2,0.16,-249.02370134599425,1,0.7311999999999999
a salmon,4,2.0,25,36,Simplicity,2,0.16,-245.1267174499675,1,0.7888
a salmon,5,2.0,25,36,Simplicity,2,0.16,-241.28639043089976,1,0.8528
a salmon,6,2.0,25,36,Simplicity,2,0.16,-241.28639043089976,1,0.8528
a salmon,7,1.0,25,36,Simplicity,1,0.16,-223.66210028583055,1,1.0
a salmon,8,1.0,25,36,Simplicity,1,0.16,-223.66210028583055,1,1.0
a salmon,9,1.0,25,36,Simplicity,1,0.16,-223.66210028583055,1,1.0
an eagle,1,1.0,25,36,Simplicity,1,0.16,-92.67634145758186,1,1.0
an eagle,2,1.0,25,36,Simplicity,1,0.16,-92.67634145758186,1,1.0
an eagle,3,1.0,25,36,Simplicity,1,0.16,-92.67634145758186,1,1.0
an eagle,4,1.0,25,36,Simplicity,1,0.16,-92.67634145758186,1,1.0
an eagle,5,1.0,25,36,Simplicity,1,0.16,-92.67634145758186,1,1.0
an eagle,6,1.0,25,36,Simplicity,1,0.16,-92.67634145758186,1,1.0
an eagle,7,1.0,25,36,Simplicity,1,0.16,-92.67634145758186,1,1.0
an eagle,8,1.0,25,36,Simplicity,1,0.16,-92.67634145758186,1,1.0
