ID,Table,Concept
0,0,Hillary Clinton
4,0,Hillary Clinton
7,1,Hillary Clinton
28,2,Hillary Clinton
34,0,Hillary Clinton
37,1,Hillary Clinton
48,0,Hillary Clinton
68,1,Hillary Clinton
80,0,Hillary Clinton
94,0,Hillary Clinton
97,0,Hillary Clinton
102,2,Hillary Clinton
103,0,Hillary Clinton
117,0,Hillary Clinton
118,0,Hillary Clinton
123,0,Hillary Clinton
128,0,Hillary Clinton
129,0,Hillary Clinton
131,0,Hillary Clinton
141,0,Hillary Clinton
143,2,Hillary Clinton
151,0,Hillary Clinton
168,0,Hillary Clinton
180,0,Hillary Clinton
189,0,Hillary Clinton
191,0,Hillary Clinton
212,0,Hillary Clinton
217,0,Hillary Clinton
227,0,Hillary Clinton
236,0,Hillary Clinton
279,0,Hillary Clinton
308,0,Hillary Clinton
321,0,Hillary Clinton
331,0,Hillary Clinton
333,0,Hillary Clinton
340,0,Hillary Clinton
347,0,Hillary Clinton
350,0,Hillary Clinton
369,0,Hillary Clinton
384,2,Hillary Clinton
389,0,Hillary Clinton
402,0,Hillary Clinton
405,0,Hillary Clinton
419,1,Hillary Clinton
423,1,Hillary Clinton
440,0,Hillary Clinton
460,0,Hillary Clinton
470,0,Hillary Clinton
491,0,Hillary Clinton
493,0,Hillary Clinton
496,2,Hillary Clinton
497,0,Hillary Clinton
512,0,Hillary Clinton
524,1,Hillary Clinton
526,1,Hillary Clinton
530,0,Hillary Clinton
534,2,Hillary Clinton
541,0,Hillary Clinton
557,0,Hillary Clinton
564,1,Hillary Clinton
568,0,Hillary Clinton
575,1,Hillary Clinton
604,0,Hillary Clinton
638,0,Hillary Clinton
656,2,Hillary Clinton
664,0,Hillary Clinton
682,0,Hillary Clinton
695,0,Hillary Clinton
700,2,Hillary Clinton
714,2,Hillary Clinton
734,0,Hillary Clinton
735,0,Hillary Clinton
780,0,Hillary Clinton
786,1,Hillary Clinton
788,2,Hillary Clinton
795,0,Hillary Clinton
798,0,Hillary Clinton
801,0,Hillary Clinton
837,0,Hillary Clinton
840,0,Hillary Clinton
842,0,Hillary Clinton
886,0,Hillary Clinton
1,0,Donald Trump
10,1,Donald Trump
29,0,Donald Trump
39,0,Donald Trump
47,0,Donald Trump
52,0,Donald Trump
55,0,Donald Trump
60,0,Donald Trump
66,2,Donald Trump
125,0,Donald Trump
126,2,Donald Trump
130,0,Donald Trump
139,0,Donald Trump
148,2,Donald Trump
163,0,Donald Trump
167,2,Donald Trump
190,0,Donald Trump
197,0,Donald Trump
205,0,Donald Trump
206,1,Donald Trump
211,2,Donald Trump
213,2,Donald Trump
230,2,Donald Trump
242,2,Donald Trump
248,0,Donald Trump
251,0,Donald Trump
254,0,Donald Trump
265,0,Donald Trump
267,2,Donald Trump
270,0,Donald Trump
292,2,Donald Trump
306,0,Donald Trump
342,0,Donald Trump
343,1,Donald Trump
360,0,Donald Trump
370,1,Donald Trump
376,2,Donald Trump
414,2,Donald Trump
420,1,Donald Trump
428,0,Donald Trump
430,2,Donald Trump
438,0,Donald Trump
443,0,Donald Trump
471,1,Donald Trump
476,0,Donald Trump
480,0,Donald Trump
488,0,Donald Trump
503,1,Donald Trump
508,0,Donald Trump
513,0,Donald Trump
520,1,Donald Trump
522,1,Donald Trump
555,0,Donald Trump
559,0,Donald Trump
560,0,Donald Trump
572,2,Donald Trump
591,1,Donald Trump
594,0,Donald Trump
613,2,Donald Trump
620,2,Donald Trump
626,2,Donald Trump
676,1,Donald Trump
709,0,Donald Trump
719,0,Donald Trump
725,2,Donald Trump
738,0,Donald Trump
740,0,Donald Trump
771,1,Donald Trump
776,0,Donald Trump
806,0,Donald Trump
808,0,Donald Trump
813,2,Donald Trump
824,0,Donald Trump
838,1,Donald Trump
847,2,Donald Trump
851,0,Donald Trump
852,2,Donald Trump
868,2,Donald Trump
870,1,Donald Trump
872,1,Donald Trump
878,0,Donald Trump
891,2,Donald Trump
2,0,Joe Biden
8,0,Joe Biden
11,1,Joe Biden
12,0,Joe Biden
17,0,Joe Biden
49,0,Joe Biden
54,0,Joe Biden
67,0,Joe Biden
70,0,Joe Biden
74,0,Joe Biden
82,0,Joe Biden
84,0,Joe Biden
85,1,Joe Biden
88,1,Joe Biden
99,0,Joe Biden
104,0,Joe Biden
107,0,Joe Biden
159,0,Joe Biden
161,0,Joe Biden
174,0,Joe Biden
192,0,Joe Biden
195,1,Joe Biden
216,1,Joe Biden
219,1,Joe Biden
243,1,Joe Biden
245,0,Joe Biden
247,1,Joe Biden
250,0,Joe Biden
253,0,Joe Biden
271,0,Joe Biden
272,1,Joe Biden
285,0,Joe Biden
301,1,Joe Biden
317,0,Joe Biden
318,0,Joe Biden
327,0,Joe Biden
338,1,Joe Biden
345,0,Joe Biden
366,0,Joe Biden
375,1,Joe Biden
381,0,Joe Biden
399,0,Joe Biden
436,0,Joe Biden
439,0,Joe Biden
444,0,Joe Biden
454,0,Joe Biden
463,0,Joe Biden
475,0,Joe Biden
484,0,Joe Biden
492,0,Joe Biden
542,1,Joe Biden
552,1,Joe Biden
573,0,Joe Biden
581,0,Joe Biden
607,0,Joe Biden
609,0,Joe Biden
611,0,Joe Biden
615,1,Joe Biden
635,0,Joe Biden
639,0,Joe Biden
679,0,Joe Biden
681,0,Joe Biden
713,0,Joe Biden
721,1,Joe Biden
726,0,Joe Biden
737,0,Joe Biden
739,1,Joe Biden
741,0,Joe Biden
768,0,Joe Biden
773,1,Joe Biden
777,0,Joe Biden
781,0,Joe Biden
784,1,Joe Biden
816,0,Joe Biden
817,1,Joe Biden
827,0,Joe Biden
839,1,Joe Biden
845,0,Joe Biden
848,1,Joe Biden
856,1,Joe Biden
861,1,Joe Biden
883,0,Joe Biden
889,0,Joe Biden
897,1,Joe Biden
3,0,Elizabeth Warren
9,0,Elizabeth Warren
15,0,Elizabeth Warren
20,0,Elizabeth Warren
32,0,Elizabeth Warren
35,0,Elizabeth Warren
45,0,Elizabeth Warren
71,0,Elizabeth Warren
73,0,Elizabeth Warren
92,0,Elizabeth Warren
105,0,Elizabeth Warren
112,0,Elizabeth Warren
115,0,Elizabeth Warren
127,0,Elizabeth Warren
137,0,Elizabeth Warren
155,0,Elizabeth Warren
172,0,Elizabeth Warren
181,0,Elizabeth Warren
186,0,Elizabeth Warren
196,0,Elizabeth Warren
234,0,Elizabeth Warren
235,0,Elizabeth Warren
269,0,Elizabeth Warren
287,0,Elizabeth Warren
290,0,Elizabeth Warren
296,0,Elizabeth Warren
300,0,Elizabeth Warren
303,0,Elizabeth Warren
307,0,Elizabeth Warren
364,0,Elizabeth Warren
367,0,Elizabeth Warren
368,0,Elizabeth Warren
386,0,Elizabeth Warren
388,0,Elizabeth Warren
391,0,Elizabeth Warren
400,0,Elizabeth Warren
403,0,Elizabeth Warren
409,0,Elizabeth Warren
412,0,Elizabeth Warren
415,0,Elizabeth Warren
418,0,Elizabeth Warren
422,0,Elizabeth Warren
