Concept,Iteration,S_Chao1,NumberOfPeople,NumberOfTrials,Prior,Tables,Alpha,Posterior,Chain,ProbabilityOfSameTable
Hillary Clinton,1,2.0,25,36,Simplicity,2,0.16,-113.88494412083583,1,0.7311999999999999
Hillary Clinton,2,1.0,25,36,Simplicity,1,0.16,-71.40892874968017,1,1.0
Hillary Clinton,3,1.0,25,36,Simplicity,1,0.16,-71.40892874968017,1,1.0
Hillary Clinton,4,1.0,25,36,Simplicity,1,0.16,-71.40892874968017,1,1.0
Hillary Clinton,5,1.0,25,36,Simplicity,1,0.16,-71.40892874968017,1,1.0
Hillary Clinton,6,1.0,25,36,Simplicity,1,0.16,-71.40892874968017,1,1.0
Hillary Clinton,7,1.0,25,36,Simplicity,1,0.16,-71.40892874968017,1,1.0
Hillary Clinton,8,1.0,25,36,Simplicity,1,0.16,-71.40892874968017,1,1.0
Hillary Clinton,9,1.0,25,36,Simplicity,1,0.16,-71.40892874968017,1,1.0
Donald Trump,1,2.0,21,36,Simplicity,2,0.16,-112.6092108146616,1,0.8276643990929706
Donald Trump,2,1.0,21,36,Simplicity,1,0.16,-96.1987080523254,1,1.0
Donald Trump,3,1.0,21,36,Simplicity,1,0.16,-96.1987080523254,1,1.0
Donald Trump,4,1.0,21,36,Simplicity,1,0.16,-96.1987080523254,1,1.0
Donald Trump,5,1.0,21,36,Simplicity,1,0.16,-96.1987080523254,1,1.0
Donald Trump,6,1.0,21,36,Simplicity,1,0.16,-96.1987080523254,1,1.0
Donald Trump,7,1.0,21,36,Simplicity,1,0.16,-96.1987080523254,1,1.0
Donald Trump,8,1.0,21,36,Simplicity,1,0.16,-96.1987080523254,1,1.0
Donald Trump,9,1.0,21,36,Simplicity,1,0.16,-96.1987080523254,1,1.0
Joe Biden,1,2.0,25,36,Simplicity,2,0.16,-85.88463924216347,1,0.9232
Joe Biden,2,1.0,25,36,Simplicity,1,0.16,-73.12729448795403,1,1.0
Joe Biden,3,1.0,25,36,Simplicity,1,0.16,-73.12729448795403,1,1.0
Joe Biden,4,1.0,25,36,Simplicity,1,0.16,-73.12729448795403,1,1.0
Joe Biden,5,1.0,25,36,Simplicity,1,0.16,-73.12729448795403,1,1.0
Joe Biden,6,1.0,25,36,Simplicity,1,0.16,-73.12729448795403,1,1.0
Joe Biden,7,1.0,25,36,Simplicity,1,0.16,-73.12729448795403,1,1.0
Joe Biden,8,1.0,25,36,Simplicity,1,0.16,-73.12729448795403,1,1.0
Joe Biden,9,1.0,25,36,Simplicity,1,0.16,-73.12729448795403,1,1.0
Elizabeth Warren,1,1.0,25,36,Simplicity,1,0.16,-63.397642265278726,1,1.0
Elizabeth Warren,2,1.0,25,36,Simplicity,1,0.16,-63.397642265278726,1,1.0
Elizabeth Warren,3,1.0,25,36,Simplicity,1,0.16,-63.397642265278726,1,1.0
Elizabeth Warren,4,1.0,25,36,Simplicity,1,0.16,-63.397642265278726,1,1.0
Elizabeth Warren,5,1.0,25,36,Simplicity,1,0.16,-63.397642265278726,1,1.0
Elizabeth Warren,6,1.0,25,36,Simplicity,1,0.16,-63.397642265278726,1,1.0
Elizabeth Warren,7,1.0,25,36,Simplicity,1,0.16,-63.397642265278726,1,1.0
Elizabeth Warren,8,1.0,25,36,Simplicity,1,0.16,-63.397642265278726,1,1.0
Elizabeth Warren,9,1.0,25,36,Simplicity,1,0.16,-63.397642265278726,1,1.0
Ronald Reagan,1,2.0,25,36,Simplicity,2,0.16,-110.08145127767713,1,0.7311999999999999
Ronald Reagan,2,1.0,25,36,Simplicity,1,0.16,-71.1040212987256,1,1.0
Ronald Reagan,3,1.0,25,36,Simplicity,1,0.16,-71.1040212987256,1,1.0
