Concept,Iteration,S_Chao1,NumberOfPeople,NumberOfTrials,Prior,Tables,Alpha,Posterior,Chain,ProbabilityOfSameTable
a salmon,1,2.0,25,36,Simplicity,2,0.16,-165.42233359531812,1,0.5968
a salmon,2,2.0,25,36,Simplicity,2,0.16,-170.99643205529551,1,0.5392
a salmon,3,2.0,25,36,Simplicity,2,0.16,-165.42233359531812,1,0.5968
a salmon,4,2.0,25,36,Simplicity,2,0.16,-166.85510170123266,1,0.6352
a salmon,5,2.0,25,36,Simplicity,2,0.16,-168.33037566094833,1,0.6800000000000002
a salmon,6,2.0,25,36,Simplicity,2,0.16,-165.42233359531812,1,0.5968
a salmon,7,2.0,25,36,Simplicity,2,0.16,-165.42233359531812,1,0.5968
a salmon,8,2.0,25,36,Simplicity,2,0.16,-165.42233359531812,1,0.5968
a salmon,9,2.0,25,36,Simplicity,2,0.16,-165.42233359531812,1,0.5968
an eagle,1,2.0,25,36,Simplicity,2,0.16,-128.72823785123916,1,0.8528
an eagle,2,1.0,25,36,Simplicity,1,0.16,-94.16714729357187,1,1.0
an eagle,3,1.0,25,36,Simplicity,1,0.16,-94.16714729357187,1,1.0
an eagle,4,1.0,25,36,Simplicity,1,0.16,-94.16714729357187,1,1.0
an eagle,5,1.0,25,36,Simplicity,1,0.16,-94.16714729357187,1,1.0
an eagle,6,1.0,25,36,Simplicity,1,0.16,-94.16714729357187,1,1.0
an eagle,7,1.0,25,36,Simplicity,1,0.16,-94.16714729357187,1,1.0
an eagle,8,1.0,25,36,Simplicity,1,0.16,-94.16714729357187,1,1.0
an eagle,9,1.0,25,36,Simplicity,1,0.16,-94.16714729357187,1,1.0
a seal,1,2.0,25,36,Simplicity,2,0.16,-156.4926965789995,1,0.8528
a seal,2,1.0,25,36,Simplicity,1,0.16,-127.87464786395722,1,1.0
a seal,3,1.0,25,36,Simplicity,1,0.16,-127.87464786395722,1,1.0
a seal,4,1.0,25,36,Simplicity,1,0.16,-127.87464786395722,1,1.0
a seal,5,1.0,25,36,Simplicity,1,0.16,-127.87464786395722,1,1.0
a seal,6,1.0,25,36,Simplicity,1,0.16,-127.87464786395722,1,1.0
a seal,7,1.0,25,36,Simplicity,1,0.16,-127.87464786395722,1,1.0
a seal,8,1.0,25,36,Simplicity,1,0.16,-127.87464786395722,1,1.0
a seal,9,1.0,25,36,Simplicity,1,0.16,-127.87464786395722,1,1.0
an ostrich,1,2.0,25,36,Simplicity,2,0.16,-121.56510867493279,1,0.8528
an ostrich,2,1.0,25,36,Simplicity,1,0.16,-90.31025380789487,1,1.0
an ostrich,3,1.0,25,36,Simplicity,1,0.16,-90.31025380789487,1,1.0
an ostrich,4,1.0,25,36,Simplicity,1,0.16,-90.31025380789487,1,1.0
an ostrich,5,1.0,25,36,Simplicity,1,0.16,-90.31025380789487,1,1.0
an ostrich,6,1.0,25,36,Simplicity,1,0.16,-90.31025380789487,1,1.0
an ostrich,7,1.0,25,36,Simplicity,1,0.16,-90.31025380789487,1,1.0
an ostrich,8,1.0,25,36,Simplicity,1,0.16,-90.31025380789487,1,1.0
an ostrich,9,1.0,25,36,Simplicity,1,0.16,-90.31025380789487,1,1.0
a whale,1,1.0,25,36,Simplicity,1,0.16,-132.46528763998043,1,1.0
a whale,2,1.0,25,36,Simplicity,1,0.16,-132.46528763998043,1,1.0
a whale,3,1.0,25,36,Simplicity,1,0.16,-132.46528763998043,1,1.0
a whale,4,1.0,25,36,Simplicity,1,0.16,-132.46528763998043,1,1.0
a whale,5,1.0,25,36,Simplicity,1,0.16,-132.46528763998043,1,1.0
a whale,6,1.0,25,36,Simplicity,1,0.16,-132.46528763998043,1,1.0
a whale,7,1.0,25,36,Simplicity,1,0.16,-132.46528763998043,1,1.0
a whale,8,1.0,25,36,Simplicity,1,0.16,-132.46528763998043,1,1.0
a whale,9,1.0,25,36,Simplicity,1,0.16,-132.46528763998043,1,1.0
a chicken,1,2.0,25,36,Simplicity,2,0.16,-130.71497780328053,1,0.8528
a chicken,2,1.0,25,36,Simplicity,1,0.16,-100.05429563758634,1,1.0
a chicken,3,1.0,25,36,Simplicity,1,0.16,-100.05429563758634,1,1.0
a chicken,4,1.0,25,36,Simplicity,1,0.16,-100.05429563758634,1,1.0
a chicken,5,1.0,25,36,Simplicity,1,0.16,-100.05429563758634,1,1.0
a chicken,6,1.0,25,36,Simplicity,1,0.16,-100.05429563758634,1,1.0
a chicken,7,1.0,25,36,Simplicity,1,0.16,-100.05429563758634,1,1.0
a chicken,8,1.0,25,36,Simplicity,1,0.16,-100.05429563758634,1,1.0
a chicken,9,1.0,25,36,Simplicity,1,0.16,-100.05429563758634,1,1.0
a penguin,1,1.0,25,36,Simplicity,1,0.16,-145.99973577749864,1,1.0
a penguin,2,1.0,25,36,Simplicity,1,0.16,-145.99973577749864,1,1.0
a penguin,3,1.0,25,36,Simplicity,1,0.16,-145.99973577749864,1,1.0
a penguin,4,1.0,25,36,Simplicity,1,0.16,-145.99973577749864,1,1.0
a penguin,5,1.0,25,36,Simplicity,1,0.16,-145.99973577749864,1,1.0
a penguin,6,1.0,25,36,Simplicity,1,0.16,-145.99973577749864,1,1.0
a penguin,7,1.0,25,36,Simplicity,1,0.16,-145.99973577749864,1,1.0
a penguin,8,1.0,25,36,Simplicity,1,0.16,-145.99973577749864,1,1.0
a penguin,9,1.0,25,36,Simplicity,1,0.16,-145.99973577749864,1,1.0
a robin,1,3.96,25,36,Simplicity,3,0.16,-162.78685720647024,1,0.8496
a robin,2,1.0,25,36,Simplicity,1,0.16,-115.94161574538481,1,1.0
a robin,3,1.0,25,36,Simplicity,1,0.16,-115.94161574538481,1,1.0
a robin,4,1.0,25,36,Simplicity,1,0.16,-115.94161574538481,1,1.0
a robin,5,1.0,25,36,Simplicity,1,0.16,-115.94161574538481,1,1.0
a robin,6,1.0,25,36,Simplicity,1,0.16,-115.94161574538481,1,1.0
a robin,7,1.0,25,36,Simplicity,1,0.16,-115.94161574538481,1,1.0
a robin,8,1.0,25,36,Simplicity,1,0.16,-115.94161574538481,1,1.0
a robin,9,1.0,25,36,Simplicity,1,0.16,-115.94161574538481,1,1.0
