ID,Table,Concept
7,0,a salmon
28,0,a salmon
34,0,a salmon
37,0,a salmon
48,0,a salmon
68,0,a salmon
80,1,a salmon
94,1,a salmon
97,0,a salmon
102,1,a salmon
103,0,a salmon
117,0,a salmon
118,0,a salmon
123,0,a salmon
128,0,a salmon
129,0,a salmon
131,0,a salmon
141,0,a salmon
143,1,a salmon
151,0,a salmon
168,0,a salmon
180,0,a salmon
189,0,a salmon
191,0,a salmon
212,0,a salmon
217,0,a salmon
224,0,a salmon
227,0,a salmon
236,0,a salmon
273,0,a salmon
279,0,a salmon
308,0,a salmon
321,0,a salmon
331,0,a salmon
333,0,a salmon
340,0,a salmon
347,0,a salmon
350,0,a salmon
369,1,a salmon
374,0,a salmon
384,1,a salmon
389,0,a salmon
402,0,a salmon
405,1,a salmon
419,0,a salmon
423,0,a salmon
440,1,a salmon
460,0,a salmon
470,0,a salmon
491,0,a salmon
493,0,a salmon
497,1,a salmon
512,0,a salmon
524,1,a salmon
526,0,a salmon
530,0,a salmon
534,1,a salmon
541,0,a salmon
557,0,a salmon
564,1,a salmon
568,0,a salmon
575,1,a salmon
604,0,a salmon
638,0,a salmon
656,0,a salmon
664,0,a salmon
682,0,a salmon
695,0,a salmon
700,1,a salmon
734,0,a salmon
735,0,a salmon
780,0,a salmon
786,1,a salmon
788,0,a salmon
795,0,a salmon
798,0,a salmon
801,0,a salmon
837,1,a salmon
840,0,a salmon
842,0,a salmon
886,1,a salmon
899,0,a salmon
2,0,a seal
8,0,a seal
11,0,a seal
12,0,a seal
17,0,a seal
49,0,a seal
54,0,a seal
70,0,a seal
82,0,a seal
84,0,a seal
85,0,a seal
88,0,a seal
99,1,a seal
104,0,a seal
107,0,a seal
153,0,a seal
159,0,a seal
161,0,a seal
174,0,a seal
192,0,a seal
195,0,a seal
216,0,a seal
219,0,a seal
243,0,a seal
245,0,a seal
247,0,a seal
250,0,a seal
253,0,a seal
271,0,a seal
272,0,a seal
285,0,a seal
301,0,a seal
317,0,a seal
318,0,a seal
327,0,a seal
338,0,a seal
345,0,a seal
366,0,a seal
375,0,a seal
381,0,a seal
399,0,a seal
