Concept,Iteration,S_Chao1,NumberOfPeople,NumberOfTrials,Prior,Tables,Alpha,Posterior,Chain,ProbabilityOfSameTable
a salmon,1,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
a salmon,2,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
a salmon,3,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
a salmon,4,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
a salmon,5,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
a salmon,6,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
a salmon,7,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
a salmon,8,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
a salmon,9,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
an eagle,1,13.0,5,36,Simplicity,5,0.16,-129.55398424357233,1,0.20000000000000004
an eagle,2,13.0,5,36,Simplicity,5,0.16,-129.55398424357233,1,0.20000000000000004
an eagle,3,13.0,5,36,Simplicity,5,0.16,-129.55398424357233,1,0.20000000000000004
an eagle,4,13.0,5,36,Simplicity,5,0.16,-129.55398424357233,1,0.20000000000000004
an eagle,5,13.0,5,36,Simplicity,5,0.16,-129.55398424357233,1,0.20000000000000004
an eagle,6,7.6,5,36,Simplicity,4,0.16,-131.04332423422687,1,0.28
an eagle,7,7.6,5,36,Simplicity,4,0.16,-131.04332423422687,1,0.28
an eagle,8,13.0,5,36,Simplicity,5,0.16,-129.55398424357233,1,0.20000000000000004
an eagle,9,13.0,5,36,Simplicity,5,0.16,-129.55398424357233,1,0.20000000000000004
a seal,1,2.5,2,36,Simplicity,2,0.16,-50.59974418087606,1,0.5
a seal,2,2.5,2,36,Simplicity,2,0.16,-50.59974418087606,1,0.5
a seal,3,2.5,2,36,Simplicity,2,0.16,-50.59974418087606,1,0.5
a seal,4,2.5,2,36,Simplicity,2,0.16,-50.59974418087606,1,0.5
a seal,5,2.5,2,36,Simplicity,2,0.16,-50.59974418087606,1,0.5
a seal,6,2.5,2,36,Simplicity,2,0.16,-50.59974418087606,1,0.5
a seal,7,2.5,2,36,Simplicity,2,0.16,-50.59974418087606,1,0.5
a seal,8,2.5,2,36,Simplicity,2,0.16,-50.59974418087606,1,0.5
a seal,9,2.5,2,36,Simplicity,2,0.16,-50.59974418087606,1,0.5
an ostrich,1,20.333333333333332,9,36,Simplicity,7,0.16,-230.4435704334867,1,0.18518518518518517
an ostrich,2,29.777777777777775,9,36,Simplicity,8,0.16,-232.92784956555877,1,0.13580246913580246
an ostrich,3,20.333333333333332,9,36,Simplicity,7,0.16,-230.4435704334867,1,0.18518518518518517
an ostrich,4,20.333333333333332,9,36,Simplicity,7,0.16,-230.4435704334867,1,0.18518518518518517
an ostrich,5,20.333333333333332,9,36,Simplicity,7,0.16,-230.4435704334867,1,0.18518518518518517
an ostrich,6,20.333333333333332,9,36,Simplicity,7,0.16,-230.4435704334867,1,0.18518518518518517
an ostrich,7,13.11111111111111,9,36,Simplicity,6,0.16,-231.93291042414128,1,0.20987654320987653
an ostrich,8,13.11111111111111,9,36,Simplicity,6,0.16,-231.93291042414128,1,0.20987654320987653
an ostrich,9,20.333333333333332,9,36,Simplicity,7,0.16,-230.4435704334867,1,0.18518518518518517
a whale,1,13.0,5,36,Simplicity,5,0.16,-129.55398424357233,1,0.20000000000000004
a whale,2,7.6,5,36,Simplicity,4,0.16,-127.08132129649373,1,0.28
a whale,3,7.6,5,36,Simplicity,4,0.16,-127.08132129649373,1,0.28
a whale,4,7.6,5,36,Simplicity,4,0.16,-127.08132129649373,1,0.28
a whale,5,7.6,5,36,Simplicity,4,0.16,-127.08132129649373,1,0.28
a whale,6,13.0,5,36,Simplicity,5,0.16,-129.55398424357233,1,0.20000000000000004
a whale,7,7.6,5,36,Simplicity,4,0.16,-127.08132129649373,1,0.28
a whale,8,7.6,5,36,Simplicity,4,0.16,-127.08132129649373,1,0.28
a whale,9,7.6,5,36,Simplicity,4,0.16,-127.08132129649373,1,0.28
a penguin,1,2.5,2,36,Simplicity,2,0.16,-50.59974418087606,1,0.5
a penguin,2,2.5,2,36,Simplicity,2,0.16,-50.59974418087606,1,0.5
a penguin,3,2.5,2,36,Simplicity,2,0.16,-50.59974418087606,1,0.5
a penguin,4,2.5,2,36,Simplicity,2,0.16,-50.59974418087606,1,0.5
a penguin,5,2.5,2,36,Simplicity,2,0.16,-50.59974418087606,1,0.5
a penguin,6,2.5,2,36,Simplicity,2,0.16,-50.59974418087606,1,0.5
a penguin,7,2.5,2,36,Simplicity,2,0.16,-50.59974418087606,1,0.5
a penguin,8,2.5,2,36,Simplicity,2,0.16,-50.59974418087606,1,0.5
a penguin,9,2.5,2,36,Simplicity,2,0.16,-50.59974418087606,1,0.5
a robin,1,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
a robin,2,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
a robin,3,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
a robin,4,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
a robin,5,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
