Concept,Iteration,S_Chao1,NumberOfPeople,NumberOfTrials,Prior,Tables,Alpha,Posterior,Chain,ProbabilityOfSameTable
Hillary Clinton,1,1.0,2,36,Simplicity,1,0.16,-44.1650782960643,1,1.0
Hillary Clinton,2,1.0,2,36,Simplicity,1,0.16,-44.1650782960643,1,1.0
Hillary Clinton,3,1.0,2,36,Simplicity,1,0.16,-44.1650782960643,1,1.0
Hillary Clinton,4,1.0,2,36,Simplicity,1,0.16,-44.1650782960643,1,1.0
Hillary Clinton,5,1.0,2,36,Simplicity,1,0.16,-44.1650782960643,1,1.0
Hillary Clinton,6,1.0,2,36,Simplicity,1,0.16,-44.1650782960643,1,1.0
Hillary Clinton,7,1.0,2,36,Simplicity,1,0.16,-44.1650782960643,1,1.0
Hillary Clinton,8,1.0,2,36,Simplicity,1,0.16,-44.1650782960643,1,1.0
Hillary Clinton,9,1.0,2,36,Simplicity,1,0.16,-44.1650782960643,1,1.0
Donald Trump,1,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Donald Trump,2,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Donald Trump,3,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Donald Trump,4,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Donald Trump,5,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Donald Trump,6,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Donald Trump,7,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Donald Trump,8,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Donald Trump,9,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Abraham Lincoln,1,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Abraham Lincoln,2,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Abraham Lincoln,3,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Abraham Lincoln,4,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Abraham Lincoln,5,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Abraham Lincoln,6,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Abraham Lincoln,7,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Abraham Lincoln,8,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Abraham Lincoln,9,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Richard Nixon,1,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Richard Nixon,2,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Richard Nixon,3,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Richard Nixon,4,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Richard Nixon,5,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Richard Nixon,6,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Richard Nixon,7,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Richard Nixon,8,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Richard Nixon,9,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Hillary Clinton,1,1.0,2,36,Simplicity,1,0.16,-44.1650782960643,1,1.0
Hillary Clinton,2,1.0,2,36,Simplicity,1,0.16,-44.1650782960643,1,1.0
Hillary Clinton,3,1.0,2,36,Simplicity,1,0.16,-44.1650782960643,1,1.0
Hillary Clinton,4,1.0,2,36,Simplicity,1,0.16,-44.1650782960643,1,1.0
Hillary Clinton,5,1.0,2,36,Simplicity,1,0.16,-44.1650782960643,1,1.0
Hillary Clinton,6,1.0,2,36,Simplicity,1,0.16,-44.1650782960643,1,1.0
Hillary Clinton,7,1.0,2,36,Simplicity,1,0.16,-44.1650782960643,1,1.0
Hillary Clinton,8,1.0,2,36,Simplicity,1,0.16,-44.1650782960643,1,1.0
Hillary Clinton,9,1.0,2,36,Simplicity,1,0.16,-44.1650782960643,1,1.0
Donald Trump,1,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Donald Trump,2,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Donald Trump,3,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Donald Trump,4,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Donald Trump,5,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Donald Trump,6,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Donald Trump,7,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Donald Trump,8,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Donald Trump,9,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Abraham Lincoln,1,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Abraham Lincoln,2,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Abraham Lincoln,3,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Abraham Lincoln,4,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Abraham Lincoln,5,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Abraham Lincoln,6,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Abraham Lincoln,7,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Abraham Lincoln,8,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Abraham Lincoln,9,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Richard Nixon,1,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Richard Nixon,2,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Richard Nixon,3,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Richard Nixon,4,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Richard Nixon,5,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Richard Nixon,6,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Richard Nixon,7,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Richard Nixon,8,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Richard Nixon,9,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Hillary Clinton,1,1.0,2,36,Simplicity,1,0.16,-44.1650782960643,1,1.0
Hillary Clinton,2,1.0,2,36,Simplicity,1,0.16,-44.1650782960643,1,1.0
Hillary Clinton,3,1.0,2,36,Simplicity,1,0.16,-44.1650782960643,1,1.0
Hillary Clinton,4,1.0,2,36,Simplicity,1,0.16,-44.1650782960643,1,1.0
Hillary Clinton,5,1.0,2,36,Simplicity,1,0.16,-44.1650782960643,1,1.0
Hillary Clinton,6,1.0,2,36,Simplicity,1,0.16,-44.1650782960643,1,1.0
Hillary Clinton,7,1.0,2,36,Simplicity,1,0.16,-44.1650782960643,1,1.0
Hillary Clinton,8,1.0,2,36,Simplicity,1,0.16,-44.1650782960643,1,1.0
Hillary Clinton,9,1.0,2,36,Simplicity,1,0.16,-44.1650782960643,1,1.0
Donald Trump,1,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Donald Trump,2,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Donald Trump,3,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Donald Trump,4,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Donald Trump,5,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Donald Trump,6,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Donald Trump,7,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Donald Trump,8,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Donald Trump,9,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Abraham Lincoln,1,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Abraham Lincoln,2,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Abraham Lincoln,3,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Abraham Lincoln,4,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Abraham Lincoln,5,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Abraham Lincoln,6,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Abraham Lincoln,7,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Abraham Lincoln,8,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Abraham Lincoln,9,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Richard Nixon,1,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Richard Nixon,2,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Richard Nixon,3,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Richard Nixon,4,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Richard Nixon,5,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Richard Nixon,6,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Richard Nixon,7,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Richard Nixon,8,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Richard Nixon,9,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Hillary Clinton,1,1.0,2,36,Simplicity,1,0.16,-44.1650782960643,1,1.0
Hillary Clinton,2,1.0,2,36,Simplicity,1,0.16,-44.1650782960643,1,1.0
Hillary Clinton,3,1.0,2,36,Simplicity,1,0.16,-44.1650782960643,1,1.0
Hillary Clinton,4,1.0,2,36,Simplicity,1,0.16,-44.1650782960643,1,1.0
