Concept,Iteration,S_Chao1,NumberOfPeople,NumberOfTrials,Prior,Tables,Alpha,Posterior,Chain,ProbabilityOfSameTable
Hillary Clinton,1,5.22,25,36,Simplicity,5,0.16,-405.65666383981994,1,0.28
Hillary Clinton,2,4.0,25,36,Simplicity,4,0.16,-398.04191703430484,1,0.4272
Hillary Clinton,3,3.0,25,36,Simplicity,3,0.16,-373.08824652312757,1,0.6096
Hillary Clinton,4,1.0,25,36,Simplicity,1,0.16,-334.753390749236,1,1.0
Hillary Clinton,5,1.0,25,36,Simplicity,1,0.16,-334.753390749236,1,1.0
Hillary Clinton,6,1.0,25,36,Simplicity,1,0.16,-334.753390749236,1,1.0
Hillary Clinton,7,1.0,25,36,Simplicity,1,0.16,-334.753390749236,1,1.0
Hillary Clinton,8,1.0,25,36,Simplicity,1,0.16,-334.753390749236,1,1.0
Hillary Clinton,9,1.0,25,36,Simplicity,1,0.16,-334.753390749236,1,1.0
Donald Trump,1,5.0,25,36,Simplicity,5,0.16,-457.1547978292784,1,0.4048
Donald Trump,2,3.0,25,36,Simplicity,3,0.16,-418.1438848587095,1,0.6672000000000001
Donald Trump,3,2.0,25,36,Simplicity,2,0.16,-405.73986686103234,1,0.7311999999999999
Donald Trump,4,2.0,25,36,Simplicity,2,0.16,-400.672411647106,1,0.9232
Donald Trump,5,1.0,25,36,Simplicity,1,0.16,-387.4198671854493,1,1.0
Donald Trump,6,1.0,25,36,Simplicity,1,0.16,-387.4198671854493,1,1.0
Donald Trump,7,1.0,25,36,Simplicity,1,0.16,-387.4198671854493,1,1.0
Donald Trump,8,1.0,25,36,Simplicity,1,0.16,-387.4198671854493,1,1.0
Donald Trump,9,1.0,25,36,Simplicity,1,0.16,-387.4198671854493,1,1.0
Joe Biden,1,6.24,25,36,Simplicity,6,0.16,-414.1521708507755,1,0.35680000000000006
Joe Biden,2,3.0,25,36,Simplicity,3,0.16,-370.0152811922815,1,0.7183999999999998
Joe Biden,3,3.48,25,36,Simplicity,3,0.16,-371.58614192723525,1,0.7824
Joe Biden,4,1.0,25,36,Simplicity,1,0.16,-344.21464499701216,1,1.0
Joe Biden,5,1.0,25,36,Simplicity,1,0.16,-344.21464499701216,1,1.0
Joe Biden,6,1.0,25,36,Simplicity,1,0.16,-344.21464499701216,1,1.0
Joe Biden,7,1.0,25,36,Simplicity,1,0.16,-344.21464499701216,1,1.0
Joe Biden,8,1.0,25,36,Simplicity,1,0.16,-344.21464499701216,1,1.0
Joe Biden,9,1.0,25,36,Simplicity,1,0.16,-344.21464499701216,1,1.0
Elizabeth Warren,1,1.0,2,36,Simplicity,1,0.16,-50.10808270266404,1,1.0
Elizabeth Warren,2,2.5,2,36,Simplicity,2,0.16,-50.59974418087606,1,0.5
Elizabeth Warren,3,2.5,2,36,Simplicity,2,0.16,-50.59974418087606,1,0.5
Elizabeth Warren,4,2.5,2,36,Simplicity,2,0.16,-50.59974418087606,1,0.5
Elizabeth Warren,5,1.0,2,36,Simplicity,1,0.16,-50.10808270266404,1,1.0
Elizabeth Warren,6,1.0,2,36,Simplicity,1,0.16,-50.10808270266404,1,1.0
Elizabeth Warren,7,1.0,2,36,Simplicity,1,0.16,-50.10808270266404,1,1.0
Elizabeth Warren,8,2.5,2,36,Simplicity,2,0.16,-50.59974418087606,1,0.5
