Concept,Iteration,S_Chao1,NumberOfPeople,NumberOfTrials,Prior,Tables,Alpha,Posterior,Chain,ProbabilityOfSameTable
Hillary Clinton,1,5.0,3,36,Simplicity,3,0.16,-76.65165496970222,1,0.3333333333333333
Hillary Clinton,2,5.0,3,36,Simplicity,3,0.16,-76.65165496970222,1,0.3333333333333333
Hillary Clinton,3,5.0,3,36,Simplicity,3,0.16,-76.65165496970222,1,0.3333333333333333
Hillary Clinton,4,5.0,3,36,Simplicity,3,0.16,-76.65165496970222,1,0.3333333333333333
Hillary Clinton,5,5.0,3,36,Simplicity,3,0.16,-76.65165496970222,1,0.3333333333333333
Hillary Clinton,6,5.0,3,36,Simplicity,3,0.16,-76.65165496970222,1,0.3333333333333333
Hillary Clinton,7,5.0,3,36,Simplicity,3,0.16,-76.65165496970222,1,0.3333333333333333
Hillary Clinton,8,5.0,3,36,Simplicity,3,0.16,-76.65165496970222,1,0.3333333333333333
Hillary Clinton,9,5.0,3,36,Simplicity,3,0.16,-76.65165496970222,1,0.3333333333333333
Donald Trump,1,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Donald Trump,2,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Donald Trump,3,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Donald Trump,4,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Donald Trump,5,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Donald Trump,6,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Donald Trump,7,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Donald Trump,8,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Donald Trump,9,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Elizabeth Warren,1,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Elizabeth Warren,2,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Elizabeth Warren,3,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Elizabeth Warren,4,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Elizabeth Warren,5,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Elizabeth Warren,6,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Elizabeth Warren,7,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Elizabeth Warren,8,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Elizabeth Warren,9,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Ronald Reagan,1,2.5,2,36,Simplicity,2,0.16,-50.59974418087606,1,0.5
Ronald Reagan,2,2.5,2,36,Simplicity,2,0.16,-50.59974418087606,1,0.5
Ronald Reagan,3,2.5,2,36,Simplicity,2,0.16,-50.59974418087606,1,0.5
Ronald Reagan,4,2.5,2,36,Simplicity,2,0.16,-50.59974418087606,1,0.5
Ronald Reagan,5,2.5,2,36,Simplicity,2,0.16,-50.59974418087606,1,0.5
Ronald Reagan,6,2.5,2,36,Simplicity,2,0.16,-50.59974418087606,1,0.5
Ronald Reagan,7,2.5,2,36,Simplicity,2,0.16,-50.59974418087606,1,0.5
Ronald Reagan,8,2.5,2,36,Simplicity,2,0.16,-50.59974418087606,1,0.5
Ronald Reagan,9,2.5,2,36,Simplicity,2,0.16,-50.59974418087606,1,0.5
