Concept,Iteration,S_Chao1,NumberOfPeople,NumberOfTrials,Prior,Tables,Alpha,Posterior,Chain,ProbabilityOfSameTable
a salmon,1,5.0,3,36,Simplicity,3,0.16,-76.65165496970222,1,0.3333333333333333
a salmon,2,5.0,3,36,Simplicity,3,0.16,-76.65165496970222,1,0.3333333333333333
a salmon,3,5.0,3,36,Simplicity,3,0.16,-76.65165496970222,1,0.3333333333333333
a salmon,4,5.0,3,36,Simplicity,3,0.16,-76.65165496970222,1,0.3333333333333333
a salmon,5,5.0,3,36,Simplicity,3,0.16,-76.65165496970222,1,0.3333333333333333
a salmon,6,5.0,3,36,Simplicity,3,0.16,-76.65165496970222,1,0.3333333333333333
a salmon,7,5.0,3,36,Simplicity,3,0.16,-76.65165496970222,1,0.3333333333333333
a salmon,8,5.0,3,36,Simplicity,3,0.16,-76.65165496970222,1,0.3333333333333333
a salmon,9,5.0,3,36,Simplicity,3,0.16,-76.65165496970222,1,0.3333333333333333
an eagle,1,2.5,2,36,Simplicity,2,0.16,-50.59974418087606,1,0.5
an eagle,2,2.5,2,36,Simplicity,2,0.16,-50.59974418087606,1,0.5
an eagle,3,2.5,2,36,Simplicity,2,0.16,-50.59974418087606,1,0.5
an eagle,4,2.5,2,36,Simplicity,2,0.16,-50.59974418087606,1,0.5
an eagle,5,2.5,2,36,Simplicity,2,0.16,-50.59974418087606,1,0.5
an eagle,6,2.5,2,36,Simplicity,2,0.16,-50.59974418087606,1,0.5
an eagle,7,2.5,2,36,Simplicity,2,0.16,-50.59974418087606,1,0.5
an eagle,8,2.5,2,36,Simplicity,2,0.16,-50.59974418087606,1,0.5
an eagle,9,2.5,2,36,Simplicity,2,0.16,-50.59974418087606,1,0.5
an ostrich,1,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
an ostrich,2,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
an ostrich,3,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
an ostrich,4,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
an ostrich,5,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
an ostrich,6,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
an ostrich,7,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
an ostrich,8,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
an ostrich,9,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
a whale,1,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
a whale,2,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
a whale,3,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
a whale,4,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
a whale,5,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
a whale,6,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
a whale,7,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
a whale,8,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
a whale,9,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
a chicken,1,7.6,5,36,Simplicity,4,0.16,-129.0623227653603,1,0.28
a chicken,2,13.0,5,36,Simplicity,5,0.16,-129.55398424357233,1,0.20000000000000004
a chicken,3,7.6,5,36,Simplicity,4,0.16,-129.0623227653603,1,0.28
a chicken,4,7.6,5,36,Simplicity,4,0.16,-129.0623227653603,1,0.28
a chicken,5,7.6,5,36,Simplicity,4,0.16,-129.0623227653603,1,0.28
a chicken,6,7.6,5,36,Simplicity,4,0.16,-129.0623227653603,1,0.28
a chicken,7,7.6,5,36,Simplicity,4,0.16,-129.0623227653603,1,0.28
a chicken,8,13.0,5,36,Simplicity,5,0.16,-129.55398424357233,1,0.20000000000000004
a chicken,9,7.6,5,36,Simplicity,4,0.16,-129.0623227653603,1,0.28
a finch,1,2.5,2,36,Simplicity,2,0.16,-50.59974418087606,1,0.5
a finch,2,1.0,2,36,Simplicity,1,0.16,-52.08908417153063,1,1.0
a finch,3,2.5,2,36,Simplicity,2,0.16,-50.59974418087606,1,0.5
a finch,4,1.0,2,36,Simplicity,1,0.16,-52.08908417153063,1,1.0
a finch,5,1.0,2,36,Simplicity,1,0.16,-52.08908417153063,1,1.0
a finch,6,2.5,2,36,Simplicity,2,0.16,-50.59974418087606,1,0.5
a finch,7,2.5,2,36,Simplicity,2,0.16,-50.59974418087606,1,0.5
a finch,8,1.0,2,36,Simplicity,1,0.16,-52.08908417153063,1,1.0
a finch,9,2.5,2,36,Simplicity,2,0.16,-50.59974418087606,1,0.5
Hillary Clinton,1,8.5,4,36,Simplicity,4,0.16,-102.99124783098017,1,0.25
Hillary Clinton,2,8.5,4,36,Simplicity,4,0.16,-102.99124783098017,1,0.25
Hillary Clinton,3,8.5,4,36,Simplicity,4,0.16,-102.99124783098017,1,0.25
Hillary Clinton,4,8.5,4,36,Simplicity,4,0.16,-102.99124783098017,1,0.25
Hillary Clinton,5,8.5,4,36,Simplicity,4,0.16,-102.99124783098017,1,0.25
Hillary Clinton,6,8.5,4,36,Simplicity,4,0.16,-102.99124783098017,1,0.25
Hillary Clinton,7,8.5,4,36,Simplicity,4,0.16,-102.99124783098017,1,0.25
Hillary Clinton,8,8.5,4,36,Simplicity,4,0.16,-102.99124783098017,1,0.25
Hillary Clinton,9,8.5,4,36,Simplicity,4,0.16,-102.99124783098017,1,0.25
Donald Trump,1,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Donald Trump,2,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Donald Trump,3,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Donald Trump,4,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Donald Trump,5,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Donald Trump,6,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Donald Trump,7,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Donald Trump,8,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Donald Trump,9,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Joe Biden,1,2.5,2,36,Simplicity,2,0.16,-50.59974418087606,1,0.5
Joe Biden,2,2.5,2,36,Simplicity,2,0.16,-50.59974418087606,1,0.5
Joe Biden,3,2.5,2,36,Simplicity,2,0.16,-50.59974418087606,1,0.5
Joe Biden,4,2.5,2,36,Simplicity,2,0.16,-50.59974418087606,1,0.5
Joe Biden,5,2.5,2,36,Simplicity,2,0.16,-50.59974418087606,1,0.5
Joe Biden,6,2.5,2,36,Simplicity,2,0.16,-50.59974418087606,1,0.5
Joe Biden,7,2.5,2,36,Simplicity,2,0.16,-50.59974418087606,1,0.5
Joe Biden,8,2.5,2,36,Simplicity,2,0.16,-50.59974418087606,1,0.5
Joe Biden,9,2.5,2,36,Simplicity,2,0.16,-50.59974418087606,1,0.5
Elizabeth Warren,1,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Elizabeth Warren,2,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Elizabeth Warren,3,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Elizabeth Warren,4,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Elizabeth Warren,5,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Elizabeth Warren,6,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Elizabeth Warren,7,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Elizabeth Warren,8,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Elizabeth Warren,9,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
