Concept,Iteration,S_Chao1,NumberOfPeople,NumberOfTrials,Prior,Tables,Alpha,Posterior,Chain,ProbabilityOfSameTable
Hillary Clinton,1,20.559166666666666,25,36,Simplicity,11,0.16,-607.6400813999384,1,0.1104
Hillary Clinton,2,15.70625,25,36,Simplicity,11,0.16,-608.301123750279,1,0.11360000000000002
Hillary Clinton,3,16.7975,25,36,Simplicity,12,0.16,-613.3880925677953,1,0.10720000000000003
Hillary Clinton,4,15.696666666666667,25,36,Simplicity,12,0.16,-614.9714576999945,1,0.11360000000000003
Hillary Clinton,5,12.51037037037037,25,36,Simplicity,10,0.16,-612.6067359225639,1,0.12320000000000002
Hillary Clinton,6,14.11,25,36,Simplicity,11,0.16,-614.6773271603004,1,0.12000000000000004
Hillary Clinton,7,18.036666666666665,25,36,Simplicity,9,0.16,-599.9725424251853,1,0.19679999999999997
Hillary Clinton,8,12.84,25,36,Simplicity,9,0.16,-599.7838458651945,1,0.24159999999999995
Hillary Clinton,9,11.32,25,36,Simplicity,7,0.16,-601.2962461983541,1,0.2704
Donald Trump,1,21.68,25,36,Simplicity,14,0.16,-645.9394260465011,1,0.11040000000000004
Donald Trump,2,50.879999999999995,25,36,Simplicity,12,0.16,-634.1395666245693,1,0.20639999999999994
Donald Trump,3,14.0,25,36,Simplicity,8,0.16,-619.9578799412964,1,0.4304
Donald Trump,4,3.48,25,36,Simplicity,3,0.16,-596.3697461704087,1,0.7824
Donald Trump,5,5.92,25,36,Simplicity,4,0.16,-598.8823679806649,1,0.7152
Donald Trump,6,3.48,25,36,Simplicity,3,0.16,-596.3697461704087,1,0.7824
Donald Trump,7,3.48,25,36,Simplicity,3,0.16,-596.3697461704087,1,0.7824
Donald Trump,8,2.0,25,36,Simplicity,2,0.16,-597.3117911471732,1,0.8528
Donald Trump,9,3.48,25,36,Simplicity,3,0.16,-596.3697461704087,1,0.7824
Joe Biden,1,16.68,25,36,Simplicity,9,0.16,-615.6324833398783,1,0.18399999999999997
Joe Biden,2,15.0,25,36,Simplicity,9,0.16,-607.3223764329517,1,0.23839999999999997
Joe Biden,3,20.0,25,36,Simplicity,8,0.16,-605.1410292493225,1,0.3248
Joe Biden,4,4.0,25,36,Simplicity,4,0.16,-608.5273744775171,1,0.5008
Joe Biden,5,5.92,25,36,Simplicity,4,0.16,-589.1888424227984,1,0.7152
Joe Biden,6,10.84,25,36,Simplicity,7,0.16,-594.0423205543843,1,0.4816000000000001
Joe Biden,7,9.32,25,36,Simplicity,5,0.16,-590.9047294560379,1,0.6512000000000002
Joe Biden,8,5.92,25,36,Simplicity,4,0.16,-589.6701946613244,1,0.7152
Joe Biden,9,2.0,25,36,Simplicity,2,0.16,-589.2630790334176,1,0.8528
Elizabeth Warren,1,15.0,25,36,Simplicity,11,0.16,-644.3001748777775,1,0.13599999999999998
Elizabeth Warren,2,18.64,25,36,Simplicity,10,0.16,-633.9878891658154,1,0.24159999999999993
Elizabeth Warren,3,20.0,25,36,Simplicity,8,0.16,-615.2520935361541,1,0.3536
Elizabeth Warren,4,5.96,25,36,Simplicity,5,0.16,-612.385377796835,1,0.5936
Elizabeth Warren,5,2.0,25,36,Simplicity,2,0.16,-592.7037638984525,1,0.8528
Elizabeth Warren,6,3.48,25,36,Simplicity,3,0.16,-595.6754824714756,1,0.7824
Elizabeth Warren,7,3.48,25,36,Simplicity,3,0.16,-593.4308496796748,1,0.7824
Elizabeth Warren,8,3.48,25,36,Simplicity,3,0.16,-593.4308496796748,1,0.7824
Elizabeth Warren,9,2.0,25,36,Simplicity,2,0.16,-593.8675822359585,1,0.9232
Ronald Reagan,1,50.5,24,36,Simplicity,16,0.16,-627.5592878531622,1,0.0902777777777777
Ronald Reagan,2,43.989583333333336,24,36,Simplicity,15,0.16,-627.0490082861265,1,0.11111111111111105
Ronald Reagan,3,37.958333333333336,24,36,Simplicity,14,0.16,-627.2379912799007,1,0.12152777777777772
Ronald Reagan,4,37.958333333333336,24,36,Simplicity,14,0.16,-631.0954831563116,1,0.13194444444444442
Ronald Reagan,5,32.47916666666667,24,36,Simplicity,9,0.16,-605.1178139169164,1,0.40972222222222215
Ronald Reagan,6,13.666666666666668,24,36,Simplicity,6,0.16,-601.8085442673155,1,0.5763888888888891
Ronald Reagan,7,32.47916666666667,24,36,Simplicity,9,0.16,-604.1687688989824,1,0.40972222222222215
Ronald Reagan,8,13.666666666666668,24,36,Simplicity,6,0.16,-600.189359095946,1,0.5763888888888891
Ronald Reagan,9,9.3125,24,36,Simplicity,5,0.16,-600.2850492483218,1,0.638888888888889
Bernie Sanders,1,17.64,25,36,Simplicity,9,0.16,-617.509686984871,1,0.38239999999999996
Bernie Sanders,2,6.88,25,36,Simplicity,4,0.16,-587.1175826010582,1,0.7792000000000001
Bernie Sanders,3,10.76,25,36,Simplicity,5,0.16,-586.5428090165872,1,0.7120000000000001
Bernie Sanders,4,21.4,25,36,Simplicity,7,0.16,-589.1863441526124,1,0.5872000000000003
Bernie Sanders,5,3.96,25,36,Simplicity,3,0.16,-586.5861229201764,1,0.8496000000000001
Bernie Sanders,6,6.88,25,36,Simplicity,4,0.16,-587.1175826010582,1,0.7792000000000001
Bernie Sanders,7,15.6,25,36,Simplicity,6,0.16,-587.0528116886787,1,0.6480000000000004
Bernie Sanders,8,10.76,25,36,Simplicity,5,0.16,-588.9223156291723,1,0.7120000000000001
Bernie Sanders,9,6.88,25,36,Simplicity,4,0.16,-587.1175826010582,1,0.7792000000000001
George W. Bush,1,23.759999999999998,25,36,Simplicity,12,0.16,-634.2330939166031,1,0.15519999999999995
George W. Bush,2,10.32,25,36,Simplicity,6,0.16,-603.4649454773731,1,0.4880000000000001
George W. Bush,3,4.24,25,36,Simplicity,4,0.16,-597.6744896395719,1,0.6544000000000001
George W. Bush,4,4.24,25,36,Simplicity,4,0.16,-597.6744896395719,1,0.6544000000000001
George W. Bush,5,2.0,25,36,Simplicity,2,0.16,-591.8053191402141,1,0.8528
George W. Bush,6,3.48,25,36,Simplicity,3,0.16,-589.6728254646015,1,0.7824
George W. Bush,7,3.0,25,36,Simplicity,3,0.16,-592.0818272445229,1,0.7215999999999999
George W. Bush,8,3.48,25,36,Simplicity,3,0.16,-589.6728254646015,1,0.7824
George W. Bush,9,3.48,25,36,Simplicity,3,0.16,-589.6728254646015,1,0.7824
Barack Obama,1,9.4,10,36,Simplicity,7,0.16,-257.21940873342027,1,0.16000000000000006
Barack Obama,2,8.025,10,36,Simplicity,6,0.16,-259.940508972237,1,0.20000000000000004
Barack Obama,3,16.1,10,36,Simplicity,8,0.16,-259.6920716804989,1,0.14000000000000004
Barack Obama,4,9.05,10,36,Simplicity,5,0.16,-259.50292354418434,1,0.32000000000000006
Barack Obama,5,6.7,10,36,Simplicity,4,0.16,-254.65466441587964,1,0.5199999999999999
Barack Obama,6,3.9,10,36,Simplicity,3,0.16,-252.42440220177446,1,0.6600000000000001
