ID,Table,Concept
6,0,Bernie Sanders
13,0,Bernie Sanders
27,0,Bernie Sanders
31,0,Bernie Sanders
33,0,Bernie Sanders
50,0,Bernie Sanders
86,0,Bernie Sanders
89,0,Bernie Sanders
90,0,Bernie Sanders
106,0,Bernie Sanders
109,0,Bernie Sanders
113,0,Bernie Sanders
122,0,Bernie Sanders
132,0,Bernie Sanders
150,0,Bernie Sanders
157,0,Bernie Sanders
170,0,Bernie Sanders
184,0,Bernie Sanders
204,0,Bernie Sanders
207,0,Bernie Sanders
209,0,Bernie Sanders
210,0,Bernie Sanders
226,0,Bernie Sanders
239,0,Bernie Sanders
240,0,Bernie Sanders
241,0,Bernie Sanders
255,0,Bernie Sanders
257,0,Bernie Sanders
263,0,Bernie Sanders
274,0,Bernie Sanders
277,0,Bernie Sanders
283,0,Bernie Sanders
291,0,Bernie Sanders
293,0,Bernie Sanders
298,0,Bernie Sanders
304,0,Bernie Sanders
310,0,Bernie Sanders
316,0,Bernie Sanders
335,0,Bernie Sanders
346,0,Bernie Sanders
352,0,Bernie Sanders
373,0,Bernie Sanders
379,0,Bernie Sanders
382,0,Bernie Sanders
406,0,Bernie Sanders
408,0,Bernie Sanders
433,1,Bernie Sanders
446,0,Bernie Sanders
449,0,Bernie Sanders
451,0,Bernie Sanders
457,0,Bernie Sanders
459,0,Bernie Sanders
468,0,Bernie Sanders
485,0,Bernie Sanders
487,0,Bernie Sanders
499,0,Bernie Sanders
510,0,Bernie Sanders
514,0,Bernie Sanders
533,0,Bernie Sanders
551,0,Bernie Sanders
562,0,Bernie Sanders
567,0,Bernie Sanders
577,0,Bernie Sanders
592,0,Bernie Sanders
593,0,Bernie Sanders
603,0,Bernie Sanders
627,0,Bernie Sanders
630,0,Bernie Sanders
653,0,Bernie Sanders
662,0,Bernie Sanders
675,0,Bernie Sanders
688,0,Bernie Sanders
699,0,Bernie Sanders
707,0,Bernie Sanders
716,0,Bernie Sanders
732,0,Bernie Sanders
743,0,Bernie Sanders
744,0,Bernie Sanders
747,0,Bernie Sanders
748,0,Bernie Sanders
775,0,Bernie Sanders
785,0,Bernie Sanders
787,0,Bernie Sanders
792,0,Bernie Sanders
793,0,Bernie Sanders
810,0,Bernie Sanders
819,0,Bernie Sanders
843,0,Bernie Sanders
844,0,Bernie Sanders
858,0,Bernie Sanders
863,0,Bernie Sanders
869,0,Bernie Sanders
879,0,Bernie Sanders
21,1,Abraham Lincoln
25,1,Abraham Lincoln
51,1,Abraham Lincoln
78,1,Abraham Lincoln
83,1,Abraham Lincoln
87,1,Abraham Lincoln
101,1,Abraham Lincoln
124,1,Abraham Lincoln
144,1,Abraham Lincoln
145,1,Abraham Lincoln
156,1,Abraham Lincoln
165,1,Abraham Lincoln
171,1,Abraham Lincoln
173,1,Abraham Lincoln
175,1,Abraham Lincoln
176,1,Abraham Lincoln
182,1,Abraham Lincoln
193,1,Abraham Lincoln
215,0,Abraham Lincoln
220,1,Abraham Lincoln
231,1,Abraham Lincoln
233,1,Abraham Lincoln
246,1,Abraham Lincoln
249,1,Abraham Lincoln
266,1,Abraham Lincoln
268,1,Abraham Lincoln
288,1,Abraham Lincoln
295,1,Abraham Lincoln
302,0,Abraham Lincoln
305,1,Abraham Lincoln
309,1,Abraham Lincoln
326,1,Abraham Lincoln
328,1,Abraham Lincoln
344,1,Abraham Lincoln
359,1,Abraham Lincoln
365,1,Abraham Lincoln
392,1,Abraham Lincoln
413,1,Abraham Lincoln
435,1,Abraham Lincoln
442,1,Abraham Lincoln
447,1,Abraham Lincoln
448,1,Abraham Lincoln
452,1,Abraham Lincoln
495,1,Abraham Lincoln
501,1,Abraham Lincoln
502,1,Abraham Lincoln
507,1,Abraham Lincoln
539,1,Abraham Lincoln
553,1,Abraham Lincoln
576,1,Abraham Lincoln
579,1,Abraham Lincoln
582,1,Abraham Lincoln
598,1,Abraham Lincoln
599,1,Abraham Lincoln
622,1,Abraham Lincoln
624,1,Abraham Lincoln
640,1,Abraham Lincoln
642,1,Abraham Lincoln
649,1,Abraham Lincoln
650,1,Abraham Lincoln
654,1,Abraham Lincoln
658,1,Abraham Lincoln
677,1,Abraham Lincoln
678,1,Abraham Lincoln
690,1,Abraham Lincoln
712,1,Abraham Lincoln
717,1,Abraham Lincoln
722,1,Abraham Lincoln
761,1,Abraham Lincoln
769,1,Abraham Lincoln
772,1,Abraham Lincoln
800,1,Abraham Lincoln
805,1,Abraham Lincoln
818,1,Abraham Lincoln
831,1,Abraham Lincoln
855,1,Abraham Lincoln
871,1,Abraham Lincoln
873,1,Abraham Lincoln
874,1,Abraham Lincoln
880,1,Abraham Lincoln
892,1,Abraham Lincoln
895,1,Abraham Lincoln
0,0,a salmon
4,0,a salmon
7,0,a salmon
28,0,a salmon
34,0,a salmon
37,0,a salmon
48,0,a salmon
68,0,a salmon
80,0,a salmon
94,0,a salmon
97,0,a salmon
102,0,a salmon
103,0,a salmon
117,0,a salmon
118,0,a salmon
123,0,a salmon
128,0,a salmon
129,0,a salmon
131,0,a salmon
141,0,a salmon
143,0,a salmon
151,0,a salmon
168,0,a salmon
180,0,a salmon
189,0,a salmon
191,0,a salmon
212,0,a salmon
224,0,a salmon
227,0,a salmon
236,0,a salmon
273,0,a salmon
279,0,a salmon
308,0,a salmon
321,0,a salmon
331,0,a salmon
333,0,a salmon
340,0,a salmon
347,0,a salmon
350,0,a salmon
374,0,a salmon
384,0,a salmon
389,0,a salmon
402,0,a salmon
405,0,a salmon
419,0,a salmon
423,0,a salmon
440,0,a salmon
460,0,a salmon
470,0,a salmon
491,0,a salmon
493,0,a salmon
496,0,a salmon
497,0,a salmon
512,0,a salmon
524,0,a salmon
526,0,a salmon
530,0,a salmon
534,0,a salmon
541,0,a salmon
557,0,a salmon
564,0,a salmon
568,0,a salmon
575,0,a salmon
604,0,a salmon
638,0,a salmon
656,0,a salmon
664,0,a salmon
682,0,a salmon
695,0,a salmon
700,0,a salmon
714,0,a salmon
734,0,a salmon
735,0,a salmon
780,0,a salmon
786,0,a salmon
788,0,a salmon
795,0,a salmon
798,0,a salmon
801,0,a salmon
837,0,a salmon
840,0,a salmon
842,0,a salmon
886,0,a salmon
899,0,a salmon
3,0,an ostrich
9,0,an ostrich
15,0,an ostrich
20,0,an ostrich
32,0,an ostrich
35,0,an ostrich
45,0,an ostrich
71,0,an ostrich
73,0,an ostrich
92,0,an ostrich
105,0,an ostrich
112,0,an ostrich
115,0,an ostrich
137,0,an ostrich
155,0,an ostrich
172,0,an ostrich
181,0,an ostrich
186,0,an ostrich
196,0,an ostrich
234,0,an ostrich
235,0,an ostrich
269,0,an ostrich
287,0,an ostrich
290,0,an ostrich
296,0,an ostrich
300,0,an ostrich
303,0,an ostrich
307,0,an ostrich
364,0,an ostrich
367,0,an ostrich
368,0,an ostrich
386,0,an ostrich
388,0,an ostrich
391,0,an ostrich
400,0,an ostrich
403,0,an ostrich
409,0,an ostrich
412,0,an ostrich
415,0,an ostrich
418,0,an ostrich
422,0,an ostrich
427,0,an ostrich
437,0,an ostrich
450,0,an ostrich
473,0,an ostrich
478,0,an ostrich
482,0,an ostrich
494,0,an ostrich
516,0,an ostrich
517,0,an ostrich
521,0,an ostrich
523,0,an ostrich
527,0,an ostrich
532,0,an ostrich
548,0,an ostrich
549,0,an ostrich
584,0,an ostrich
587,0,an ostrich
589,0,an ostrich
590,0,an ostrich
600,0,an ostrich
610,0,an ostrich
618,0,an ostrich
625,0,an ostrich
631,0,an ostrich
637,0,an ostrich
645,0,an ostrich
655,0,an ostrich
659,0,an ostrich
660,0,an ostrich
663,0,an ostrich
665,0,an ostrich
666,0,an ostrich
667,0,an ostrich
672,0,an ostrich
692,0,an ostrich
696,0,an ostrich
697,0,an ostrich
718,0,an ostrich
727,0,an ostrich
730,0,an ostrich
749,0,an ostrich
750,0,an ostrich
754,0,an ostrich
757,0,an ostrich
796,0,an ostrich
822,0,an ostrich
829,0,an ostrich
832,0,an ostrich
834,0,an ostrich
846,0,an ostrich
864,0,an ostrich
877,0,an ostrich
885,0,an ostrich
893,0,an ostrich
5,0,a whale
22,0,a whale
26,0,a whale
42,0,a whale
44,0,a whale
59,0,a whale
63,0,a whale
65,0,a whale
75,0,a whale
93,0,a whale
95,0,a whale
116,0,a whale
120,0,a whale
121,0,a whale
135,0,a whale
140,0,a whale
158,0,a whale
166,0,a whale
187,0,a whale
208,0,a whale
225,0,a whale
228,0,a whale
313,0,a whale
315,0,a whale
323,0,a whale
325,0,a whale
332,0,a whale
334,0,a whale
339,0,a whale
354,0,a whale
356,0,a whale
357,0,a whale
361,0,a whale
378,0,a whale
383,0,a whale
385,0,a whale
387,0,a whale
393,0,a whale
394,0,a whale
407,0,a whale
416,0,a whale
417,0,a whale
424,0,a whale
425,0,a whale
431,0,a whale
432,0,a whale
434,0,a whale
455,0,a whale
462,0,a whale
464,0,a whale
465,0,a whale
466,0,a whale
472,0,a whale
481,0,a whale
515,0,a whale
528,0,a whale
529,0,a whale
531,0,a whale
537,0,a whale
538,0,a whale
543,0,a whale
546,0,a whale
565,0,a whale
566,0,a whale
571,0,a whale
586,0,a whale
606,0,a whale
612,0,a whale
614,0,a whale
616,0,a whale
634,0,a whale
646,0,a whale
669,0,a whale
683,0,a whale
684,0,a whale
715,0,a whale
720,0,a whale
723,0,a whale
746,0,a whale
752,0,a whale
759,0,a whale
762,0,a whale
764,0,a whale
770,0,a whale
779,0,a whale
783,0,a whale
790,0,a whale
797,0,a whale
803,0,a whale
809,0,a whale
820,0,a whale
862,0,a whale
875,0,a whale
884,0,a whale
887,0,a whale
6,0,a chicken
13,0,a chicken
27,0,a chicken
31,1,a chicken
33,0,a chicken
50,0,a chicken
86,0,a chicken
89,0,a chicken
90,0,a chicken
106,0,a chicken
109,0,a chicken
111,1,a chicken
113,0,a chicken
122,1,a chicken
132,0,a chicken
150,0,a chicken
157,0,a chicken
170,0,a chicken
184,1,a chicken
204,1,a chicken
207,1,a chicken
209,1,a chicken
210,1,a chicken
226,1,a chicken
239,1,a chicken
240,0,a chicken
241,1,a chicken
255,1,a chicken
257,0,a chicken
263,1,a chicken
274,1,a chicken
277,1,a chicken
283,1,a chicken
291,0,a chicken
293,1,a chicken
298,0,a chicken
304,0,a chicken
310,1,a chicken
316,0,a chicken
335,0,a chicken
346,0,a chicken
352,0,a chicken
373,1,a chicken
379,0,a chicken
382,1,a chicken
406,0,a chicken
408,0,a chicken
433,0,a chicken
446,0,a chicken
449,0,a chicken
451,1,a chicken
457,0,a chicken
459,0,a chicken
468,1,a chicken
485,0,a chicken
487,0,a chicken
499,0,a chicken
506,1,a chicken
510,0,a chicken
514,0,a chicken
518,1,a chicken
533,0,a chicken
551,1,a chicken
562,0,a chicken
567,0,a chicken
569,0,a chicken
577,0,a chicken
592,0,a chicken
593,1,a chicken
603,0,a chicken
627,0,a chicken
630,0,a chicken
653,0,a chicken
662,1,a chicken
670,0,a chicken
675,1,a chicken
688,0,a chicken
699,0,a chicken
707,1,a chicken
716,0,a chicken
732,0,a chicken
743,1,a chicken
744,0,a chicken
747,0,a chicken
748,0,a chicken
775,1,a chicken
785,1,a chicken
787,0,a chicken
792,0,a chicken
793,0,a chicken
819,0,a chicken
843,0,a chicken
844,0,a chicken
858,0,a chicken
869,0,a chicken
879,1,a chicken
14,1,a penguin
18,2,a penguin
57,1,a penguin
58,1,a penguin
61,1,a penguin
108,1,a penguin
133,1,a penguin
138,1,a penguin
152,1,a penguin
160,1,a penguin
