Concept,Iteration,S_Chao1,NumberOfPeople,NumberOfTrials,Prior,Tables,Alpha,Posterior,Chain,ProbabilityOfSameTable
Hillary Clinton,1,64.03999999999999,25,36,Simplicity,17,0.16,-654.2123892214718,1,0.11360000000000008
Hillary Clinton,2,61.0,25,36,Simplicity,13,0.16,-650.9720799415007,1,0.19679999999999992
Hillary Clinton,3,50.879999999999995,25,36,Simplicity,12,0.16,-647.6356574611276,1,0.20639999999999994
Hillary Clinton,4,22.759999999999998,25,36,Simplicity,11,0.16,-647.1439959829155,1,0.20959999999999995
Hillary Clinton,5,50.879999999999995,25,36,Simplicity,12,0.16,-649.3754345193191,1,0.20639999999999994
Hillary Clinton,6,10.84,25,36,Simplicity,7,0.16,-644.4950913913743,1,0.4816000000000001
Hillary Clinton,7,13.68,25,36,Simplicity,6,0.16,-634.5158605027375,1,0.5904000000000001
Hillary Clinton,8,3.96,25,36,Simplicity,3,0.16,-629.6020466162317,1,0.8496000000000001
Hillary Clinton,9,10.76,25,36,Simplicity,5,0.16,-629.473879070144,1,0.7120000000000001
Donald Trump,1,15.32,25,36,Simplicity,11,0.16,-640.8788018631977,1,0.22879999999999992
Donald Trump,2,19.0,25,36,Simplicity,7,0.16,-632.9980428320837,1,0.5328000000000002
Donald Trump,3,10.76,25,36,Simplicity,5,0.16,-624.9858945491306,1,0.7120000000000001
Donald Trump,4,3.96,25,36,Simplicity,3,0.16,-622.6715601091558,1,0.8496000000000001
Donald Trump,5,3.96,25,36,Simplicity,3,0.16,-619.6385325568158,1,0.8496000000000001
Donald Trump,6,3.96,25,36,Simplicity,3,0.16,-619.6385325568158,1,0.8496000000000001
Donald Trump,7,2.0,25,36,Simplicity,2,0.16,-619.891798091063,1,0.9232
Donald Trump,8,3.96,25,36,Simplicity,3,0.16,-619.6385325568158,1,0.8496000000000001
Donald Trump,9,2.0,25,36,Simplicity,2,0.16,-619.891798091063,1,0.9232
Joe Biden,1,11.559999999999999,25,36,Simplicity,9,0.16,-625.8362461650236,1,0.2704
Joe Biden,2,10.76,25,36,Simplicity,5,0.16,-610.0719110450054,1,0.7120000000000001
Joe Biden,3,6.88,25,36,Simplicity,4,0.16,-588.6485486171973,1,0.7792000000000001
Joe Biden,4,13.68,25,36,Simplicity,6,0.16,-595.8911294668858,1,0.5904000000000001
Joe Biden,5,3.96,25,36,Simplicity,3,0.16,-590.9552917085656,1,0.8496000000000001
Joe Biden,6,2.0,25,36,Simplicity,2,0.16,-591.6441170296366,1,0.9232
Joe Biden,7,15.6,25,36,Simplicity,6,0.16,-588.8898696490364,1,0.6480000000000004
Joe Biden,8,10.76,25,36,Simplicity,5,0.16,-589.3528072757422,1,0.7120000000000001
Joe Biden,9,6.88,25,36,Simplicity,4,0.16,-588.6485486171973,1,0.7792000000000001
Elizabeth Warren,1,19.173333333333332,25,36,Simplicity,12,0.16,-648.7288621445152,1,0.10400000000000001
Elizabeth Warren,2,11.336666666666666,25,36,Simplicity,10,0.16,-634.2443463687986,1,0.14879999999999996
Elizabeth Warren,3,14.0,25,36,Simplicity,11,0.16,-633.6183410686317,1,0.16159999999999994
Elizabeth Warren,4,11.559999999999999,25,36,Simplicity,9,0.16,-630.9111152433707,1,0.2704
Elizabeth Warren,5,4.48,25,36,Simplicity,4,0.16,-604.0107238570632,1,0.6
Elizabeth Warren,6,6.88,25,36,Simplicity,4,0.16,-591.9502350539714,1,0.7792000000000001
Elizabeth Warren,7,1.0,25,36,Simplicity,1,0.16,-583.1390169673032,1,1.0
Elizabeth Warren,8,2.0,25,36,Simplicity,2,0.16,-584.4137357058792,1,0.9232
Elizabeth Warren,9,1.0,25,36,Simplicity,1,0.16,-583.1390169673032,1,1.0
Ronald Reagan,1,22.399833333333333,25,36,Simplicity,15,0.16,-649.1112555201092,1,0.08480000000000004
Ronald Reagan,2,18.919999999999998,25,36,Simplicity,15,0.16,-653.1242029484258,1,0.07840000000000003
Ronald Reagan,3,22.399833333333333,25,36,Simplicity,15,0.16,-649.5937043414593,1,0.08480000000000004
Ronald Reagan,4,24.72,25,36,Simplicity,15,0.16,-650.4615468889533,1,0.09440000000000004
Ronald Reagan,5,43.04,25,36,Simplicity,14,0.16,-655.8307163264614,1,0.19039999999999993
Ronald Reagan,6,25.28,25,36,Simplicity,8,0.16,-637.1968090929233,1,0.47840000000000005
Ronald Reagan,7,5.92,25,36,Simplicity,4,0.16,-626.4783271997952,1,0.7152
Ronald Reagan,8,13.68,25,36,Simplicity,6,0.16,-629.5718550824497,1,0.5904000000000001
Ronald Reagan,9,5.92,25,36,Simplicity,4,0.16,-626.4783271997952,1,0.7152
Bernie Sanders,1,6.16,25,36,Simplicity,6,0.16,-593.6275156153163,1,0.33120000000000005
Bernie Sanders,2,3.0,25,36,Simplicity,3,0.16,-576.8082297165133,1,0.5648
Bernie Sanders,3,4.48,25,36,Simplicity,4,0.16,-579.3871783989181,1,0.5104000000000002
Bernie Sanders,4,4.24,25,36,Simplicity,4,0.16,-573.9090577067067,1,0.6544000000000001
Bernie Sanders,5,3.48,25,36,Simplicity,3,0.16,-561.7735318084059,1,0.7824
Bernie Sanders,6,5.92,25,36,Simplicity,4,0.16,-562.6472129760458,1,0.7152
Bernie Sanders,7,3.48,25,36,Simplicity,3,0.16,-559.9948512255105,1,0.7824
Bernie Sanders,8,3.48,25,36,Simplicity,3,0.16,-559.9948512255105,1,0.7824
Bernie Sanders,9,2.0,25,36,Simplicity,2,0.16,-559.9736016034932,1,0.8528
George W. Bush,1,35.95916666666666,25,36,Simplicity,11,0.16,-638.6068566820658,1,0.18719999999999995
George W. Bush,2,22.4,25,36,Simplicity,8,0.16,-625.4323859900057,1,0.3632
George W. Bush,3,7.88,25,36,Simplicity,5,0.16,-614.4486703712856,1,0.5072000000000002
George W. Bush,4,4.96,25,36,Simplicity,4,0.16,-615.4009100739647,1,0.6064
George W. Bush,5,3.48,25,36,Simplicity,3,0.16,-608.1571687389663,1,0.7824
George W. Bush,6,3.96,25,36,Simplicity,3,0.16,-606.6780110204319,1,0.8496000000000001
George W. Bush,7,2.0,25,36,Simplicity,2,0.16,-605.799388623611,1,0.9232
George W. Bush,8,2.0,25,36,Simplicity,2,0.16,-609.0514576947568,1,0.9232
George W. Bush,9,6.88,25,36,Simplicity,4,0.16,-607.1666323620767,1,0.7792000000000001
Barack Obama,1,51.879999999999995,25,36,Simplicity,13,0.16,-653.3435178616448,1,0.12640000000000004
Barack Obama,2,19.84,25,36,Simplicity,12,0.16,-646.2342475770865,1,0.1743999999999999
Barack Obama,3,45.56,25,36,Simplicity,11,0.16,-637.1766938998551,1,0.2703999999999999
Barack Obama,4,15.76,25,36,Simplicity,10,0.16,-632.7419708007179,1,0.2992
Barack Obama,5,17.64,25,36,Simplicity,9,0.16,-633.3757895210812,1,0.38239999999999996
Barack Obama,6,10.84,25,36,Simplicity,7,0.16,-620.2181511895863,1,0.4816000000000001
Barack Obama,7,5.92,25,36,Simplicity,4,0.16,-616.5468555538606,1,0.7152
Barack Obama,8,5.92,25,36,Simplicity,4,0.16,-617.7195831117555,1,0.7152
Barack Obama,9,9.32,25,36,Simplicity,5,0.16,-620.3203775845823,1,0.6512000000000002
Abraham Lincoln,1,34.519999999999996,25,36,Simplicity,11,0.16,-612.6437405175774,1,0.16159999999999997
