Concept,Iteration,S_Chao1,NumberOfPeople,NumberOfTrials,Prior,Tables,Alpha,Posterior,Chain,ProbabilityOfSameTable
a salmon,1,11.76,25,36,Simplicity,6,0.16,-540.1837693557061,1,0.36
a salmon,2,2.0,25,36,Simplicity,2,0.16,-528.9373599719256,1,0.5392
a salmon,3,3.48,25,36,Simplicity,3,0.16,-509.2938730457114,1,0.7824
a salmon,4,2.0,25,36,Simplicity,2,0.16,-499.4905236478687,1,0.9232
a salmon,5,2.0,25,36,Simplicity,2,0.16,-499.4905236478687,1,0.9232
a salmon,6,2.0,25,36,Simplicity,2,0.16,-499.4905236478687,1,0.9232
a salmon,7,1.0,25,36,Simplicity,1,0.16,-499.9797022887901,1,1.0
a salmon,8,2.0,25,36,Simplicity,2,0.16,-499.4905236478687,1,0.9232
a salmon,9,2.0,25,36,Simplicity,2,0.16,-499.4905236478687,1,0.9232
an eagle,1,7.96,25,36,Simplicity,7,0.16,-577.4209122695066,1,0.23839999999999997
an eagle,2,3.0,25,36,Simplicity,3,0.16,-546.0390739029494,1,0.4656
an eagle,3,3.0,25,36,Simplicity,3,0.16,-540.471460319724,1,0.4656
an eagle,4,4.96,25,36,Simplicity,4,0.16,-542.1844553647778,1,0.4464
an eagle,5,3.0,25,36,Simplicity,3,0.16,-542.911832552077,1,0.5424000000000001
an eagle,6,3.96,25,36,Simplicity,3,0.16,-515.9732969132939,1,0.8496000000000001
an eagle,7,2.0,25,36,Simplicity,2,0.16,-511.61548237539705,1,0.9232
an eagle,8,2.0,25,36,Simplicity,2,0.16,-511.61548237539705,1,0.9232
an eagle,9,2.0,25,36,Simplicity,2,0.16,-511.61548237539705,1,0.9232
a seal,1,9.129583333333334,25,36,Simplicity,8,0.16,-546.1071496114846,1,0.184
a seal,2,5.0,25,36,Simplicity,5,0.16,-543.3801374813831,1,0.26080000000000003
a seal,3,4.48,25,36,Simplicity,4,0.16,-517.3642023436311,1,0.4464
a seal,4,2.0,25,36,Simplicity,2,0.16,-494.27587559216033,1,0.5968
a seal,5,2.0,25,36,Simplicity,2,0.16,-494.27587559216033,1,0.5968
a seal,6,3.0,25,36,Simplicity,3,0.16,-499.66919452818865,1,0.5776
a seal,7,2.0,25,36,Simplicity,2,0.16,-494.9710095236851,1,0.8528
a seal,8,2.0,25,36,Simplicity,2,0.16,-489.7960757523359,1,0.9232
a seal,9,1.0,25,36,Simplicity,1,0.16,-474.30034454676644,1,1.0
