ID,Table,Concept
0,1,a salmon
4,1,a salmon
7,1,a salmon
28,1,a salmon
34,1,a salmon
37,1,a salmon
48,1,a salmon
68,0,a salmon
80,1,a salmon
94,1,a salmon
97,1,a salmon
102,1,a salmon
103,1,a salmon
117,1,a salmon
118,1,a salmon
123,1,a salmon
128,1,a salmon
131,1,a salmon
141,1,a salmon
143,1,a salmon
151,1,a salmon
168,1,a salmon
180,1,a salmon
189,1,a salmon
191,1,a salmon
212,1,a salmon
217,1,a salmon
224,1,a salmon
227,1,a salmon
236,1,a salmon
273,1,a salmon
279,1,a salmon
308,1,a salmon
321,1,a salmon
331,1,a salmon
333,1,a salmon
340,1,a salmon
347,1,a salmon
350,1,a salmon
369,1,a salmon
374,1,a salmon
384,1,a salmon
389,1,a salmon
402,1,a salmon
405,1,a salmon
419,1,a salmon
423,1,a salmon
440,1,a salmon
460,1,a salmon
470,1,a salmon
491,1,a salmon
493,1,a salmon
496,1,a salmon
497,1,a salmon
512,1,a salmon
524,1,a salmon
530,1,a salmon
534,1,a salmon
541,1,a salmon
557,1,a salmon
564,1,a salmon
568,1,a salmon
575,1,a salmon
604,1,a salmon
638,1,a salmon
656,1,a salmon
664,1,a salmon
682,1,a salmon
695,1,a salmon
700,1,a salmon
714,1,a salmon
734,1,a salmon
735,1,a salmon
780,1,a salmon
786,1,a salmon
788,1,a salmon
795,1,a salmon
798,1,a salmon
801,1,a salmon
837,1,a salmon
840,1,a salmon
842,1,a salmon
886,1,a salmon
899,1,a salmon
1,1,an eagle
10,1,an eagle
29,1,an eagle
39,1,an eagle
47,1,an eagle
52,1,an eagle
55,1,an eagle
60,2,an eagle
66,1,an eagle
125,1,an eagle
130,1,an eagle
139,1,an eagle
148,1,an eagle
163,1,an eagle
167,1,an eagle
190,1,an eagle
197,1,an eagle
205,1,an eagle
206,1,an eagle
211,1,an eagle
213,1,an eagle
230,1,an eagle
242,1,an eagle
248,1,an eagle
251,1,an eagle
254,1,an eagle
265,1,an eagle
267,1,an eagle
270,1,an eagle
292,0,an eagle
306,1,an eagle
342,1,an eagle
343,1,an eagle
360,1,an eagle
370,1,an eagle
372,1,an eagle
376,1,an eagle
414,1,an eagle
420,1,an eagle
428,1,an eagle
430,1,an eagle
438,1,an eagle
443,1,an eagle
471,1,an eagle
476,0,an eagle
480,1,an eagle
488,1,an eagle
503,1,an eagle
508,1,an eagle
513,1,an eagle
520,1,an eagle
522,1,an eagle
555,1,an eagle
559,1,an eagle
560,1,an eagle
572,1,an eagle
591,1,an eagle
594,1,an eagle
613,1,an eagle
626,1,an eagle
676,1,an eagle
709,1,an eagle
719,1,an eagle
725,1,an eagle
738,1,an eagle
740,1,an eagle
771,1,an eagle
776,1,an eagle
806,1,an eagle
808,1,an eagle
813,1,an eagle
824,1,an eagle
838,1,an eagle
847,1,an eagle
851,1,an eagle
852,1,an eagle
868,1,an eagle
870,1,an eagle
872,1,an eagle
878,1,an eagle
891,1,an eagle
2,0,a seal
8,0,a seal
11,0,a seal
12,0,a seal
17,0,a seal
49,0,a seal
54,0,a seal
67,0,a seal
70,0,a seal
74,0,a seal
82,0,a seal
84,0,a seal
85,0,a seal
88,0,a seal
99,0,a seal
104,0,a seal
107,0,a seal
153,0,a seal
161,0,a seal
174,0,a seal
192,0,a seal
195,0,a seal
216,0,a seal
219,0,a seal
243,0,a seal
245,0,a seal
247,0,a seal
250,0,a seal
253,0,a seal
271,0,a seal
272,0,a seal
285,0,a seal
301,0,a seal
317,0,a seal
327,0,a seal
338,0,a seal
345,0,a seal
366,0,a seal
375,0,a seal
381,0,a seal
399,0,a seal
436,0,a seal
439,0,a seal
444,0,a seal
454,0,a seal
463,0,a seal
475,0,a seal
484,0,a seal
492,0,a seal
542,0,a seal
552,0,a seal
573,0,a seal
581,0,a seal
607,0,a seal
609,0,a seal
611,0,a seal
615,0,a seal
635,0,a seal
639,0,a seal
679,0,a seal
681,0,a seal
713,0,a seal
721,0,a seal
726,0,a seal
737,0,a seal
741,0,a seal
768,0,a seal
777,0,a seal
781,0,a seal
784,0,a seal
816,0,a seal
817,0,a seal
827,0,a seal
839,0,a seal
845,0,a seal
848,0,a seal
856,0,a seal
861,0,a seal
883,0,a seal
889,0,a seal
897,0,a seal
3,0,an ostrich
9,0,an ostrich
15,0,an ostrich
20,0,an ostrich
32,0,an ostrich
35,0,an ostrich
45,0,an ostrich
71,0,an ostrich
73,0,an ostrich
92,0,an ostrich
105,0,an ostrich
112,0,an ostrich
115,0,an ostrich
127,0,an ostrich
137,0,an ostrich
155,0,an ostrich
172,0,an ostrich
186,0,an ostrich
196,0,an ostrich
234,0,an ostrich
235,0,an ostrich
269,0,an ostrich
287,0,an ostrich
290,0,an ostrich
296,0,an ostrich
300,0,an ostrich
303,0,an ostrich
307,0,an ostrich
364,0,an ostrich
367,0,an ostrich
368,0,an ostrich
386,0,an ostrich
388,0,an ostrich
391,0,an ostrich
400,0,an ostrich
403,0,an ostrich
409,0,an ostrich
412,0,an ostrich
415,0,an ostrich
418,0,an ostrich
422,0,an ostrich
427,0,an ostrich
437,0,an ostrich
450,0,an ostrich
473,0,an ostrich
478,0,an ostrich
482,0,an ostrich
494,0,an ostrich
516,0,an ostrich
517,0,an ostrich
521,0,an ostrich
523,0,an ostrich
532,0,an ostrich
548,0,an ostrich
549,0,an ostrich
584,0,an ostrich
587,0,an ostrich
589,0,an ostrich
590,0,an ostrich
600,0,an ostrich
610,0,an ostrich
618,0,an ostrich
625,0,an ostrich
631,0,an ostrich
637,0,an ostrich
645,0,an ostrich
655,0,an ostrich
659,0,an ostrich
660,0,an ostrich
663,0,an ostrich
665,0,an ostrich
666,0,an ostrich
667,0,an ostrich
672,0,an ostrich
692,0,an ostrich
696,0,an ostrich
697,0,an ostrich
718,0,an ostrich
727,0,an ostrich
730,0,an ostrich
749,0,an ostrich
750,0,an ostrich
754,0,an ostrich
757,0,an ostrich
796,0,an ostrich
822,0,an ostrich
829,0,an ostrich
832,0,an ostrich
834,0,an ostrich
846,0,an ostrich
864,1,an ostrich
877,0,an ostrich
885,0,an ostrich
893,0,an ostrich
5,1,a whale
22,1,a whale
26,1,a whale
42,1,a whale
44,1,a whale
59,1,a whale
63,1,a whale
65,1,a whale
75,1,a whale
93,0,a whale
95,1,a whale
116,1,a whale
120,1,a whale
121,1,a whale
135,0,a whale
140,1,a whale
158,0,a whale
166,1,a whale
187,1,a whale
208,1,a whale
225,1,a whale
228,1,a whale
313,1,a whale
315,1,a whale
323,1,a whale
325,1,a whale
332,1,a whale
334,0,a whale
339,1,a whale
354,1,a whale
356,1,a whale
357,1,a whale
361,1,a whale
378,1,a whale
383,1,a whale
385,1,a whale
387,1,a whale
393,1,a whale
394,1,a whale
407,1,a whale
416,0,a whale
417,1,a whale
424,1,a whale
425,1,a whale
431,1,a whale
432,1,a whale
434,1,a whale
455,1,a whale
462,1,a whale
464,1,a whale
465,1,a whale
466,1,a whale
472,1,a whale
481,1,a whale
515,1,a whale
528,1,a whale
529,1,a whale
531,1,a whale
537,1,a whale
538,1,a whale
543,1,a whale
546,1,a whale
565,1,a whale
566,1,a whale
571,1,a whale
586,1,a whale
606,1,a whale
612,1,a whale
614,1,a whale
616,0,a whale
634,1,a whale
646,1,a whale
668,1,a whale
669,1,a whale
683,1,a whale
684,0,a whale
715,1,a whale
720,1,a whale
723,1,a whale
746,0,a whale
752,1,a whale
759,1,a whale
762,1,a whale
764,1,a whale
770,1,a whale
779,1,a whale
783,1,a whale
790,1,a whale
797,1,a whale
