Concept,Iteration,S_Chao1,NumberOfPeople,NumberOfTrials,Prior,Tables,Alpha,Posterior,Chain,ProbabilityOfSameTable
a salmon,1,10.44,25,36,Simplicity,9,0.16,-593.7574932695629,1,0.2128
a salmon,2,8.44,25,36,Simplicity,7,0.16,-573.4476034884018,1,0.4336
a salmon,3,3.96,25,36,Simplicity,3,0.16,-546.9697573457539,1,0.8496000000000001
a salmon,4,2.0,25,36,Simplicity,2,0.16,-537.5170544514148,1,0.9232
a salmon,5,1.0,25,36,Simplicity,1,0.16,-535.5347697681126,1,1.0
a salmon,6,1.0,25,36,Simplicity,1,0.16,-535.5347697681126,1,1.0
a salmon,7,2.0,25,36,Simplicity,2,0.16,-537.5170544514148,1,0.9232
a salmon,8,1.0,25,36,Simplicity,1,0.16,-535.5347697681126,1,1.0
a salmon,9,1.0,25,36,Simplicity,1,0.16,-535.5347697681126,1,1.0
an eagle,1,11.76,25,36,Simplicity,6,0.16,-585.2770069565651,1,0.5392000000000001
an eagle,2,3.0,25,36,Simplicity,3,0.16,-576.6166051508268,1,0.6672000000000001
an eagle,3,3.96,25,36,Simplicity,3,0.16,-569.5338377005291,1,0.8496000000000001
an eagle,4,2.0,25,36,Simplicity,2,0.16,-567.3914544821337,1,0.9232
an eagle,5,2.0,25,36,Simplicity,2,0.16,-567.3914544821337,1,0.9232
an eagle,6,3.96,25,36,Simplicity,3,0.16,-575.9316936121281,1,0.8496000000000001
an eagle,7,2.0,25,36,Simplicity,2,0.16,-567.3914544821337,1,0.9232
an eagle,8,2.0,25,36,Simplicity,2,0.16,-567.3914544821337,1,0.9232
an eagle,9,3.96,25,36,Simplicity,3,0.16,-571.6722127691842,1,0.8496000000000001
a seal,1,6.96,25,36,Simplicity,6,0.16,-553.5223573163404,1,0.44000000000000006
a seal,2,3.48,25,36,Simplicity,3,0.16,-519.7057922135543,1,0.7824
a seal,3,3.48,25,36,Simplicity,3,0.16,-512.7687768655693,1,0.7824
a seal,4,2.0,25,36,Simplicity,2,0.16,-512.0678458186952,1,0.8528
a seal,5,2.0,25,36,Simplicity,2,0.16,-512.0678458186952,1,0.8528
a seal,6,2.0,25,36,Simplicity,2,0.16,-512.0678458186952,1,0.8528
a seal,7,2.0,25,36,Simplicity,2,0.16,-512.0678458186952,1,0.8528
a seal,8,2.0,25,36,Simplicity,2,0.16,-512.0678458186952,1,0.8528
a seal,9,2.0,25,36,Simplicity,2,0.16,-512.0678458186952,1,0.8528
an ostrich,1,6.0,25,36,Simplicity,6,0.16,-548.080466992605,1,0.20320000000000002
an ostrich,2,5.0,25,36,Simplicity,5,0.16,-548.3569782158359,1,0.26080000000000003
an ostrich,3,4.0,25,36,Simplicity,4,0.16,-534.8380747665478,1,0.4208
an ostrich,4,2.0,25,36,Simplicity,2,0.16,-500.99470878611413,1,0.7311999999999999
an ostrich,5,2.0,25,36,Simplicity,2,0.16,-499.5556787315706,1,0.7311999999999999
an ostrich,6,2.0,25,36,Simplicity,2,0.16,-495.07756627421014,1,0.9232
an ostrich,7,1.0,25,36,Simplicity,1,0.16,-487.6102228252361,1,1.0
an ostrich,8,1.0,25,36,Simplicity,1,0.16,-487.6102228252361,1,1.0
an ostrich,9,1.0,25,36,Simplicity,1,0.16,-487.6102228252361,1,1.0
a whale,1,4.24,25,36,Simplicity,4,0.16,-483.85672116253636,1,0.6544000000000001
a whale,2,3.0,25,36,Simplicity,3,0.16,-473.52533546374383,1,0.7183999999999998
a whale,3,3.0,25,36,Simplicity,3,0.16,-473.52533546374383,1,0.7183999999999998
a whale,4,2.0,25,36,Simplicity,2,0.16,-462.2673825287273,1,0.8528
a whale,5,2.0,25,36,Simplicity,2,0.16,-462.2673825287273,1,0.8528
a whale,6,2.0,25,36,Simplicity,2,0.16,-462.2673825287273,1,0.8528
a whale,7,2.0,25,36,Simplicity,2,0.16,-462.2673825287273,1,0.8528
a whale,8,2.0,25,36,Simplicity,2,0.16,-462.2673825287273,1,0.8528
a whale,9,2.0,25,36,Simplicity,2,0.16,-462.2673825287273,1,0.8528
a chicken,1,4.0,25,36,Simplicity,4,0.16,-412.98403753931285,1,0.4208
a chicken,2,3.0,25,36,Simplicity,3,0.16,-401.94519000483086,1,0.5584
a chicken,3,3.0,25,36,Simplicity,3,0.16,-401.1503098917515,1,0.5584
a chicken,4,3.0,25,36,Simplicity,3,0.16,-396.7190765316235,1,0.5648
a chicken,5,3.0,25,36,Simplicity,3,0.16,-397.59031870496494,1,0.5264000000000001
a chicken,6,2.0,25,36,Simplicity,2,0.16,-387.98009011657473,1,0.6800000000000002
a chicken,7,2.0,25,36,Simplicity,2,0.16,-388.0866700569525,1,0.7311999999999999
a chicken,8,2.0,25,36,Simplicity,2,0.16,-383.2946563573697,1,0.9232
a chicken,9,2.0,25,36,Simplicity,2,0.16,-378.2589403986351,1,0.9232
a penguin,1,15.68,25,36,Simplicity,8,0.16,-579.1484881279104,1,0.2448
a penguin,2,11.32,25,36,Simplicity,7,0.16,-563.5085537011138,1,0.26400000000000007
a penguin,3,5.48,25,36,Simplicity,5,0.16,-558.6284011380529,1,0.3184
a penguin,4,5.96,25,36,Simplicity,5,0.16,-557.6791051866426,1,0.3504
a penguin,5,3.0,25,36,Simplicity,3,0.16,-550.9882958541959,1,0.43040000000000006
a penguin,6,4.0,25,36,Simplicity,4,0.16,-549.3610531942779,1,0.4336
a penguin,7,4.0,25,36,Simplicity,4,0.16,-549.9954926161126,1,0.45600000000000007
a penguin,8,4.22,25,36,Simplicity,4,0.16,-553.796491736787,1,0.5040000000000001
a penguin,9,6.88,25,36,Simplicity,4,0.16,-547.5764747291995,1,0.7792000000000001
a robin,1,4.0,25,36,Simplicity,4,0.16,-503.6430850082622,1,0.32160000000000005
a robin,2,3.0,25,36,Simplicity,3,0.16,-484.3374008723151,1,0.4144
a robin,3,3.0,25,36,Simplicity,3,0.16,-478.84293163387827,1,0.4368000000000001
a robin,4,3.0,25,36,Simplicity,3,0.16,-479.9304880616375,1,0.49119999999999997
a robin,5,3.0,25,36,Simplicity,3,0.16,-480.9512021590703,1,0.49440000000000006
a robin,6,4.48,25,36,Simplicity,4,0.16,-481.6238886061105,1,0.4752
a robin,7,3.0,25,36,Simplicity,3,0.16,-479.1171319357854,1,0.49440000000000006
a robin,8,3.0,25,36,Simplicity,3,0.16,-473.2571075448441,1,0.5424000000000001
a robin,9,3.0,25,36,Simplicity,3,0.16,-475.59747528536377,1,0.5136000000000001
a finch,1,4.0,25,36,Simplicity,4,0.16,-465.4074907789668,1,0.5455999999999999
a finch,2,3.48,25,36,Simplicity,3,0.16,-456.36093406500356,1,0.7824
a finch,3,2.0,25,36,Simplicity,2,0.16,-443.44464315915405,1,0.7888
a finch,4,2.0,25,36,Simplicity,2,0.16,-443.44464315915405,1,0.7888
a finch,5,1.0,25,36,Simplicity,1,0.16,-434.38357509026935,1,1.0
a finch,6,1.0,25,36,Simplicity,1,0.16,-434.38357509026935,1,1.0
a finch,7,1.0,25,36,Simplicity,1,0.16,-434.38357509026935,1,1.0
a finch,8,1.0,25,36,Simplicity,1,0.16,-434.38357509026935,1,1.0
a finch,9,1.0,25,36,Simplicity,1,0.16,-434.38357509026935,1,1.0
a dolphin,1,12.879166666666666,25,36,Simplicity,8,0.16,-549.1575708890455,1,0.1936
a dolphin,2,5.0,25,36,Simplicity,5,0.16,-508.8829712352318,1,0.24159999999999998
a dolphin,3,4.0,25,36,Simplicity,4,0.16,-497.98224057258824,1,0.2736
a dolphin,4,4.0,25,36,Simplicity,4,0.16,-500.4260565467857,1,0.27999999999999997
a dolphin,5,4.0,25,36,Simplicity,4,0.16,-500.52883325501716,1,0.2736
a dolphin,6,4.0,25,36,Simplicity,4,0.16,-502.55318213530506,1,0.2896
a dolphin,7,4.0,25,36,Simplicity,4,0.16,-504.6863957789693,1,0.3312
a dolphin,8,3.0,25,36,Simplicity,3,0.16,-488.2941683324501,1,0.6063999999999999
a dolphin,9,2.0,25,36,Simplicity,2,0.16,-473.78807122744155,1,0.7888
Hillary Clinton,1,17.456,25,36,Simplicity,14,0.16,-665.6343737124423,1,0.08480000000000003
Hillary Clinton,2,45.04,25,36,Simplicity,18,0.16,-661.1638800062394,1,0.06879999999999999
Hillary Clinton,3,34.44,25,36,Simplicity,15,0.16,-660.1714145990611,1,0.08480000000000004
Hillary Clinton,4,22.399833333333333,25,36,Simplicity,15,0.16,-659.9951123108281,1,0.08480000000000004
Hillary Clinton,5,31.823999999999998,25,36,Simplicity,18,0.16,-659.9321197580773,1,0.06559999999999998
Hillary Clinton,6,22.68,25,36,Simplicity,15,0.16,-663.52334550521,1,0.08160000000000003
Hillary Clinton,7,32.0,25,36,Simplicity,16,0.16,-658.8096276125333,1,0.07840000000000005
Hillary Clinton,8,49.07333333333333,25,36,Simplicity,16,0.16,-661.7185340372022,1,0.08480000000000004
Hillary Clinton,9,31.52,25,36,Simplicity,17,0.16,-665.9935347180494,1,0.07200000000000001
Donald Trump,1,22.73181818181818,22,36,Simplicity,15,0.16,-593.2528767871239,1,0.07851239669421486
Donald Trump,2,22.73181818181818,22,36,Simplicity,15,0.16,-595.8555664725683,1,0.07851239669421484
Donald Trump,3,30.4375,22,36,Simplicity,16,0.16,-594.3662264819137,1,0.07438016528925617
Donald Trump,4,17.67727272727273,22,36,Simplicity,13,0.16,-592.575270351439,1,0.10743801652892557
Donald Trump,5,26.272727272727273,22,36,Simplicity,11,0.16,-587.6909996551044,1,0.23966942148760323
Donald Trump,6,32.38636363636364,22,36,Simplicity,9,0.16,-579.6573622545682,1,0.371900826446281
Donald Trump,7,35.72727272727273,22,36,Simplicity,9,0.16,-576.3125202908033,1,0.42148760330578505
Donald Trump,8,44.36363636363637,22,36,Simplicity,10,0.16,-579.4625070629446,1,0.3677685950413223
