Concept,Iteration,S_Chao1,NumberOfPeople,NumberOfTrials,Prior,Tables,Alpha,Posterior,Chain,ProbabilityOfSameTable
a salmon,1,5.0,25,36,Simplicity,5,0.16,-463.0444527943389,1,0.26080000000000003
a salmon,2,4.48,25,36,Simplicity,4,0.16,-436.37981345859356,1,0.5519999999999999
a salmon,3,2.0,25,36,Simplicity,2,0.16,-407.98226749255065,1,0.7888
a salmon,4,1.0,25,36,Simplicity,1,0.16,-388.606488251671,1,1.0
a salmon,5,1.0,25,36,Simplicity,1,0.16,-388.606488251671,1,1.0
a salmon,6,1.0,25,36,Simplicity,1,0.16,-388.606488251671,1,1.0
a salmon,7,1.0,25,36,Simplicity,1,0.16,-388.606488251671,1,1.0
a salmon,8,1.0,25,36,Simplicity,1,0.16,-388.606488251671,1,1.0
a salmon,9,1.0,25,36,Simplicity,1,0.16,-388.606488251671,1,1.0
an eagle,1,4.0,25,36,Simplicity,4,0.16,-492.3263238934288,1,0.5455999999999999
an eagle,2,1.0,25,36,Simplicity,1,0.16,-451.17142520468167,1,1.0
an eagle,3,1.0,25,36,Simplicity,1,0.16,-451.17142520468167,1,1.0
an eagle,4,1.0,25,36,Simplicity,1,0.16,-451.17142520468167,1,1.0
an eagle,5,1.0,25,36,Simplicity,1,0.16,-451.17142520468167,1,1.0
an eagle,6,1.0,25,36,Simplicity,1,0.16,-451.17142520468167,1,1.0
an eagle,7,1.0,25,36,Simplicity,1,0.16,-451.17142520468167,1,1.0
an eagle,8,1.0,25,36,Simplicity,1,0.16,-451.17142520468167,1,1.0
an eagle,9,1.0,25,36,Simplicity,1,0.16,-451.17142520468167,1,1.0
a seal,1,13.76,25,36,Simplicity,8,0.16,-505.2102494583031,1,0.23520000000000002
a seal,2,3.0,25,36,Simplicity,3,0.16,-462.45045366885927,1,0.45280000000000004
a seal,3,2.0,25,36,Simplicity,2,0.16,-448.8816709405876,1,0.6800000000000002
a seal,4,2.0,25,36,Simplicity,2,0.16,-441.24643618094353,1,0.7311999999999999
a seal,5,3.48,25,36,Simplicity,3,0.16,-445.63195499500074,1,0.7824
a seal,6,2.0,25,36,Simplicity,2,0.16,-439.6620481806506,1,0.9232
a seal,7,1.0,25,36,Simplicity,1,0.16,-425.5348126925371,1,1.0
a seal,8,1.0,25,36,Simplicity,1,0.16,-425.5348126925371,1,1.0
a seal,9,1.0,25,36,Simplicity,1,0.16,-425.5348126925371,1,1.0
an ostrich,1,5.0,25,36,Simplicity,5,0.16,-440.20791427959546,1,0.21920000000000006
an ostrich,2,4.0,25,36,Simplicity,4,0.16,-414.58423532733445,1,0.34719999999999995
an ostrich,3,3.0,25,36,Simplicity,3,0.16,-387.35128986070924,1,0.7215999999999999
an ostrich,4,1.0,25,36,Simplicity,1,0.16,-349.84873532592644,1,1.0
an ostrich,5,1.0,25,36,Simplicity,1,0.16,-349.84873532592644,1,1.0
an ostrich,6,1.0,25,36,Simplicity,1,0.16,-349.84873532592644,1,1.0
an ostrich,7,1.0,25,36,Simplicity,1,0.16,-349.84873532592644,1,1.0
an ostrich,8,1.0,25,36,Simplicity,1,0.16,-349.84873532592644,1,1.0
an ostrich,9,1.0,25,36,Simplicity,1,0.16,-349.84873532592644,1,1.0
a whale,1,4.0,25,36,Simplicity,4,0.16,-372.43362475965546,1,0.264
a whale,2,4.0,25,36,Simplicity,4,0.16,-372.82619977164285,1,0.2576
a whale,3,4.0,25,36,Simplicity,4,0.16,-378.1899348644753,1,0.2512
a whale,4,4.0,25,36,Simplicity,4,0.16,-377.1366133607801,1,0.2768
a whale,5,4.0,25,36,Simplicity,4,0.16,-380.2608972319606,1,0.38880000000000003
a whale,6,3.0,25,36,Simplicity,3,0.16,-355.6084302917303,1,0.47520000000000007
a whale,7,2.0,25,36,Simplicity,2,0.16,-340.02094446984427,1,0.6800000000000002
a whale,8,2.0,25,36,Simplicity,2,0.16,-333.9936329311922,1,0.7888
a whale,9,1.0,25,36,Simplicity,1,0.16,-312.81507943111245,1,1.0
a chicken,1,3.0,25,36,Simplicity,3,0.16,-385.9540643208511,1,0.6672000000000001
a chicken,2,2.0,25,36,Simplicity,2,0.16,-368.27141306249774,1,0.7888
a chicken,3,1.0,25,36,Simplicity,1,0.16,-341.91305190967137,1,1.0
a chicken,4,1.0,25,36,Simplicity,1,0.16,-341.91305190967137,1,1.0
a chicken,5,1.0,25,36,Simplicity,1,0.16,-341.91305190967137,1,1.0
a chicken,6,1.0,25,36,Simplicity,1,0.16,-341.91305190967137,1,1.0
a chicken,7,1.0,25,36,Simplicity,1,0.16,-341.91305190967137,1,1.0
