Concept,Iteration,S_Chao1,NumberOfPeople,NumberOfTrials,Prior,Tables,Alpha,Posterior,Chain,ProbabilityOfSameTable
Hillary Clinton,1,53.759166666666665,25,36,Simplicity,13,0.16,-625.7970569561484,1,0.13919999999999993
Hillary Clinton,2,20.0,25,36,Simplicity,8,0.16,-611.2244410479312,1,0.3536
Hillary Clinton,3,25.28,25,36,Simplicity,8,0.16,-600.5406010777723,1,0.47840000000000005
Hillary Clinton,4,5.92,25,36,Simplicity,4,0.16,-595.5059927370949,1,0.7152
Hillary Clinton,5,13.68,25,36,Simplicity,6,0.16,-594.4222155834068,1,0.5904000000000001
Hillary Clinton,6,9.32,25,36,Simplicity,5,0.16,-596.4709258761274,1,0.6512000000000002
Hillary Clinton,7,3.48,25,36,Simplicity,3,0.16,-594.735156515184,1,0.7824
Hillary Clinton,8,5.92,25,36,Simplicity,4,0.16,-595.991154219947,1,0.7152
Hillary Clinton,9,5.92,25,36,Simplicity,4,0.16,-595.5059927370949,1,0.7152
Donald Trump,1,49.36,25,36,Simplicity,18,0.16,-634.560408096671,1,0.08160000000000005
Donald Trump,2,72.08,25,36,Simplicity,14,0.16,-631.1759012340226,1,0.16799999999999987
Donald Trump,3,15.76,25,36,Simplicity,10,0.16,-625.1893075206086,1,0.2992
Donald Trump,4,19.0,25,36,Simplicity,7,0.16,-610.3336557593753,1,0.5328000000000002
Donald Trump,5,5.92,25,36,Simplicity,4,0.16,-608.742899596882,1,0.7152
Donald Trump,6,3.96,25,36,Simplicity,3,0.16,-608.0800586462548,1,0.8496000000000001
Donald Trump,7,6.88,25,36,Simplicity,4,0.16,-605.9624186084055,1,0.7792000000000001
Donald Trump,8,2.0,25,36,Simplicity,2,0.16,-600.9261515742717,1,0.9232
Donald Trump,9,3.96,25,36,Simplicity,3,0.16,-601.9576290994776,1,0.8496000000000001
Joe Biden,1,21.4,25,36,Simplicity,7,0.16,-541.0089814749311,1,0.5872000000000003
Joe Biden,2,6.88,25,36,Simplicity,4,0.16,-532.379882160764,1,0.7792000000000001
Joe Biden,3,6.88,25,36,Simplicity,4,0.16,-532.379882160764,1,0.7792000000000001
Joe Biden,4,6.88,25,36,Simplicity,4,0.16,-532.379882160764,1,0.7792000000000001
Joe Biden,5,6.88,25,36,Simplicity,4,0.16,-532.379882160764,1,0.7792000000000001
