Concept,Iteration,S_Chao1,NumberOfPeople,NumberOfTrials,Prior,Tables,Alpha,Posterior,Chain,ProbabilityOfSameTable
a salmon,1,14.68,25,36,Simplicity,7,0.16,-583.1743529542723,1,0.4368
a salmon,2,5.92,25,36,Simplicity,4,0.16,-565.4835165863515,1,0.7152
a salmon,3,3.48,25,36,Simplicity,3,0.16,-554.9100357863529,1,0.7824
a salmon,4,2.0,25,36,Simplicity,2,0.16,-556.3438817633867,1,0.8528
a salmon,5,3.48,25,36,Simplicity,3,0.16,-554.9100357863529,1,0.7824
a salmon,6,5.92,25,36,Simplicity,4,0.16,-554.5123198553601,1,0.7152
a salmon,7,5.92,25,36,Simplicity,4,0.16,-554.5123198553601,1,0.7152
a salmon,8,5.92,25,36,Simplicity,4,0.16,-554.5123198553601,1,0.7152
a salmon,9,2.0,25,36,Simplicity,2,0.16,-556.3438817633867,1,0.8528
an eagle,1,8.48,25,36,Simplicity,8,0.16,-577.6005239296826,1,0.20959999999999998
an eagle,2,7.88,25,36,Simplicity,5,0.16,-558.0810633338898,1,0.4432
an eagle,3,3.0,25,36,Simplicity,3,0.16,-556.743765559429,1,0.5136000000000001
an eagle,4,3.0,25,36,Simplicity,3,0.16,-550.4121075777801,1,0.5776
an eagle,5,3.0,25,36,Simplicity,3,0.16,-549.8985399449443,1,0.6192000000000001
an eagle,6,3.0,25,36,Simplicity,3,0.16,-550.571962537642,1,0.6672000000000001
an eagle,7,3.0,25,36,Simplicity,3,0.16,-553.275689255931,1,0.6192000000000001
an eagle,8,3.0,25,36,Simplicity,3,0.16,-550.4121075777801,1,0.5776
an eagle,9,3.0,25,36,Simplicity,3,0.16,-549.8985399449443,1,0.6192000000000001
a seal,1,10.44,25,36,Simplicity,9,0.16,-576.4753078487211,1,0.17439999999999997
a seal,2,9.259166666666667,25,36,Simplicity,7,0.16,-574.2642488322949,1,0.20959999999999995
a seal,3,7.84,25,36,Simplicity,6,0.16,-572.5061417417412,1,0.32800000000000007
a seal,4,6.92,25,36,Simplicity,5,0.16,-542.5583946302165,1,0.4976000000000001
a seal,5,2.0,25,36,Simplicity,2,0.16,-536.979372582489,1,0.7311999999999999
a seal,6,3.0,25,36,Simplicity,3,0.16,-537.2432216616777,1,0.6192000000000001
a seal,7,2.0,25,36,Simplicity,2,0.16,-538.7228988963224,1,0.6800000000000002
