ID,Table,Concept
3,1,an ostrich
9,1,an ostrich
15,1,an ostrich
20,1,an ostrich
32,1,an ostrich
35,1,an ostrich
45,1,an ostrich
71,1,an ostrich
73,1,an ostrich
92,1,an ostrich
105,1,an ostrich
112,1,an ostrich
115,1,an ostrich
127,1,an ostrich
137,2,an ostrich
155,1,an ostrich
172,1,an ostrich
181,1,an ostrich
186,1,an ostrich
196,1,an ostrich
234,1,an ostrich
235,1,an ostrich
269,1,an ostrich
287,1,an ostrich
290,1,an ostrich
296,1,an ostrich
300,1,an ostrich
303,1,an ostrich
307,1,an ostrich
364,1,an ostrich
368,1,an ostrich
386,1,an ostrich
388,1,an ostrich
391,1,an ostrich
400,0,an ostrich
403,1,an ostrich
412,1,an ostrich
415,1,an ostrich
418,1,an ostrich
422,1,an ostrich
427,1,an ostrich
437,1,an ostrich
473,1,an ostrich
478,2,an ostrich
482,1,an ostrich
494,1,an ostrich
516,1,an ostrich
517,1,an ostrich
521,1,an ostrich
523,1,an ostrich
527,1,an ostrich
532,1,an ostrich
549,1,an ostrich
584,1,an ostrich
587,1,an ostrich
589,1,an ostrich
590,1,an ostrich
600,1,an ostrich
610,1,an ostrich
625,1,an ostrich
631,1,an ostrich
637,1,an ostrich
645,1,an ostrich
655,1,an ostrich
659,1,an ostrich
660,1,an ostrich
663,1,an ostrich
665,1,an ostrich
666,1,an ostrich
667,1,an ostrich
672,1,an ostrich
692,0,an ostrich
696,1,an ostrich
697,1,an ostrich
718,1,an ostrich
727,1,an ostrich
730,1,an ostrich
749,1,an ostrich
750,1,an ostrich
754,1,an ostrich
757,1,an ostrich
822,1,an ostrich
829,1,an ostrich
832,1,an ostrich
834,1,an ostrich
846,1,an ostrich
864,1,an ostrich
877,1,an ostrich
885,1,an ostrich
893,1,an ostrich
5,5,a whale
22,6,a whale
26,5,a whale
42,1,a whale
44,5,a whale
59,5,a whale
63,5,a whale
65,1,a whale
75,5,a whale
93,3,a whale
95,5,a whale
116,3,a whale
120,5,a whale
121,5,a whale
135,5,a whale
140,3,a whale
158,5,a whale
166,4,a whale
187,3,a whale
208,5,a whale
225,5,a whale
228,5,a whale
313,5,a whale
323,6,a whale
325,2,a whale
332,2,a whale
334,2,a whale
339,0,a whale
354,5,a whale
356,2,a whale
357,5,a whale
361,5,a whale
378,5,a whale
383,1,a whale
385,5,a whale
387,5,a whale
393,4,a whale
394,5,a whale
407,6,a whale
416,1,a whale
417,5,a whale
424,0,a whale
425,5,a whale
431,2,a whale
434,2,a whale
455,5,a whale
462,6,a whale
464,4,a whale
465,5,a whale
466,1,a whale
472,1,a whale
481,3,a whale
515,5,a whale
528,5,a whale
529,5,a whale
531,5,a whale
537,2,a whale
538,2,a whale
543,5,a whale
565,1,a whale
566,0,a whale
571,5,a whale
586,5,a whale
606,2,a whale
612,5,a whale
614,5,a whale
616,5,a whale
634,5,a whale
646,6,a whale
668,2,a whale
669,5,a whale
683,2,a whale
684,5,a whale
715,7,a whale
720,5,a whale
723,2,a whale
746,1,a whale
752,5,a whale
759,0,a whale
762,0,a whale
764,1,a whale
779,2,a whale
783,3,a whale
790,5,a whale
803,4,a whale
809,5,a whale
820,2,a whale
825,5,a whale
862,5,a whale
866,3,a whale
875,5,a whale
884,1,a whale
887,5,a whale
6,0,a chicken
13,2,a chicken
27,2,a chicken
31,0,a chicken
33,1,a chicken
50,1,a chicken
86,1,a chicken
89,2,a chicken
90,2,a chicken
106,1,a chicken
109,2,a chicken
111,1,a chicken
113,2,a chicken
132,2,a chicken
150,2,a chicken
157,2,a chicken
170,2,a chicken
184,2,a chicken
204,2,a chicken
207,2,a chicken
209,1,a chicken
210,1,a chicken
226,0,a chicken
239,1,a chicken
240,2,a chicken
241,0,a chicken
255,2,a chicken
257,1,a chicken
263,2,a chicken
274,0,a chicken
277,2,a chicken
283,2,a chicken
291,1,a chicken
293,2,a chicken
298,1,a chicken
304,0,a chicken
310,0,a chicken
316,0,a chicken
335,2,a chicken
346,1,a chicken
352,2,a chicken
373,2,a chicken
379,1,a chicken
382,2,a chicken
406,2,a chicken
408,2,a chicken
433,1,a chicken
446,2,a chicken
449,1,a chicken
451,2,a chicken
457,2,a chicken
459,1,a chicken
468,1,a chicken
485,3,a chicken
487,2,a chicken
499,2,a chicken
506,1,a chicken
510,0,a chicken
514,0,a chicken
518,2,a chicken
533,0,a chicken
551,2,a chicken
562,2,a chicken
567,2,a chicken
569,1,a chicken
577,1,a chicken
592,2,a chicken
593,1,a chicken
603,2,a chicken
627,1,a chicken
630,0,a chicken
653,1,a chicken
662,1,a chicken
670,2,a chicken
675,2,a chicken
699,4,a chicken
707,0,a chicken
716,1,a chicken
732,0,a chicken
743,1,a chicken
744,0,a chicken
747,2,a chicken
748,0,a chicken
775,1,a chicken
785,2,a chicken
787,0,a chicken
792,2,a chicken
793,2,a chicken
810,2,a chicken
819,2,a chicken
843,2,a chicken
844,2,a chicken
858,2,a chicken
863,1,a chicken
869,1,a chicken
879,2,a chicken
14,0,a penguin
18,0,a penguin
23,0,a penguin
57,0,a penguin
58,0,a penguin
61,0,a penguin
108,0,a penguin
133,0,a penguin
138,0,a penguin
152,0,a penguin
160,0,a penguin
179,0,a penguin
188,0,a penguin
194,0,a penguin
199,0,a penguin
200,0,a penguin
203,0,a penguin
244,0,a penguin
252,0,a penguin
262,0,a penguin
278,0,a penguin
280,0,a penguin
281,0,a penguin
282,0,a penguin
284,0,a penguin
297,0,a penguin
314,0,a penguin
320,0,a penguin
330,0,a penguin
351,0,a penguin
355,0,a penguin
358,0,a penguin
362,0,a penguin
363,0,a penguin
371,0,a penguin
397,0,a penguin
404,0,a penguin
410,0,a penguin
426,0,a penguin
505,0,a penguin
540,0,a penguin
550,0,a penguin
554,0,a penguin
561,0,a penguin
563,0,a penguin
583,0,a penguin
585,0,a penguin
588,0,a penguin
601,0,a penguin
602,0,a penguin
608,1,a penguin
621,0,a penguin
628,0,a penguin
641,0,a penguin
648,0,a penguin
657,0,a penguin
661,0,a penguin
686,0,a penguin
687,0,a penguin
691,0,a penguin
701,0,a penguin
703,0,a penguin
711,0,a penguin
729,0,a penguin
736,0,a penguin
753,0,a penguin
755,0,a penguin
767,0,a penguin
778,0,a penguin
791,0,a penguin
802,0,a penguin
814,0,a penguin
823,0,a penguin
828,0,a penguin
833,0,a penguin
835,0,a penguin
836,0,a penguin
849,0,a penguin
853,0,a penguin
854,0,a penguin
857,0,a penguin
865,0,a penguin
867,1,a penguin
876,0,a penguin
881,0,a penguin
898,0,a penguin
21,0,a finch
25,1,a finch
51,1,a finch
78,0,a finch
83,1,a finch
87,2,a finch
91,1,a finch
101,0,a finch
110,0,a finch
114,0,a finch
124,1,a finch
144,1,a finch
145,1,a finch
156,2,a finch
164,1,a finch
171,0,a finch
173,1,a finch
175,2,a finch
176,1,a finch
182,1,a finch
183,1,a finch
193,1,a finch
201,1,a finch
215,0,a finch
220,0,a finch
231,1,a finch
233,0,a finch
246,1,a finch
249,1,a finch
266,0,a finch
268,0,a finch
275,0,a finch
276,1,a finch
288,0,a finch
289,1,a finch
294,0,a finch
295,1,a finch
302,1,a finch
305,1,a finch
309,0,a finch
326,1,a finch
328,2,a finch
344,1,a finch
359,1,a finch
380,1,a finch
392,1,a finch
395,0,a finch
401,0,a finch
413,0,a finch
421,1,a finch
435,1,a finch
442,1,a finch
447,1,a finch
448,0,a finch
452,1,a finch
453,1,a finch
461,1,a finch
486,0,a finch
490,0,a finch
495,0,a finch
501,1,a finch
502,1,a finch
507,1,a finch
539,0,a finch
553,1,a finch
556,1,a finch
576,1,a finch
582,1,a finch
598,1,a finch
599,1,a finch
622,1,a finch
624,1,a finch
640,0,a finch
642,2,a finch
650,1,a finch
654,2,a finch
658,0,a finch
671,1,a finch
674,1,a finch
677,1,a finch
678,0,a finch
690,1,a finch
694,1,a finch
712,2,a finch
717,1,a finch
722,1,a finch
724,1,a finch
756,2,a finch
761,1,a finch
772,1,a finch
774,0,a finch
800,1,a finch
805,1,a finch
818,1,a finch
831,1,a finch
855,1,a finch
871,1,a finch
873,1,a finch
874,1,a finch
880,1,a finch
24,1,a dolphin
30,0,a dolphin
36,1,a dolphin
40,1,a dolphin
43,1,a dolphin
69,1,a dolphin
76,1,a dolphin
77,1,a dolphin
79,2,a dolphin
81,1,a dolphin
96,1,a dolphin
98,0,a dolphin
119,0,a dolphin
136,1,a dolphin
142,1,a dolphin
146,1,a dolphin
147,1,a dolphin
149,1,a dolphin
154,1,a dolphin
162,1,a dolphin
202,1,a dolphin
214,1,a dolphin
221,1,a dolphin
222,1,a dolphin
229,1,a dolphin
237,1,a dolphin
238,1,a dolphin
256,1,a dolphin
258,1,a dolphin
264,1,a dolphin
299,1,a dolphin
312,1,a dolphin
329,1,a dolphin
337,2,a dolphin
341,0,a dolphin
353,1,a dolphin
390,1,a dolphin
398,1,a dolphin
411,1,a dolphin
469,1,a dolphin
477,1,a dolphin
479,1,a dolphin
483,2,a dolphin
498,1,a dolphin
500,1,a dolphin
504,1,a dolphin
509,1,a dolphin
511,1,a dolphin
519,1,a dolphin
525,1,a dolphin
536,1,a dolphin
544,1,a dolphin
558,1,a dolphin
574,1,a dolphin
578,1,a dolphin
580,1,a dolphin
595,1,a dolphin
597,1,a dolphin
605,1,a dolphin
619,1,a dolphin
623,3,a dolphin
632,1,a dolphin
647,1,a dolphin
652,1,a dolphin
673,1,a dolphin
