ID,Table,Concept
25,4,a finch
51,0,a finch
78,0,a finch
83,0,a finch
87,0,a finch
91,0,a finch
110,0,a finch
114,0,a finch
124,2,a finch
145,0,a finch
156,0,a finch
164,3,a finch
165,1,a finch
171,0,a finch
175,3,a finch
176,0,a finch
183,0,a finch
193,0,a finch
215,0,a finch
220,1,a finch
233,0,a finch
246,3,a finch
249,0,a finch
266,0,a finch
268,0,a finch
275,0,a finch
276,1,a finch
289,3,a finch
302,0,a finch
305,0,a finch
309,0,a finch
326,3,a finch
328,0,a finch
344,0,a finch
359,0,a finch
365,0,a finch
392,3,a finch
395,1,a finch
401,1,a finch
421,3,a finch
435,0,a finch
442,3,a finch
447,0,a finch
448,1,a finch
452,0,a finch
453,1,a finch
461,0,a finch
486,0,a finch
490,0,a finch
495,0,a finch
502,0,a finch
507,0,a finch
539,1,a finch
576,0,a finch
579,0,a finch
598,0,a finch
599,0,a finch
622,2,a finch
624,0,a finch
640,2,a finch
642,0,a finch
644,0,a finch
658,0,a finch
671,2,a finch
674,0,a finch
677,0,a finch
678,0,a finch
690,0,a finch
694,0,a finch
712,0,a finch
717,1,a finch
722,1,a finch
756,0,a finch
761,0,a finch
769,3,a finch
800,1,a finch
818,0,a finch
831,1,a finch
855,0,a finch
871,0,a finch
873,2,a finch
874,1,a finch
880,0,a finch
892,0,a finch
895,1,a finch
