Concept,Iteration,S_Chao1,NumberOfPeople,NumberOfTrials,Prior,Tables,Alpha,Posterior,Chain,ProbabilityOfSameTable
an eagle,1,1.0,4,36,Simplicity,1,0.16,-88.04583868395665,1,1.0
an eagle,2,1.0,4,36,Simplicity,1,0.16,-88.04583868395665,1,1.0
an eagle,3,1.0,4,36,Simplicity,1,0.16,-88.04583868395665,1,1.0
an eagle,4,1.0,4,36,Simplicity,1,0.16,-88.04583868395665,1,1.0
an eagle,5,1.0,4,36,Simplicity,1,0.16,-88.04583868395665,1,1.0
an eagle,6,1.0,4,36,Simplicity,1,0.16,-88.04583868395665,1,1.0
an eagle,7,1.0,4,36,Simplicity,1,0.16,-88.04583868395665,1,1.0
an eagle,8,1.0,4,36,Simplicity,1,0.16,-88.04583868395665,1,1.0
an eagle,9,1.0,4,36,Simplicity,1,0.16,-88.04583868395665,1,1.0
a whale,1,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
a whale,2,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
a whale,3,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
a whale,4,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
a whale,5,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
a whale,6,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
a whale,7,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
a whale,8,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
a whale,9,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Hillary Clinton,1,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Hillary Clinton,2,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Hillary Clinton,3,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Hillary Clinton,4,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Hillary Clinton,5,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Hillary Clinton,6,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Hillary Clinton,7,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Hillary Clinton,8,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Hillary Clinton,9,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Donald Trump,1,1.0,3,36,Simplicity,1,0.16,-69.71371142168498,1,1.0
Donald Trump,2,1.0,3,36,Simplicity,1,0.16,-69.71371142168498,1,1.0
Donald Trump,3,1.0,3,36,Simplicity,1,0.16,-69.71371142168498,1,1.0
Donald Trump,4,2.3333333333333335,3,36,Simplicity,2,0.16,-70.21698908489046,1,0.5555555555555556
Donald Trump,5,2.3333333333333335,3,36,Simplicity,2,0.16,-70.21698908489046,1,0.5555555555555556
Donald Trump,6,2.3333333333333335,3,36,Simplicity,2,0.16,-70.21698908489046,1,0.5555555555555556
Donald Trump,7,1.0,3,36,Simplicity,1,0.16,-69.71371142168498,1,1.0
Donald Trump,8,2.3333333333333335,3,36,Simplicity,2,0.16,-70.21698908489046,1,0.5555555555555556
Donald Trump,9,1.0,3,36,Simplicity,1,0.16,-69.71371142168498,1,1.0
Joe Biden,1,1.0,6,36,Simplicity,1,0.16,-92.30071611046117,1,1.0
Joe Biden,2,1.0,6,36,Simplicity,1,0.16,-92.30071611046117,1,1.0
Joe Biden,3,1.0,6,36,Simplicity,1,0.16,-92.30071611046117,1,1.0
Joe Biden,4,1.0,6,36,Simplicity,1,0.16,-92.30071611046117,1,1.0
Joe Biden,5,1.0,6,36,Simplicity,1,0.16,-92.30071611046117,1,1.0
Joe Biden,6,1.0,6,36,Simplicity,1,0.16,-92.30071611046117,1,1.0
Joe Biden,7,1.0,6,36,Simplicity,1,0.16,-92.30071611046117,1,1.0
Joe Biden,8,1.0,6,36,Simplicity,1,0.16,-92.30071611046117,1,1.0
Joe Biden,9,1.0,6,36,Simplicity,1,0.16,-92.30071611046117,1,1.0
Elizabeth Warren,1,3.0,11,36,Simplicity,3,0.16,-198.12735297142154,1,0.33884297520661155
Elizabeth Warren,2,3.0,11,36,Simplicity,3,0.16,-200.1316570163827,1,0.33884297520661155
Elizabeth Warren,3,2.0,11,36,Simplicity,2,0.16,-180.28820088364103,1,0.7024793388429753
Elizabeth Warren,4,1.0,11,36,Simplicity,1,0.16,-166.27268171268233,1,1.0
Elizabeth Warren,5,1.0,11,36,Simplicity,1,0.16,-166.27268171268233,1,1.0
Elizabeth Warren,6,1.0,11,36,Simplicity,1,0.16,-166.27268171268233,1,1.0
Elizabeth Warren,7,1.0,11,36,Simplicity,1,0.16,-166.27268171268233,1,1.0
Elizabeth Warren,8,1.0,11,36,Simplicity,1,0.16,-166.27268171268233,1,1.0
Elizabeth Warren,9,1.0,11,36,Simplicity,1,0.16,-166.27268171268233,1,1.0
Ronald Reagan,1,1.0,6,36,Simplicity,1,0.16,-92.86227685117025,1,1.0
Ronald Reagan,2,1.0,6,36,Simplicity,1,0.16,-92.86227685117025,1,1.0
Ronald Reagan,3,1.0,6,36,Simplicity,1,0.16,-92.86227685117025,1,1.0
Ronald Reagan,4,1.0,6,36,Simplicity,1,0.16,-92.86227685117025,1,1.0
Ronald Reagan,5,1.0,6,36,Simplicity,1,0.16,-92.86227685117025,1,1.0
Ronald Reagan,6,1.0,6,36,Simplicity,1,0.16,-92.86227685117025,1,1.0
Ronald Reagan,7,1.0,6,36,Simplicity,1,0.16,-92.86227685117025,1,1.0
Ronald Reagan,8,1.0,6,36,Simplicity,1,0.16,-92.86227685117025,1,1.0
Ronald Reagan,9,1.0,6,36,Simplicity,1,0.16,-92.86227685117025,1,1.0
Bernie Sanders,1,2.0,7,36,Simplicity,2,0.16,-105.5554387250861,1,0.5918367346938775
Bernie Sanders,2,2.0,7,36,Simplicity,2,0.16,-105.5554387250861,1,0.5918367346938775
Bernie Sanders,3,2.0,7,36,Simplicity,2,0.16,-105.5554387250861,1,0.5918367346938775
Bernie Sanders,4,2.0,7,36,Simplicity,2,0.16,-105.5554387250861,1,0.5918367346938775
Bernie Sanders,5,2.0,7,36,Simplicity,2,0.16,-105.5554387250861,1,0.5918367346938775
Bernie Sanders,6,2.0,7,36,Simplicity,2,0.16,-105.5554387250861,1,0.5918367346938775
Bernie Sanders,7,2.0,7,36,Simplicity,2,0.16,-105.5554387250861,1,0.5918367346938775
Bernie Sanders,8,2.0,7,36,Simplicity,2,0.16,-105.5554387250861,1,0.5918367346938775
Bernie Sanders,9,2.0,7,36,Simplicity,2,0.16,-105.5554387250861,1,0.5918367346938775
George W. Bush,1,2.0,10,36,Simplicity,2,0.16,-146.27785349829654,1,0.52
George W. Bush,2,2.0,10,36,Simplicity,2,0.16,-143.91262278636773,1,0.58
George W. Bush,3,1.0,10,36,Simplicity,1,0.16,-134.71102284518182,1,1.0
George W. Bush,4,1.0,10,36,Simplicity,1,0.16,-134.71102284518182,1,1.0
George W. Bush,5,1.0,10,36,Simplicity,1,0.16,-134.71102284518182,1,1.0
George W. Bush,6,1.0,10,36,Simplicity,1,0.16,-134.71102284518182,1,1.0
George W. Bush,7,1.0,10,36,Simplicity,1,0.16,-134.71102284518182,1,1.0
George W. Bush,8,1.0,10,36,Simplicity,1,0.16,-134.71102284518182,1,1.0
George W. Bush,9,1.0,10,36,Simplicity,1,0.16,-134.71102284518182,1,1.0
Barack Obama,1,1.0,3,36,Simplicity,1,0.16,-51.494883623574296,1,1.0
Barack Obama,2,1.0,3,36,Simplicity,1,0.16,-51.494883623574296,1,1.0
Barack Obama,3,1.0,3,36,Simplicity,1,0.16,-51.494883623574296,1,1.0
Barack Obama,4,1.0,3,36,Simplicity,1,0.16,-51.494883623574296,1,1.0
Barack Obama,5,1.0,3,36,Simplicity,1,0.16,-51.494883623574296,1,1.0
Barack Obama,6,1.0,3,36,Simplicity,1,0.16,-51.494883623574296,1,1.0
Barack Obama,7,1.0,3,36,Simplicity,1,0.16,-51.494883623574296,1,1.0
Barack Obama,8,1.0,3,36,Simplicity,1,0.16,-51.494883623574296,1,1.0
Barack Obama,9,1.0,3,36,Simplicity,1,0.16,-51.494883623574296,1,1.0
Abraham Lincoln,1,2.0,14,36,Simplicity,2,0.16,-189.76431514692862,1,0.7551020408163265
Abraham Lincoln,2,2.0,14,36,Simplicity,2,0.16,-189.76431514692862,1,0.7551020408163265
Abraham Lincoln,3,2.0,14,36,Simplicity,2,0.16,-190.73723685974886,1,0.8673469387755102
Abraham Lincoln,4,1.0,14,36,Simplicity,1,0.16,-180.33046296919755,1,1.0
Abraham Lincoln,5,1.0,14,36,Simplicity,1,0.16,-180.33046296919755,1,1.0
Abraham Lincoln,6,1.0,14,36,Simplicity,1,0.16,-180.33046296919755,1,1.0
Abraham Lincoln,7,1.0,14,36,Simplicity,1,0.16,-180.33046296919755,1,1.0
Abraham Lincoln,8,1.0,14,36,Simplicity,1,0.16,-180.33046296919755,1,1.0
Abraham Lincoln,9,1.0,14,36,Simplicity,1,0.16,-180.33046296919755,1,1.0
Richard Nixon,1,1.0,11,36,Simplicity,1,0.16,-155.4666182506202,1,1.0
Richard Nixon,2,1.0,11,36,Simplicity,1,0.16,-155.4666182506202,1,1.0
Richard Nixon,3,1.0,11,36,Simplicity,1,0.16,-155.4666182506202,1,1.0
Richard Nixon,4,1.0,11,36,Simplicity,1,0.16,-155.4666182506202,1,1.0
Richard Nixon,5,1.0,11,36,Simplicity,1,0.16,-155.4666182506202,1,1.0
Richard Nixon,6,1.0,11,36,Simplicity,1,0.16,-155.4666182506202,1,1.0
Richard Nixon,7,1.0,11,36,Simplicity,1,0.16,-155.4666182506202,1,1.0
Richard Nixon,8,1.0,11,36,Simplicity,1,0.16,-155.4666182506202,1,1.0
Richard Nixon,9,1.0,11,36,Simplicity,1,0.16,-155.4666182506202,1,1.0
an eagle,1,1.0,4,36,Simplicity,1,0.16,-88.04583868395665,1,1.0
an eagle,2,1.0,4,36,Simplicity,1,0.16,-88.04583868395665,1,1.0
an eagle,3,1.0,4,36,Simplicity,1,0.16,-88.04583868395665,1,1.0
an eagle,4,1.0,4,36,Simplicity,1,0.16,-88.04583868395665,1,1.0
an eagle,5,1.0,4,36,Simplicity,1,0.16,-88.04583868395665,1,1.0
an eagle,6,1.0,4,36,Simplicity,1,0.16,-88.04583868395665,1,1.0
an eagle,7,1.0,4,36,Simplicity,1,0.16,-88.04583868395665,1,1.0
an eagle,8,1.0,4,36,Simplicity,1,0.16,-88.04583868395665,1,1.0
an eagle,9,1.0,4,36,Simplicity,1,0.16,-88.04583868395665,1,1.0
a whale,1,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
a whale,2,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
a whale,3,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
a whale,4,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
a whale,5,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
a whale,6,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
a whale,7,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
a whale,8,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
a whale,9,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Hillary Clinton,1,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Hillary Clinton,2,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Hillary Clinton,3,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Hillary Clinton,4,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Hillary Clinton,5,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Hillary Clinton,6,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Hillary Clinton,7,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Hillary Clinton,8,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Hillary Clinton,9,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Donald Trump,1,1.0,3,36,Simplicity,1,0.16,-69.71371142168498,1,1.0
Donald Trump,2,1.0,3,36,Simplicity,1,0.16,-69.71371142168498,1,1.0
Donald Trump,3,1.0,3,36,Simplicity,1,0.16,-69.71371142168498,1,1.0
Donald Trump,4,2.3333333333333335,3,36,Simplicity,2,0.16,-70.21698908489046,1,0.5555555555555556
Donald Trump,5,2.3333333333333335,3,36,Simplicity,2,0.16,-70.21698908489046,1,0.5555555555555556
Donald Trump,6,2.3333333333333335,3,36,Simplicity,2,0.16,-70.21698908489046,1,0.5555555555555556
Donald Trump,7,1.0,3,36,Simplicity,1,0.16,-69.71371142168498,1,1.0
Donald Trump,8,2.3333333333333335,3,36,Simplicity,2,0.16,-70.21698908489046,1,0.5555555555555556
Donald Trump,9,1.0,3,36,Simplicity,1,0.16,-69.71371142168498,1,1.0
Joe Biden,1,1.0,6,36,Simplicity,1,0.16,-92.30071611046117,1,1.0
Joe Biden,2,1.0,6,36,Simplicity,1,0.16,-92.30071611046117,1,1.0
Joe Biden,3,1.0,6,36,Simplicity,1,0.16,-92.30071611046117,1,1.0
Joe Biden,4,1.0,6,36,Simplicity,1,0.16,-92.30071611046117,1,1.0
Joe Biden,5,1.0,6,36,Simplicity,1,0.16,-92.30071611046117,1,1.0
Joe Biden,6,1.0,6,36,Simplicity,1,0.16,-92.30071611046117,1,1.0
Joe Biden,7,1.0,6,36,Simplicity,1,0.16,-92.30071611046117,1,1.0
Joe Biden,8,1.0,6,36,Simplicity,1,0.16,-92.30071611046117,1,1.0
Joe Biden,9,1.0,6,36,Simplicity,1,0.16,-92.30071611046117,1,1.0
Elizabeth Warren,1,2.0,11,36,Simplicity,2,0.16,-182.33494167343565,1,0.5371900826446281
Elizabeth Warren,2,2.0,11,36,Simplicity,2,0.16,-174.0760980281766,1,0.7024793388429753
Elizabeth Warren,3,2.0,11,36,Simplicity,2,0.16,-174.0760980281766,1,0.7024793388429753
Elizabeth Warren,4,1.0,11,36,Simplicity,1,0.16,-166.27268171268233,1,1.0
Elizabeth Warren,5,1.0,11,36,Simplicity,1,0.16,-166.27268171268233,1,1.0
Elizabeth Warren,6,1.0,11,36,Simplicity,1,0.16,-166.27268171268233,1,1.0
Elizabeth Warren,7,1.0,11,36,Simplicity,1,0.16,-166.27268171268233,1,1.0
Elizabeth Warren,8,1.0,11,36,Simplicity,1,0.16,-166.27268171268233,1,1.0
Elizabeth Warren,9,1.0,11,36,Simplicity,1,0.16,-166.27268171268233,1,1.0
Ronald Reagan,1,1.0,6,36,Simplicity,1,0.16,-92.86227685117025,1,1.0
Ronald Reagan,2,1.0,6,36,Simplicity,1,0.16,-92.86227685117025,1,1.0
Ronald Reagan,3,1.0,6,36,Simplicity,1,0.16,-92.86227685117025,1,1.0
Ronald Reagan,4,1.0,6,36,Simplicity,1,0.16,-92.86227685117025,1,1.0
Ronald Reagan,5,1.0,6,36,Simplicity,1,0.16,-92.86227685117025,1,1.0
Ronald Reagan,6,1.0,6,36,Simplicity,1,0.16,-92.86227685117025,1,1.0
Ronald Reagan,7,1.0,6,36,Simplicity,1,0.16,-92.86227685117025,1,1.0
Ronald Reagan,8,1.0,6,36,Simplicity,1,0.16,-92.86227685117025,1,1.0
Ronald Reagan,9,1.0,6,36,Simplicity,1,0.16,-92.86227685117025,1,1.0
Bernie Sanders,1,2.0,7,36,Simplicity,2,0.16,-105.5554387250861,1,0.5918367346938775
Bernie Sanders,2,2.0,7,36,Simplicity,2,0.16,-105.5554387250861,1,0.5918367346938775
Bernie Sanders,3,1.0,7,36,Simplicity,1,0.16,-92.70099944049423,1,1.0
Bernie Sanders,4,1.0,7,36,Simplicity,1,0.16,-92.70099944049423,1,1.0
Bernie Sanders,5,1.0,7,36,Simplicity,1,0.16,-92.70099944049423,1,1.0
Bernie Sanders,6,1.0,7,36,Simplicity,1,0.16,-92.70099944049423,1,1.0
Bernie Sanders,7,1.0,7,36,Simplicity,1,0.16,-92.70099944049423,1,1.0
Bernie Sanders,8,1.0,7,36,Simplicity,1,0.16,-92.70099944049423,1,1.0
Bernie Sanders,9,1.0,7,36,Simplicity,1,0.16,-92.70099944049423,1,1.0
George W. Bush,1,2.0,10,36,Simplicity,2,0.16,-142.7570712187041,1,0.6800000000000002
George W. Bush,2,2.0,10,36,Simplicity,2,0.16,-142.7570712187041,1,0.6800000000000002
George W. Bush,3,2.0,10,36,Simplicity,2,0.16,-142.7570712187041,1,0.6800000000000002
George W. Bush,4,2.0,10,36,Simplicity,2,0.16,-142.7570712187041,1,0.6800000000000002
George W. Bush,5,2.0,10,36,Simplicity,2,0.16,-143.91262278636773,1,0.58
George W. Bush,6,1.0,10,36,Simplicity,1,0.16,-134.71102284518182,1,1.0
George W. Bush,7,1.0,10,36,Simplicity,1,0.16,-134.71102284518182,1,1.0
George W. Bush,8,1.0,10,36,Simplicity,1,0.16,-134.71102284518182,1,1.0
George W. Bush,9,1.0,10,36,Simplicity,1,0.16,-134.71102284518182,1,1.0
Barack Obama,1,1.0,3,36,Simplicity,1,0.16,-51.494883623574296,1,1.0
Barack Obama,2,1.0,3,36,Simplicity,1,0.16,-51.494883623574296,1,1.0
Barack Obama,3,1.0,3,36,Simplicity,1,0.16,-51.494883623574296,1,1.0
Barack Obama,4,1.0,3,36,Simplicity,1,0.16,-51.494883623574296,1,1.0
Barack Obama,5,1.0,3,36,Simplicity,1,0.16,-51.494883623574296,1,1.0
Barack Obama,6,1.0,3,36,Simplicity,1,0.16,-51.494883623574296,1,1.0
Barack Obama,7,1.0,3,36,Simplicity,1,0.16,-51.494883623574296,1,1.0
Barack Obama,8,1.0,3,36,Simplicity,1,0.16,-51.494883623574296,1,1.0
Barack Obama,9,1.0,3,36,Simplicity,1,0.16,-51.494883623574296,1,1.0
Abraham Lincoln,1,3.0,14,36,Simplicity,3,0.16,-211.36973506605483,1,0.47959183673469397
Abraham Lincoln,2,3.0,14,36,Simplicity,3,0.16,-211.56126739838152,1,0.5612244897959183
Abraham Lincoln,3,2.0,14,36,Simplicity,2,0.16,-200.5077082401924,1,0.6632653061224489
Abraham Lincoln,4,2.0,14,36,Simplicity,2,0.16,-200.95301209608579,1,0.5918367346938775
Abraham Lincoln,5,2.0,14,36,Simplicity,2,0.16,-202.72077848700027,1,0.5408163265306123
Abraham Lincoln,6,2.0,14,36,Simplicity,2,0.16,-193.2701760658804,1,0.5918367346938775
Abraham Lincoln,7,2.0,14,36,Simplicity,2,0.16,-190.73723685974886,1,0.8673469387755102
Abraham Lincoln,8,1.0,14,36,Simplicity,1,0.16,-180.33046296919755,1,1.0
Abraham Lincoln,9,1.0,14,36,Simplicity,1,0.16,-180.33046296919755,1,1.0
Richard Nixon,1,2.0,11,36,Simplicity,2,0.16,-172.4904570468579,1,0.5371900826446281
Richard Nixon,2,2.0,11,36,Simplicity,2,0.16,-169.27479278393156,1,0.6033057851239669
Richard Nixon,3,1.0,11,36,Simplicity,1,0.16,-155.4666182506202,1,1.0
Richard Nixon,4,1.0,11,36,Simplicity,1,0.16,-155.4666182506202,1,1.0
Richard Nixon,5,1.0,11,36,Simplicity,1,0.16,-155.4666182506202,1,1.0
Richard Nixon,6,1.0,11,36,Simplicity,1,0.16,-155.4666182506202,1,1.0
Richard Nixon,7,1.0,11,36,Simplicity,1,0.16,-155.4666182506202,1,1.0
Richard Nixon,8,1.0,11,36,Simplicity,1,0.16,-155.4666182506202,1,1.0
Richard Nixon,9,1.0,11,36,Simplicity,1,0.16,-155.4666182506202,1,1.0
an eagle,1,1.0,4,36,Simplicity,1,0.16,-88.04583868395665,1,1.0
an eagle,2,1.0,4,36,Simplicity,1,0.16,-88.04583868395665,1,1.0
an eagle,3,1.0,4,36,Simplicity,1,0.16,-88.04583868395665,1,1.0
an eagle,4,1.0,4,36,Simplicity,1,0.16,-88.04583868395665,1,1.0
an eagle,5,1.0,4,36,Simplicity,1,0.16,-88.04583868395665,1,1.0
an eagle,6,1.0,4,36,Simplicity,1,0.16,-88.04583868395665,1,1.0
an eagle,7,1.0,4,36,Simplicity,1,0.16,-88.04583868395665,1,1.0
an eagle,8,1.0,4,36,Simplicity,1,0.16,-88.04583868395665,1,1.0
an eagle,9,1.0,4,36,Simplicity,1,0.16,-88.04583868395665,1,1.0
a whale,1,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
a whale,2,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
a whale,3,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
a whale,4,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
a whale,5,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
a whale,6,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
a whale,7,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
a whale,8,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
a whale,9,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Hillary Clinton,1,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Hillary Clinton,2,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Hillary Clinton,3,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Hillary Clinton,4,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Hillary Clinton,5,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Hillary Clinton,6,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Hillary Clinton,7,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Hillary Clinton,8,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Hillary Clinton,9,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Donald Trump,1,2.3333333333333335,3,36,Simplicity,2,0.16,-70.21698908489046,1,0.5555555555555556
Donald Trump,2,1.0,3,36,Simplicity,1,0.16,-69.71371142168498,1,1.0
Donald Trump,3,2.3333333333333335,3,36,Simplicity,2,0.16,-70.21698908489046,1,0.5555555555555556
Donald Trump,4,2.3333333333333335,3,36,Simplicity,2,0.16,-70.21698908489046,1,0.5555555555555556
Donald Trump,5,1.0,3,36,Simplicity,1,0.16,-69.71371142168498,1,1.0
Donald Trump,6,1.0,3,36,Simplicity,1,0.16,-69.71371142168498,1,1.0
Donald Trump,7,2.3333333333333335,3,36,Simplicity,2,0.16,-70.21698908489046,1,0.5555555555555556
Donald Trump,8,2.3333333333333335,3,36,Simplicity,2,0.16,-70.21698908489046,1,0.5555555555555556
Donald Trump,9,1.0,3,36,Simplicity,1,0.16,-69.71371142168498,1,1.0
Joe Biden,1,1.0,6,36,Simplicity,1,0.16,-92.30071611046117,1,1.0
Joe Biden,2,1.0,6,36,Simplicity,1,0.16,-92.30071611046117,1,1.0
Joe Biden,3,1.0,6,36,Simplicity,1,0.16,-92.30071611046117,1,1.0
Joe Biden,4,1.0,6,36,Simplicity,1,0.16,-92.30071611046117,1,1.0
Joe Biden,5,1.0,6,36,Simplicity,1,0.16,-92.30071611046117,1,1.0
Joe Biden,6,1.0,6,36,Simplicity,1,0.16,-92.30071611046117,1,1.0
Joe Biden,7,1.0,6,36,Simplicity,1,0.16,-92.30071611046117,1,1.0
Joe Biden,8,1.0,6,36,Simplicity,1,0.16,-92.30071611046117,1,1.0
Joe Biden,9,1.0,6,36,Simplicity,1,0.16,-92.30071611046117,1,1.0
Elizabeth Warren,1,2.0,11,36,Simplicity,2,0.16,-179.47281303425459,1,0.6033057851239669
Elizabeth Warren,2,2.0,11,36,Simplicity,2,0.16,-181.32666371553182,1,0.5371900826446281
Elizabeth Warren,3,2.0,11,36,Simplicity,2,0.16,-174.0760980281766,1,0.7024793388429753
Elizabeth Warren,4,2.0,11,36,Simplicity,2,0.16,-174.0760980281766,1,0.7024793388429753
Elizabeth Warren,5,2.0,11,36,Simplicity,2,0.16,-174.0760980281766,1,0.7024793388429753
Elizabeth Warren,6,1.0,11,36,Simplicity,1,0.16,-166.27268171268233,1,1.0
Elizabeth Warren,7,1.0,11,36,Simplicity,1,0.16,-166.27268171268233,1,1.0
Elizabeth Warren,8,1.0,11,36,Simplicity,1,0.16,-166.27268171268233,1,1.0
Elizabeth Warren,9,1.0,11,36,Simplicity,1,0.16,-166.27268171268233,1,1.0
Ronald Reagan,1,1.0,6,36,Simplicity,1,0.16,-92.86227685117025,1,1.0
