Concept,Iteration,S_Chao1,NumberOfPeople,NumberOfTrials,Prior,Tables,Alpha,Posterior,Chain,ProbabilityOfSameTable
Hillary Clinton,1,21.999166666666667,25,36,Simplicity,9,0.16,-573.729721395091,1,0.24799999999999997
Hillary Clinton,2,6.24,25,36,Simplicity,6,0.16,-571.2465798188571,1,0.2736
Hillary Clinton,3,7.92,25,36,Simplicity,6,0.16,-548.549559038721,1,0.3984
Hillary Clinton,4,5.48,25,36,Simplicity,5,0.16,-549.5713999841074,1,0.34400000000000003
Hillary Clinton,5,16.6,25,36,Simplicity,7,0.16,-544.6051858598818,1,0.48480000000000006
Hillary Clinton,6,5.92,25,36,Simplicity,4,0.16,-527.8046627280407,1,0.7152
Hillary Clinton,7,3.0,25,36,Simplicity,3,0.16,-529.9040747502796,1,0.7215999999999999
Hillary Clinton,8,3.96,25,36,Simplicity,3,0.16,-525.9643455232925,1,0.8496000000000001
Hillary Clinton,9,2.0,25,36,Simplicity,2,0.16,-522.7928982550853,1,0.9232
Donald Trump,1,11.68421052631579,19,36,Simplicity,6,0.16,-450.5666411800713,1,0.3351800554016619
Donald Trump,2,2.0,19,36,Simplicity,2,0.16,-417.8560294299552,1,0.9002770083102491
Donald Trump,3,3.9473684210526314,19,36,Simplicity,3,0.16,-417.22227306406904,1,0.8060941828254847
Donald Trump,4,2.0,19,36,Simplicity,2,0.16,-417.8560294299552,1,0.9002770083102491
Donald Trump,5,3.9473684210526314,19,36,Simplicity,3,0.16,-417.22227306406904,1,0.8060941828254847
Donald Trump,6,3.9473684210526314,19,36,Simplicity,3,0.16,-417.22227306406904,1,0.8060941828254847
Donald Trump,7,2.0,19,36,Simplicity,2,0.16,-417.8560294299552,1,0.9002770083102491
Donald Trump,8,3.9473684210526314,19,36,Simplicity,3,0.16,-417.22227306406904,1,0.8060941828254847
Donald Trump,9,3.9473684210526314,19,36,Simplicity,3,0.16,-417.22227306406904,1,0.8060941828254847
Joe Biden,1,5.0,25,36,Simplicity,5,0.16,-535.975568580905,1,0.26080000000000003
Joe Biden,2,6.96,25,36,Simplicity,6,0.16,-531.7637383796247,1,0.4016
Joe Biden,3,4.96,25,36,Simplicity,4,0.16,-496.9764308046264,1,0.6576000000000002
Joe Biden,4,2.0,25,36,Simplicity,2,0.16,-494.659703061876,1,0.7888
Joe Biden,5,3.96,25,36,Simplicity,3,0.16,-494.415819983989,1,0.8496000000000001
Joe Biden,6,3.96,25,36,Simplicity,3,0.16,-486.2878789007137,1,0.8496000000000001
Joe Biden,7,1.0,25,36,Simplicity,1,0.16,-482.50710104461166,1,1.0
Joe Biden,8,1.0,25,36,Simplicity,1,0.16,-482.50710104461166,1,1.0
Joe Biden,9,1.0,25,36,Simplicity,1,0.16,-482.50710104461166,1,1.0
Elizabeth Warren,1,3.0,25,36,Simplicity,3,0.16,-451.47896385185504,1,0.43040000000000006
Elizabeth Warren,2,3.0,25,36,Simplicity,3,0.16,-448.7973630106958,1,0.45280000000000004
Elizabeth Warren,3,3.0,25,36,Simplicity,3,0.16,-449.3309512585583,1,0.48160000000000003
Elizabeth Warren,4,3.0,25,36,Simplicity,3,0.16,-448.2388094791948,1,0.5168
Elizabeth Warren,5,2.0,25,36,Simplicity,2,0.16,-435.79902238246984,1,0.5968
Elizabeth Warren,6,2.0,25,36,Simplicity,2,0.16,-437.37691773496954,1,0.6352
Elizabeth Warren,7,2.0,25,36,Simplicity,2,0.16,-435.79902238246984,1,0.5968
Elizabeth Warren,8,2.0,25,36,Simplicity,2,0.16,-435.79902238246984,1,0.5968
Elizabeth Warren,9,2.0,25,36,Simplicity,2,0.16,-436.43923695959484,1,0.6800000000000002
Ronald Reagan,1,7.64,25,36,Simplicity,7,0.16,-464.17883911173607,1,0.3504000000000001
Ronald Reagan,2,4.0,25,36,Simplicity,4,0.16,-445.89426917925755,1,0.49760000000000015
Ronald Reagan,3,4.0,25,36,Simplicity,4,0.16,-443.0085362060181,1,0.46240000000000003
Ronald Reagan,4,5.24,25,36,Simplicity,5,0.16,-442.91771424331534,1,0.44960000000000006
Ronald Reagan,5,5.24,25,36,Simplicity,5,0.16,-442.91771424331534,1,0.44960000000000006
