Concept,Iteration,S_Chao1,NumberOfPeople,NumberOfTrials,Prior,Tables,Alpha,Posterior,Chain,ProbabilityOfSameTable
a salmon,1,4.0,25,36,Simplicity,4,0.16,-345.926793913306,1,0.2864
a salmon,2,4.0,25,36,Simplicity,4,0.16,-343.15569693726553,1,0.29919999999999997
a salmon,3,3.0,25,36,Simplicity,3,0.16,-321.0185827075077,1,0.43040000000000006
a salmon,4,3.0,25,36,Simplicity,3,0.16,-320.4497583511121,1,0.49119999999999997
a salmon,5,2.0,25,36,Simplicity,2,0.16,-301.8373108607024,1,0.5072000000000001
a salmon,6,2.0,25,36,Simplicity,2,0.16,-305.82819864279867,1,0.5008
a salmon,7,2.0,25,36,Simplicity,2,0.16,-310.16112510780187,1,0.5008
a salmon,8,2.0,25,36,Simplicity,2,0.16,-304.7071701858719,1,0.5072000000000001
a salmon,9,2.0,25,36,Simplicity,2,0.16,-302.18354409837724,1,0.52
an eagle,1,2.0,25,36,Simplicity,2,0.16,-171.4353005718542,1,0.5392
an eagle,2,2.0,25,36,Simplicity,2,0.16,-167.34908069564955,1,0.5648000000000001
an eagle,3,2.0,25,36,Simplicity,2,0.16,-168.16310976776995,1,0.5648000000000001
an eagle,4,2.0,25,36,Simplicity,2,0.16,-169.43774504652626,1,0.6352
an eagle,5,2.0,25,36,Simplicity,2,0.16,-168.19149337364917,1,0.7311999999999999
an eagle,6,1.0,25,36,Simplicity,1,0.16,-128.91330160525797,1,1.0
an eagle,7,1.0,25,36,Simplicity,1,0.16,-128.91330160525797,1,1.0
an eagle,8,1.0,25,36,Simplicity,1,0.16,-128.91330160525797,1,1.0
an eagle,9,1.0,25,36,Simplicity,1,0.16,-128.91330160525797,1,1.0
a seal,1,4.0,25,36,Simplicity,4,0.16,-263.85957253601725,1,0.32799999999999996
a seal,2,4.0,25,36,Simplicity,4,0.16,-262.21902739191705,1,0.4208
a seal,3,3.0,25,36,Simplicity,3,0.16,-240.4702897661251,1,0.4528
a seal,4,3.0,25,36,Simplicity,3,0.16,-234.43817437822426,1,0.5168000000000001
a seal,5,3.0,25,36,Simplicity,3,0.16,-234.43817437822426,1,0.5168000000000001
a seal,6,2.0,25,36,Simplicity,2,0.16,-209.00597046241296,1,0.7888
a seal,7,2.0,25,36,Simplicity,2,0.16,-209.00597046241296,1,0.7888
