ID,Table,Concept
21,0,a finch
51,0,a finch
78,0,a finch
83,0,a finch
87,0,a finch
91,0,a finch
101,0,a finch
110,0,a finch
114,0,a finch
124,0,a finch
144,0,a finch
145,0,a finch
156,0,a finch
164,0,a finch
165,0,a finch
171,0,a finch
173,0,a finch
175,0,a finch
176,0,a finch
183,0,a finch
193,0,a finch
215,0,a finch
220,0,a finch
231,0,a finch
233,0,a finch
246,0,a finch
249,0,a finch
268,0,a finch
275,0,a finch
276,0,a finch
288,0,a finch
295,0,a finch
309,0,a finch
326,0,a finch
328,0,a finch
365,0,a finch
380,0,a finch
392,0,a finch
395,0,a finch
401,0,a finch
413,0,a finch
435,0,a finch
442,0,a finch
448,0,a finch
452,0,a finch
453,0,a finch
461,0,a finch
486,0,a finch
490,0,a finch
495,0,a finch
501,0,a finch
502,0,a finch
507,0,a finch
539,0,a finch
553,0,a finch
556,0,a finch
576,0,a finch
579,0,a finch
582,0,a finch
598,0,a finch
599,0,a finch
624,0,a finch
640,0,a finch
642,0,a finch
644,0,a finch
649,0,a finch
650,0,a finch
654,0,a finch
658,0,a finch
671,0,a finch
674,0,a finch
677,0,a finch
678,0,a finch
690,0,a finch
694,0,a finch
712,0,a finch
717,0,a finch
724,0,a finch
761,0,a finch
769,0,a finch
772,0,a finch
774,0,a finch
800,0,a finch
805,0,a finch
818,0,a finch
831,0,a finch
871,0,a finch
873,0,a finch
880,0,a finch
895,0,a finch
