Concept,Iteration,S_Chao1,NumberOfPeople,NumberOfTrials,Prior,Tables,Alpha,Posterior,Chain,ProbabilityOfSameTable
Hillary Clinton,1,1.0,3,36,Simplicity,1,0.16,-69.71371142168498,1,1.0
Hillary Clinton,2,1.0,3,36,Simplicity,1,0.16,-69.71371142168498,1,1.0
Hillary Clinton,3,1.0,3,36,Simplicity,1,0.16,-69.71371142168498,1,1.0
Hillary Clinton,4,1.0,3,36,Simplicity,1,0.16,-69.71371142168498,1,1.0
Hillary Clinton,5,1.0,3,36,Simplicity,1,0.16,-69.71371142168498,1,1.0
Hillary Clinton,6,1.0,3,36,Simplicity,1,0.16,-69.71371142168498,1,1.0
Hillary Clinton,7,1.0,3,36,Simplicity,1,0.16,-69.71371142168498,1,1.0
Hillary Clinton,8,1.0,3,36,Simplicity,1,0.16,-69.71371142168498,1,1.0
Hillary Clinton,9,1.0,3,36,Simplicity,1,0.16,-69.71371142168498,1,1.0
Donald Trump,1,1.0,3,36,Simplicity,1,0.16,-61.905642365351824,1,1.0
Donald Trump,2,1.0,3,36,Simplicity,1,0.16,-61.905642365351824,1,1.0
Donald Trump,3,1.0,3,36,Simplicity,1,0.16,-61.905642365351824,1,1.0
Donald Trump,4,1.0,3,36,Simplicity,1,0.16,-61.905642365351824,1,1.0
Donald Trump,5,1.0,3,36,Simplicity,1,0.16,-61.905642365351824,1,1.0
Donald Trump,6,1.0,3,36,Simplicity,1,0.16,-61.905642365351824,1,1.0
Donald Trump,7,1.0,3,36,Simplicity,1,0.16,-61.905642365351824,1,1.0
Donald Trump,8,1.0,3,36,Simplicity,1,0.16,-61.905642365351824,1,1.0
Donald Trump,9,1.0,3,36,Simplicity,1,0.16,-61.905642365351824,1,1.0
Joe Biden,1,2.5,2,36,Simplicity,2,0.16,-50.59974418087606,1,0.5
Joe Biden,2,2.5,2,36,Simplicity,2,0.16,-50.59974418087606,1,0.5
Joe Biden,3,2.5,2,36,Simplicity,2,0.16,-50.59974418087606,1,0.5
Joe Biden,4,2.5,2,36,Simplicity,2,0.16,-50.59974418087606,1,0.5
