Concept,Iteration,S_Chao1,NumberOfPeople,NumberOfTrials,Prior,Tables,Alpha,Posterior,Chain,ProbabilityOfSameTable
Hillary Clinton,1,4.0,19,36,Simplicity,4,0.16,-268.2776922350556,1,0.34072022160664817
Hillary Clinton,2,3.0,19,36,Simplicity,3,0.16,-250.64896044703335,1,0.47368421052631576
Hillary Clinton,3,2.0,19,36,Simplicity,2,0.16,-228.62767802383138,1,0.5124653739612188
Hillary Clinton,4,2.0,19,36,Simplicity,2,0.16,-226.31262454204668,1,0.5124653739612188
Hillary Clinton,5,2.0,19,36,Simplicity,2,0.16,-226.48090169543133,1,0.5013850415512464
Hillary Clinton,6,2.0,19,36,Simplicity,2,0.16,-229.0778641693922,1,0.5124653739612188
Hillary Clinton,7,2.0,19,36,Simplicity,2,0.16,-227.61766822748666,1,0.5013850415512464
Hillary Clinton,8,2.0,19,36,Simplicity,2,0.16,-231.30335647689137,1,0.5124653739612188
Hillary Clinton,9,2.0,19,36,Simplicity,2,0.16,-234.2865099682385,1,0.5124653739612188
Donald Trump,1,2.0,20,36,Simplicity,2,0.16,-281.6440725605215,1,0.545
Donald Trump,2,2.0,20,36,Simplicity,2,0.16,-278.8145093446972,1,0.5
Donald Trump,3,2.0,20,36,Simplicity,2,0.16,-275.5601336761967,1,0.5050000000000001
Donald Trump,4,2.0,20,36,Simplicity,2,0.16,-274.11140691076156,1,0.52
Donald Trump,5,2.0,20,36,Simplicity,2,0.16,-274.11140691076156,1,0.52
Donald Trump,6,2.0,20,36,Simplicity,2,0.16,-274.11140691076156,1,0.52
Donald Trump,7,2.0,20,36,Simplicity,2,0.16,-274.11140691076156,1,0.52
Donald Trump,8,2.0,20,36,Simplicity,2,0.16,-274.11140691076156,1,0.52
Donald Trump,9,2.0,20,36,Simplicity,2,0.16,-276.32133138185185,1,0.545
Joe Biden,1,1.0,14,36,Simplicity,1,0.16,-141.58308871649317,1,1.0
Joe Biden,2,1.0,14,36,Simplicity,1,0.16,-141.58308871649317,1,1.0
Joe Biden,3,1.0,14,36,Simplicity,1,0.16,-141.58308871649317,1,1.0
Joe Biden,4,1.0,14,36,Simplicity,1,0.16,-141.58308871649317,1,1.0
Joe Biden,5,1.0,14,36,Simplicity,1,0.16,-141.58308871649317,1,1.0
Joe Biden,6,1.0,14,36,Simplicity,1,0.16,-141.58308871649317,1,1.0
Joe Biden,7,1.0,14,36,Simplicity,1,0.16,-141.58308871649317,1,1.0
Joe Biden,8,1.0,14,36,Simplicity,1,0.16,-141.58308871649317,1,1.0
Joe Biden,9,1.0,14,36,Simplicity,1,0.16,-141.58308871649317,1,1.0
Elizabeth Warren,1,2.0,18,36,Simplicity,2,0.16,-159.12986899197332,1,0.5987654320987654
Elizabeth Warren,2,2.0,18,36,Simplicity,2,0.16,-148.43183020165122,1,0.8950617283950617
Elizabeth Warren,3,1.0,18,36,Simplicity,1,0.16,-126.978875074477,1,1.0
Elizabeth Warren,4,1.0,18,36,Simplicity,1,0.16,-126.978875074477,1,1.0
Elizabeth Warren,5,1.0,18,36,Simplicity,1,0.16,-126.978875074477,1,1.0
Elizabeth Warren,6,1.0,18,36,Simplicity,1,0.16,-126.978875074477,1,1.0
Elizabeth Warren,7,1.0,18,36,Simplicity,1,0.16,-126.978875074477,1,1.0
Elizabeth Warren,8,1.0,18,36,Simplicity,1,0.16,-126.978875074477,1,1.0
Elizabeth Warren,9,1.0,18,36,Simplicity,1,0.16,-126.978875074477,1,1.0
Ronald Reagan,1,3.0,19,36,Simplicity,3,0.16,-205.72107384609222,1,0.6509695290858726
Ronald Reagan,2,2.0,19,36,Simplicity,2,0.16,-195.2602290810888,1,0.6675900277008311
Ronald Reagan,3,2.0,19,36,Simplicity,2,0.16,-195.86537266768025,1,0.6675900277008311
Ronald Reagan,4,2.0,19,36,Simplicity,2,0.16,-183.5394905049138,1,0.9002770083102491
Ronald Reagan,5,1.0,19,36,Simplicity,1,0.16,-171.97399531237136,1,1.0
Ronald Reagan,6,1.0,19,36,Simplicity,1,0.16,-171.97399531237136,1,1.0
Ronald Reagan,7,1.0,19,36,Simplicity,1,0.16,-171.97399531237136,1,1.0
Ronald Reagan,8,1.0,19,36,Simplicity,1,0.16,-171.97399531237136,1,1.0
Ronald Reagan,9,1.0,19,36,Simplicity,1,0.16,-171.97399531237136,1,1.0
Bernie Sanders,1,2.0,23,36,Simplicity,2,0.16,-178.6276521559663,1,0.8412098298676747
Bernie Sanders,2,2.0,23,36,Simplicity,2,0.16,-170.57001589414435,1,0.9168241965973536
Bernie Sanders,3,1.0,23,36,Simplicity,1,0.16,-153.8377650430374,1,1.0
Bernie Sanders,4,1.0,23,36,Simplicity,1,0.16,-153.8377650430374,1,1.0
Bernie Sanders,5,1.0,23,36,Simplicity,1,0.16,-153.8377650430374,1,1.0
Bernie Sanders,6,1.0,23,36,Simplicity,1,0.16,-153.8377650430374,1,1.0
Bernie Sanders,7,1.0,23,36,Simplicity,1,0.16,-153.8377650430374,1,1.0
Bernie Sanders,8,1.0,23,36,Simplicity,1,0.16,-153.8377650430374,1,1.0
Bernie Sanders,9,1.0,23,36,Simplicity,1,0.16,-153.8377650430374,1,1.0
George W. Bush,1,1.0,5,36,Simplicity,1,0.16,-63.99059677512927,1,1.0
George W. Bush,2,1.0,5,36,Simplicity,1,0.16,-63.99059677512927,1,1.0
George W. Bush,3,1.0,5,36,Simplicity,1,0.16,-63.99059677512927,1,1.0
George W. Bush,4,1.0,5,36,Simplicity,1,0.16,-63.99059677512927,1,1.0
George W. Bush,5,1.0,5,36,Simplicity,1,0.16,-63.99059677512927,1,1.0
George W. Bush,6,1.0,5,36,Simplicity,1,0.16,-63.99059677512927,1,1.0
George W. Bush,7,1.0,5,36,Simplicity,1,0.16,-63.99059677512927,1,1.0
George W. Bush,8,1.0,5,36,Simplicity,1,0.16,-63.99059677512927,1,1.0
George W. Bush,9,1.0,5,36,Simplicity,1,0.16,-63.99059677512927,1,1.0
