Concept,Iteration,S_Chao1,NumberOfPeople,NumberOfTrials,Prior,Tables,Alpha,Posterior,Chain,ProbabilityOfSameTable
Hillary Clinton,1,2.0,8,36,Simplicity,2,0.16,-91.85972373706898,1,0.78125
Hillary Clinton,2,1.0,8,36,Simplicity,1,0.16,-78.63170303592916,1,1.0
Hillary Clinton,3,1.0,8,36,Simplicity,1,0.16,-78.63170303592916,1,1.0
Hillary Clinton,4,1.0,8,36,Simplicity,1,0.16,-78.63170303592916,1,1.0
Hillary Clinton,5,1.0,8,36,Simplicity,1,0.16,-78.63170303592916,1,1.0
Hillary Clinton,6,1.0,8,36,Simplicity,1,0.16,-78.63170303592916,1,1.0
Hillary Clinton,7,1.0,8,36,Simplicity,1,0.16,-78.63170303592916,1,1.0
Hillary Clinton,8,1.0,8,36,Simplicity,1,0.16,-78.63170303592916,1,1.0
Hillary Clinton,9,1.0,8,36,Simplicity,1,0.16,-78.63170303592916,1,1.0
Donald Trump,1,2.0,5,36,Simplicity,2,0.16,-92.6412308226107,1,0.52
Donald Trump,2,2.0,5,36,Simplicity,2,0.16,-92.6412308226107,1,0.52
Donald Trump,3,2.0,5,36,Simplicity,2,0.16,-92.6412308226107,1,0.52
Donald Trump,4,2.0,5,36,Simplicity,2,0.16,-92.6412308226107,1,0.52
Donald Trump,5,2.0,5,36,Simplicity,2,0.16,-92.6412308226107,1,0.52
Donald Trump,6,2.0,5,36,Simplicity,2,0.16,-92.6412308226107,1,0.52
Donald Trump,7,2.0,5,36,Simplicity,2,0.16,-92.6412308226107,1,0.52
Donald Trump,8,2.0,5,36,Simplicity,2,0.16,-92.6412308226107,1,0.52
Donald Trump,9,2.0,5,36,Simplicity,2,0.16,-92.6412308226107,1,0.52
Joe Biden,1,1.0,3,36,Simplicity,1,0.16,-41.08412488179676,1,1.0
Joe Biden,2,1.0,3,36,Simplicity,1,0.16,-41.08412488179676,1,1.0
Joe Biden,3,1.0,3,36,Simplicity,1,0.16,-41.08412488179676,1,1.0
Joe Biden,4,1.0,3,36,Simplicity,1,0.16,-41.08412488179676,1,1.0
Joe Biden,5,1.0,3,36,Simplicity,1,0.16,-41.08412488179676,1,1.0
Joe Biden,6,1.0,3,36,Simplicity,1,0.16,-41.08412488179676,1,1.0
Joe Biden,7,1.0,3,36,Simplicity,1,0.16,-41.08412488179676,1,1.0
Joe Biden,8,1.0,3,36,Simplicity,1,0.16,-41.08412488179676,1,1.0
Joe Biden,9,1.0,3,36,Simplicity,1,0.16,-41.08412488179676,1,1.0
Elizabeth Warren,1,1.0,4,36,Simplicity,1,0.16,-35.3418770897801,1,1.0
Elizabeth Warren,2,1.0,4,36,Simplicity,1,0.16,-35.3418770897801,1,1.0
Elizabeth Warren,3,1.0,4,36,Simplicity,1,0.16,-35.3418770897801,1,1.0
Elizabeth Warren,4,1.0,4,36,Simplicity,1,0.16,-35.3418770897801,1,1.0
Elizabeth Warren,5,1.0,4,36,Simplicity,1,0.16,-35.3418770897801,1,1.0
Elizabeth Warren,6,1.0,4,36,Simplicity,1,0.16,-35.3418770897801,1,1.0
Elizabeth Warren,7,1.0,4,36,Simplicity,1,0.16,-35.3418770897801,1,1.0
Elizabeth Warren,8,1.0,4,36,Simplicity,1,0.16,-35.3418770897801,1,1.0
Elizabeth Warren,9,1.0,4,36,Simplicity,1,0.16,-35.3418770897801,1,1.0
Bernie Sanders,1,1.0,5,36,Simplicity,1,0.16,-49.95605860056279,1,1.0
Bernie Sanders,2,1.0,5,36,Simplicity,1,0.16,-49.95605860056279,1,1.0
Bernie Sanders,3,1.0,5,36,Simplicity,1,0.16,-49.95605860056279,1,1.0
Bernie Sanders,4,1.0,5,36,Simplicity,1,0.16,-49.95605860056279,1,1.0
Bernie Sanders,5,1.0,5,36,Simplicity,1,0.16,-49.95605860056279,1,1.0
Bernie Sanders,6,1.0,5,36,Simplicity,1,0.16,-49.95605860056279,1,1.0
Bernie Sanders,7,1.0,5,36,Simplicity,1,0.16,-49.95605860056279,1,1.0
Bernie Sanders,8,1.0,5,36,Simplicity,1,0.16,-49.95605860056279,1,1.0
Bernie Sanders,9,1.0,5,36,Simplicity,1,0.16,-49.95605860056279,1,1.0
George W. Bush,1,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
George W. Bush,2,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
George W. Bush,3,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
George W. Bush,4,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
George W. Bush,5,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
George W. Bush,6,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
George W. Bush,7,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
George W. Bush,8,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
George W. Bush,9,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Barack Obama,1,1.0,3,36,Simplicity,1,0.16,-46.28950425268552,1,1.0
Barack Obama,2,1.0,3,36,Simplicity,1,0.16,-46.28950425268552,1,1.0
Barack Obama,3,1.0,3,36,Simplicity,1,0.16,-46.28950425268552,1,1.0
Barack Obama,4,1.0,3,36,Simplicity,1,0.16,-46.28950425268552,1,1.0
Barack Obama,5,1.0,3,36,Simplicity,1,0.16,-46.28950425268552,1,1.0
Barack Obama,6,1.0,3,36,Simplicity,1,0.16,-46.28950425268552,1,1.0
Barack Obama,7,1.0,3,36,Simplicity,1,0.16,-46.28950425268552,1,1.0
Barack Obama,8,1.0,3,36,Simplicity,1,0.16,-46.28950425268552,1,1.0
Barack Obama,9,1.0,3,36,Simplicity,1,0.16,-46.28950425268552,1,1.0
Abraham Lincoln,1,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Abraham Lincoln,2,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Abraham Lincoln,3,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Abraham Lincoln,4,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Abraham Lincoln,5,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Abraham Lincoln,6,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Abraham Lincoln,7,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Abraham Lincoln,8,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Abraham Lincoln,9,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Richard Nixon,1,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Richard Nixon,2,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Richard Nixon,3,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Richard Nixon,4,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Richard Nixon,5,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Richard Nixon,6,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
