ID,Table,Concept
3,0,an ostrich
9,0,an ostrich
15,0,an ostrich
20,0,an ostrich
32,0,an ostrich
35,0,an ostrich
45,0,an ostrich
73,0,an ostrich
105,0,an ostrich
112,0,an ostrich
115,0,an ostrich
137,0,an ostrich
155,0,an ostrich
172,0,an ostrich
181,0,an ostrich
186,0,an ostrich
196,0,an ostrich
234,0,an ostrich
235,0,an ostrich
269,0,an ostrich
287,0,an ostrich
290,0,an ostrich
296,0,an ostrich
300,0,an ostrich
303,0,an ostrich
307,0,an ostrich
364,0,an ostrich
367,0,an ostrich
368,0,an ostrich
386,0,an ostrich
388,0,an ostrich
400,0,an ostrich
403,0,an ostrich
409,0,an ostrich
412,0,an ostrich
415,0,an ostrich
418,0,an ostrich
422,0,an ostrich
427,0,an ostrich
437,0,an ostrich
450,0,an ostrich
482,0,an ostrich
494,0,an ostrich
516,0,an ostrich
517,0,an ostrich
521,0,an ostrich
527,0,an ostrich
548,0,an ostrich
549,0,an ostrich
584,0,an ostrich
587,0,an ostrich
589,0,an ostrich
590,0,an ostrich
600,0,an ostrich
610,0,an ostrich
618,0,an ostrich
625,0,an ostrich
631,0,an ostrich
637,0,an ostrich
655,0,an ostrich
659,0,an ostrich
660,0,an ostrich
663,0,an ostrich
665,0,an ostrich
666,0,an ostrich
667,0,an ostrich
672,0,an ostrich
692,0,an ostrich
696,0,an ostrich
697,0,an ostrich
718,0,an ostrich
727,0,an ostrich
749,0,an ostrich
750,0,an ostrich
796,0,an ostrich
822,0,an ostrich
829,0,an ostrich
832,0,an ostrich
834,0,an ostrich
846,0,an ostrich
864,0,an ostrich
877,0,an ostrich
885,0,an ostrich
893,0,an ostrich
5,0,a whale
22,0,a whale
26,0,a whale
42,0,a whale
44,0,a whale
63,0,a whale
65,0,a whale
93,0,a whale
95,0,a whale
116,0,a whale
120,0,a whale
121,0,a whale
140,0,a whale
158,0,a whale
187,0,a whale
208,0,a whale
225,0,a whale
228,0,a whale
313,0,a whale
315,0,a whale
323,0,a whale
325,0,a whale
332,0,a whale
334,0,a whale
339,0,a whale
354,0,a whale
356,0,a whale
357,0,a whale
361,0,a whale
378,0,a whale
383,0,a whale
385,0,a whale
387,0,a whale
393,0,a whale
407,0,a whale
416,0,a whale
417,0,a whale
424,0,a whale
425,0,a whale
431,0,a whale
432,0,a whale
434,0,a whale
455,0,a whale
462,0,a whale
464,0,a whale
465,0,a whale
472,0,a whale
481,0,a whale
515,0,a whale
528,0,a whale
529,0,a whale
537,0,a whale
538,0,a whale
543,0,a whale
546,0,a whale
565,0,a whale
566,0,a whale
571,0,a whale
586,0,a whale
606,0,a whale
612,0,a whale
614,0,a whale
646,0,a whale
668,0,a whale
669,0,a whale
683,0,a whale
684,0,a whale
715,0,a whale
720,0,a whale
723,0,a whale
746,0,a whale
752,0,a whale
759,0,a whale
762,0,a whale
764,0,a whale
770,0,a whale
779,0,a whale
783,0,a whale
790,0,a whale
797,0,a whale
809,0,a whale
820,0,a whale
825,0,a whale
862,0,a whale
866,0,a whale
884,0,a whale
887,0,a whale
14,1,a penguin
18,1,a penguin
23,0,a penguin
57,0,a penguin
58,0,a penguin
61,1,a penguin
108,0,a penguin
133,0,a penguin
138,0,a penguin
152,0,a penguin
160,0,a penguin
179,0,a penguin
188,0,a penguin
194,1,a penguin
199,0,a penguin
200,1,a penguin
203,1,a penguin
244,0,a penguin
252,1,a penguin
262,1,a penguin
278,0,a penguin
280,0,a penguin
281,1,a penguin
282,0,a penguin
284,0,a penguin
297,0,a penguin
314,0,a penguin
320,0,a penguin
330,0,a penguin
351,1,a penguin
355,0,a penguin
358,0,a penguin
362,0,a penguin
371,1,a penguin
397,0,a penguin
404,1,a penguin
410,0,a penguin
426,0,a penguin
505,0,a penguin
540,0,a penguin
550,0,a penguin
554,0,a penguin
561,0,a penguin
563,0,a penguin
583,0,a penguin
585,0,a penguin
588,0,a penguin
601,0,a penguin
602,1,a penguin
621,0,a penguin
628,0,a penguin
641,0,a penguin
648,0,a penguin
657,0,a penguin
661,0,a penguin
686,0,a penguin
687,0,a penguin
691,0,a penguin
701,0,a penguin
703,0,a penguin
729,0,a penguin
736,0,a penguin
753,1,a penguin
755,1,a penguin
767,0,a penguin
778,0,a penguin
791,0,a penguin
802,0,a penguin
814,0,a penguin
823,0,a penguin
828,0,a penguin
833,0,a penguin
835,0,a penguin
836,0,a penguin
849,0,a penguin
853,0,a penguin
854,0,a penguin
857,0,a penguin
865,1,a penguin
881,0,a penguin
898,0,a penguin
21,0,a finch
25,0,a finch
51,0,a finch
83,0,a finch
87,0,a finch
101,0,a finch
110,0,a finch
114,0,a finch
145,0,a finch
156,0,a finch
164,0,a finch
165,0,a finch
171,0,a finch
173,0,a finch
175,0,a finch
176,0,a finch
183,0,a finch
193,0,a finch
201,0,a finch
215,0,a finch
231,0,a finch
233,0,a finch
249,0,a finch
266,0,a finch
268,0,a finch
275,0,a finch
276,0,a finch
289,0,a finch
294,0,a finch
295,0,a finch
305,0,a finch
309,0,a finch
326,0,a finch
344,0,a finch
365,0,a finch
380,0,a finch
392,0,a finch
395,0,a finch
421,0,a finch
442,0,a finch
447,0,a finch
448,0,a finch
452,0,a finch
453,0,a finch
461,0,a finch
486,0,a finch
490,0,a finch
502,0,a finch
507,0,a finch
539,0,a finch
553,0,a finch
556,0,a finch
579,0,a finch
582,0,a finch
599,0,a finch
622,0,a finch
640,0,a finch
649,0,a finch
654,0,a finch
671,0,a finch
674,0,a finch
677,0,a finch
690,0,a finch
694,0,a finch
712,0,a finch
722,0,a finch
756,0,a finch
761,0,a finch
769,0,a finch
774,0,a finch
800,0,a finch
805,0,a finch
818,0,a finch
831,0,a finch
855,0,a finch
871,0,a finch
873,0,a finch
874,0,a finch
880,0,a finch
892,0,a finch
895,0,a finch
