Concept,Iteration,S_Chao1,NumberOfPeople,NumberOfTrials,Prior,Tables,Alpha,Posterior,Chain,ProbabilityOfSameTable
Hillary Clinton,1,1.0,13,36,Simplicity,1,0.16,-99.54342460747088,1,1.0
Hillary Clinton,2,1.0,13,36,Simplicity,1,0.16,-99.54342460747088,1,1.0
Hillary Clinton,3,1.0,13,36,Simplicity,1,0.16,-99.54342460747088,1,1.0
Hillary Clinton,4,1.0,13,36,Simplicity,1,0.16,-99.54342460747088,1,1.0
Hillary Clinton,5,1.0,13,36,Simplicity,1,0.16,-99.54342460747088,1,1.0
Hillary Clinton,6,1.0,13,36,Simplicity,1,0.16,-99.54342460747088,1,1.0
Hillary Clinton,7,1.0,13,36,Simplicity,1,0.16,-99.54342460747088,1,1.0
Hillary Clinton,8,1.0,13,36,Simplicity,1,0.16,-99.54342460747088,1,1.0
Hillary Clinton,9,1.0,13,36,Simplicity,1,0.16,-99.54342460747088,1,1.0
Donald Trump,1,1.0,4,36,Simplicity,1,0.16,-59.828793237134974,1,1.0
Donald Trump,2,1.0,4,36,Simplicity,1,0.16,-59.828793237134974,1,1.0
Donald Trump,3,1.0,4,36,Simplicity,1,0.16,-59.828793237134974,1,1.0
Donald Trump,4,1.0,4,36,Simplicity,1,0.16,-59.828793237134974,1,1.0
Donald Trump,5,1.0,4,36,Simplicity,1,0.16,-59.828793237134974,1,1.0
Donald Trump,6,1.0,4,36,Simplicity,1,0.16,-59.828793237134974,1,1.0
Donald Trump,7,1.0,4,36,Simplicity,1,0.16,-59.828793237134974,1,1.0
Donald Trump,8,1.0,4,36,Simplicity,1,0.16,-59.828793237134974,1,1.0
Donald Trump,9,1.0,4,36,Simplicity,1,0.16,-59.828793237134974,1,1.0
Joe Biden,1,1.0,10,36,Simplicity,1,0.16,-107.42301038216041,1,1.0
Joe Biden,2,1.0,10,36,Simplicity,1,0.16,-107.42301038216041,1,1.0
Joe Biden,3,1.0,10,36,Simplicity,1,0.16,-107.42301038216041,1,1.0
Joe Biden,4,1.0,10,36,Simplicity,1,0.16,-107.42301038216041,1,1.0
Joe Biden,5,1.0,10,36,Simplicity,1,0.16,-107.42301038216041,1,1.0
Joe Biden,6,1.0,10,36,Simplicity,1,0.16,-107.42301038216041,1,1.0
Joe Biden,7,1.0,10,36,Simplicity,1,0.16,-107.42301038216041,1,1.0
Joe Biden,8,1.0,10,36,Simplicity,1,0.16,-107.42301038216041,1,1.0
Joe Biden,9,1.0,10,36,Simplicity,1,0.16,-107.42301038216041,1,1.0
Elizabeth Warren,1,1.0,9,36,Simplicity,1,0.16,-58.57596476405324,1,1.0
Elizabeth Warren,2,1.0,9,36,Simplicity,1,0.16,-58.57596476405324,1,1.0
Elizabeth Warren,3,1.0,9,36,Simplicity,1,0.16,-58.57596476405324,1,1.0
Elizabeth Warren,4,1.0,9,36,Simplicity,1,0.16,-58.57596476405324,1,1.0
Elizabeth Warren,5,1.0,9,36,Simplicity,1,0.16,-58.57596476405324,1,1.0
Elizabeth Warren,6,1.0,9,36,Simplicity,1,0.16,-58.57596476405324,1,1.0
Elizabeth Warren,7,1.0,9,36,Simplicity,1,0.16,-58.57596476405324,1,1.0
Elizabeth Warren,8,1.0,9,36,Simplicity,1,0.16,-58.57596476405324,1,1.0
Elizabeth Warren,9,1.0,9,36,Simplicity,1,0.16,-58.57596476405324,1,1.0
Ronald Reagan,1,1.0,7,36,Simplicity,1,0.16,-48.07642730310383,1,1.0
Ronald Reagan,2,1.0,7,36,Simplicity,1,0.16,-48.07642730310383,1,1.0
Ronald Reagan,3,1.0,7,36,Simplicity,1,0.16,-48.07642730310383,1,1.0
Ronald Reagan,4,1.0,7,36,Simplicity,1,0.16,-48.07642730310383,1,1.0
Ronald Reagan,5,1.0,7,36,Simplicity,1,0.16,-48.07642730310383,1,1.0
Ronald Reagan,6,1.0,7,36,Simplicity,1,0.16,-48.07642730310383,1,1.0
Ronald Reagan,7,1.0,7,36,Simplicity,1,0.16,-48.07642730310383,1,1.0
Ronald Reagan,8,1.0,7,36,Simplicity,1,0.16,-48.07642730310383,1,1.0
Ronald Reagan,9,1.0,7,36,Simplicity,1,0.16,-48.07642730310383,1,1.0
Bernie Sanders,1,2.0,10,36,Simplicity,2,0.16,-108.37585843361887,1,0.6800000000000002
Bernie Sanders,2,1.0,10,36,Simplicity,1,0.16,-80.13499791913898,1,1.0
Bernie Sanders,3,1.0,10,36,Simplicity,1,0.16,-80.13499791913898,1,1.0
Bernie Sanders,4,1.0,10,36,Simplicity,1,0.16,-80.13499791913898,1,1.0
Bernie Sanders,5,1.0,10,36,Simplicity,1,0.16,-80.13499791913898,1,1.0
Bernie Sanders,6,1.0,10,36,Simplicity,1,0.16,-80.13499791913898,1,1.0
Bernie Sanders,7,1.0,10,36,Simplicity,1,0.16,-80.13499791913898,1,1.0
Bernie Sanders,8,1.0,10,36,Simplicity,1,0.16,-80.13499791913898,1,1.0
Bernie Sanders,9,1.0,10,36,Simplicity,1,0.16,-80.13499791913898,1,1.0
George W. Bush,1,1.0,4,36,Simplicity,1,0.16,-44.291337563821514,1,1.0
George W. Bush,2,1.0,4,36,Simplicity,1,0.16,-44.291337563821514,1,1.0
George W. Bush,3,1.0,4,36,Simplicity,1,0.16,-44.291337563821514,1,1.0
George W. Bush,4,1.0,4,36,Simplicity,1,0.16,-44.291337563821514,1,1.0
George W. Bush,5,1.0,4,36,Simplicity,1,0.16,-44.291337563821514,1,1.0
George W. Bush,6,1.0,4,36,Simplicity,1,0.16,-44.291337563821514,1,1.0
George W. Bush,7,1.0,4,36,Simplicity,1,0.16,-44.291337563821514,1,1.0
George W. Bush,8,1.0,4,36,Simplicity,1,0.16,-44.291337563821514,1,1.0
George W. Bush,9,1.0,4,36,Simplicity,1,0.16,-44.291337563821514,1,1.0
Barack Obama,1,1.0,5,36,Simplicity,1,0.16,-54.21630716106482,1,1.0
Barack Obama,2,1.0,5,36,Simplicity,1,0.16,-54.21630716106482,1,1.0
Barack Obama,3,1.0,5,36,Simplicity,1,0.16,-54.21630716106482,1,1.0
Barack Obama,4,1.0,5,36,Simplicity,1,0.16,-54.21630716106482,1,1.0
Barack Obama,5,1.0,5,36,Simplicity,1,0.16,-54.21630716106482,1,1.0
Barack Obama,6,1.0,5,36,Simplicity,1,0.16,-54.21630716106482,1,1.0
Barack Obama,7,1.0,5,36,Simplicity,1,0.16,-54.21630716106482,1,1.0
Barack Obama,8,1.0,5,36,Simplicity,1,0.16,-54.21630716106482,1,1.0
Barack Obama,9,1.0,5,36,Simplicity,1,0.16,-54.21630716106482,1,1.0
