Concept,Iteration,S_Chao1,NumberOfPeople,NumberOfTrials,Prior,Tables,Alpha,Posterior,Chain,ProbabilityOfSameTable,model_name,prompt,temperature,concept_category
Hillary Clinton,499,1.0,25,36,Simplicity,1,0.16,-140.11379619404224,1,1.0,gemma-instruct,none,default,politicians
Donald Trump,499,1.0,25,36,Simplicity,1,0.16,-193.46140826755263,1,1.0,gemma-instruct,none,default,politicians
Joe Biden,499,1.0,25,36,Simplicity,1,0.16,-107.41401965927832,1,1.0,gemma-instruct,none,default,politicians
Elizabeth Warren,499,1.0,25,36,Simplicity,1,0.16,-144.9295649355063,1,1.0,gemma-instruct,none,default,politicians
Ronald Reagan,499,1.0,25,36,Simplicity,1,0.16,-243.9271049649051,1,1.0,gemma-instruct,none,default,politicians
Bernie Sanders,499,1.0,25,36,Simplicity,1,0.16,-165.26628290137427,1,1.0,gemma-instruct,none,default,politicians
George W. Bush,499,1.0,25,36,Simplicity,1,0.16,-219.8799945231416,1,1.0,gemma-instruct,none,default,politicians
Barack Obama,499,1.0,25,36,Simplicity,1,0.16,-123.40452955915734,1,1.0,gemma-instruct,none,default,politicians
Abraham Lincoln,499,1.0,25,36,Simplicity,1,0.16,-114.93381393439398,1,1.0,gemma-instruct,none,default,politicians
Richard Nixon,499,1.0,25,36,Simplicity,1,0.16,-156.26492348786107,1,1.0,gemma-instruct,none,default,politicians
a salmon,499,1.0,25,36,Simplicity,1,0.16,-223.66210028583052,1,1.0,gemma-instruct,none,default,animals
an eagle,499,1.0,25,36,Simplicity,1,0.16,-92.67634145758186,1,1.0,gemma-instruct,none,default,animals
a seal,499,1.0,25,36,Simplicity,1,0.16,-367.4451416256007,1,1.0,gemma-instruct,none,default,animals
an ostrich,499,1.0,25,36,Simplicity,1,0.16,-85.37948646692655,1,1.0,gemma-instruct,none,default,animals
a whale,499,1.0,25,36,Simplicity,1,0.16,-369.530013278183,1,1.0,gemma-instruct,none,default,animals
a chicken,499,1.0,25,36,Simplicity,1,0.16,-112.03714394311112,1,1.0,gemma-instruct,none,default,animals
a penguin,499,1.0,25,36,Simplicity,1,0.16,-215.7044109837406,1,1.0,gemma-instruct,none,default,animals
a robin,499,1.0,25,36,Simplicity,1,0.16,-76.73111603744974,1,1.0,gemma-instruct,none,default,animals
a finch,499,1.0,25,36,Simplicity,1,0.16,-91.4118848232659,1,1.0,gemma-instruct,none,default,animals
a dolphin,499,1.0,25,36,Simplicity,1,0.16,-381.68798409693056,1,1.0,gemma-instruct,none,default,animals
Hillary Clinton,499,1.0,50,36,Simplicity,1,0.16,-239.79977203827508,1,1.0,gemma-instruct,none,default,politicians
Donald Trump,499,1.0,50,36,Simplicity,1,0.16,-335.2736132492656,1,1.0,gemma-instruct,none,default,politicians
Joe Biden,499,1.0,50,36,Simplicity,1,0.16,-164.02351401342514,1,1.0,gemma-instruct,none,default,politicians
Elizabeth Warren,499,1.0,50,36,Simplicity,1,0.16,-219.4748297816604,1,1.0,gemma-instruct,none,default,politicians
Ronald Reagan,499,1.0,50,36,Simplicity,1,0.16,-429.78850378796017,1,1.0,gemma-instruct,none,default,politicians
Bernie Sanders,499,1.0,50,36,Simplicity,1,0.16,-288.1987978260927,1,1.0,gemma-instruct,none,default,politicians
George W. Bush,499,1.0,50,36,Simplicity,1,0.16,-387.4966308209768,1,1.0,gemma-instruct,none,default,politicians
Barack Obama,499,1.0,50,36,Simplicity,1,0.16,-217.2335084139012,1,1.0,gemma-instruct,none,default,politicians
Abraham Lincoln,499,1.0,50,36,Simplicity,1,0.16,-178.88724273757822,1,1.0,gemma-instruct,none,default,politicians
Richard Nixon,499,1.0,50,36,Simplicity,1,0.16,-249.8998672368453,1,1.0,gemma-instruct,none,default,politicians
a salmon,499,1.0,50,36,Simplicity,1,0.16,-431.23327917837423,1,1.0,gemma-instruct,none,default,animals
an eagle,499,1.0,50,36,Simplicity,1,0.16,-151.1748655841421,1,1.0,gemma-instruct,none,default,animals
a seal,499,1.0,50,36,Simplicity,1,0.16,-687.6160128661633,1,1.0,gemma-instruct,none,default,animals
an ostrich,499,1.0,50,36,Simplicity,1,0.16,-126.2368901050538,1,1.0,gemma-instruct,none,default,animals
a whale,499,1.0,50,36,Simplicity,1,0.16,-711.4431713104738,1,1.0,gemma-instruct,none,default,animals
a chicken,499,1.0,50,36,Simplicity,1,0.16,-176.98505035250528,1,1.0,gemma-instruct,none,default,animals
a penguin,499,1.0,50,36,Simplicity,1,0.16,-367.2053903226773,1,1.0,gemma-instruct,none,default,animals
a robin,499,1.0,50,36,Simplicity,1,0.16,-102.64745486114258,1,1.0,gemma-instruct,none,default,animals
a finch,499,1.0,50,36,Simplicity,1,0.16,-142.43470354690663,1,1.0,gemma-instruct,none,default,animals
a dolphin,499,1.0,50,36,Simplicity,1,0.16,-694.9212599509176,1,1.0,gemma-instruct,none,default,animals
Hillary Clinton,499,1.0,75,36,Simplicity,1,0.16,-358.83302179059103,1,1.0,gemma-instruct,none,default,politicians
Donald Trump,499,1.0,75,36,Simplicity,1,0.16,-485.5184653086795,1,1.0,gemma-instruct,none,default,politicians
Joe Biden,499,1.0,75,36,Simplicity,1,0.16,-214.64356192660992,1,1.0,gemma-instruct,none,default,politicians
Elizabeth Warren,499,1.0,75,36,Simplicity,1,0.16,-301.0429366853035,1,1.0,gemma-instruct,none,default,politicians
Ronald Reagan,499,1.0,75,36,Simplicity,1,0.16,-611.7131337287024,1,1.0,gemma-instruct,none,default,politicians
Bernie Sanders,499,1.0,75,36,Simplicity,1,0.16,-411.7510960904015,1,1.0,gemma-instruct,none,default,politicians
