Concept,Iteration,S_Chao1,NumberOfPeople,NumberOfTrials,Prior,Tables,Alpha,Posterior,Chain,ProbabilityOfSameTable,model_name,prompt,temperature,concept_category
a salmon,499,1.0,25,36,Simplicity,1,0.16,-53.05817514069427,1,1.0,llama2-chat,none,default,animals
an eagle,499,1.0,25,36,Simplicity,1,0.16,-48.04089530387935,1,1.0,llama2-chat,none,default,animals
a seal,499,1.0,25,36,Simplicity,1,0.16,-48.04089530387935,1,1.0,llama2-chat,none,default,animals
an ostrich,499,1.0,25,36,Simplicity,1,0.16,-48.04089530387935,1,1.0,llama2-chat,none,default,animals
a whale,499,1.0,25,36,Simplicity,1,0.16,-48.04089530387935,1,1.0,llama2-chat,none,default,animals
a chicken,499,1.0,25,36,Simplicity,1,0.16,-48.04089530387935,1,1.0,llama2-chat,none,default,animals
a penguin,499,1.0,25,36,Simplicity,1,0.16,-56.05218178828077,1,1.0,llama2-chat,none,default,animals
a robin,499,1.0,25,36,Simplicity,1,0.16,-48.04089530387935,1,1.0,llama2-chat,none,default,animals
a finch,499,1.0,25,36,Simplicity,1,0.16,-48.04089530387935,1,1.0,llama2-chat,none,default,animals
a dolphin,499,1.0,25,36,Simplicity,1,0.16,-48.04089530387935,1,1.0,llama2-chat,none,default,animals
Hillary Clinton,499,1.0,25,36,Simplicity,1,0.16,-58.38036242846379,1,1.0,llama2-chat,none,default,politicians
Donald Trump,499,1.0,25,36,Simplicity,1,0.16,-48.04089530387935,1,1.0,llama2-chat,none,default,politicians
Joe Biden,499,1.0,25,36,Simplicity,1,0.16,-53.05817514069428,1,1.0,llama2-chat,none,default,politicians
Elizabeth Warren,499,1.0,25,36,Simplicity,1,0.16,-48.04089530387935,1,1.0,llama2-chat,none,default,politicians
Ronald Reagan,499,1.0,25,36,Simplicity,1,0.16,-48.04089530387935,1,1.0,llama2-chat,none,default,politicians
Bernie Sanders,499,1.0,25,36,Simplicity,1,0.16,-48.04089530387935,1,1.0,llama2-chat,none,default,politicians
George W. Bush,499,1.0,25,36,Simplicity,1,0.16,-48.04089530387935,1,1.0,llama2-chat,none,default,politicians
Barack Obama,499,1.0,25,36,Simplicity,1,0.16,-48.04089530387935,1,1.0,llama2-chat,none,default,politicians
Abraham Lincoln,499,1.0,25,36,Simplicity,1,0.16,-48.04089530387935,1,1.0,llama2-chat,none,default,politicians
Richard Nixon,499,1.0,25,36,Simplicity,1,0.16,-48.04089530387935,1,1.0,llama2-chat,none,default,politicians
a salmon,499,1.0,50,36,Simplicity,1,0.16,-58.48413207299004,1,1.0,llama2-chat,none,default,animals
an eagle,499,1.0,50,36,Simplicity,1,0.16,-52.75647032454392,1,1.0,llama2-chat,none,default,animals
a seal,499,1.0,50,36,Simplicity,1,0.16,-52.75647032454392,1,1.0,llama2-chat,none,default,animals
an ostrich,499,1.0,50,36,Simplicity,1,0.16,-52.75647032454392,1,1.0,llama2-chat,none,default,animals
a whale,499,1.0,50,36,Simplicity,1,0.16,-52.75647032454392,1,1.0,llama2-chat,none,default,animals
a chicken,499,1.0,50,36,Simplicity,1,0.16,-52.75647032454392,1,1.0,llama2-chat,none,default,animals
a penguin,499,1.0,50,36,Simplicity,1,0.16,-62.21024086887232,1,1.0,llama2-chat,none,default,animals
a robin,499,1.0,50,36,Simplicity,1,0.16,-52.75647032454392,1,1.0,llama2-chat,none,default,animals
a finch,499,1.0,50,36,Simplicity,1,0.16,-52.75647032454392,1,1.0,llama2-chat,none,default,animals
a dolphin,499,1.0,50,36,Simplicity,1,0.16,-52.75647032454392,1,1.0,llama2-chat,none,default,animals
Hillary Clinton,499,1.0,50,36,Simplicity,1,0.16,-76.0875787309009,1,1.0,llama2-chat,none,default,politicians
Donald Trump,499,1.0,50,36,Simplicity,1,0.16,-52.75647032454392,1,1.0,llama2-chat,none,default,politicians
Joe Biden,499,1.0,50,36,Simplicity,1,0.16,-58.48413207299006,1,1.0,llama2-chat,none,default,politicians
Elizabeth Warren,499,1.0,50,36,Simplicity,1,0.16,-52.75647032454392,1,1.0,llama2-chat,none,default,politicians
Ronald Reagan,499,1.0,50,36,Simplicity,1,0.16,-52.75647032454392,1,1.0,llama2-chat,none,default,politicians
Bernie Sanders,499,1.0,50,36,Simplicity,1,0.16,-52.75647032454392,1,1.0,llama2-chat,none,default,politicians
George W. Bush,499,1.0,50,36,Simplicity,1,0.16,-52.75647032454392,1,1.0,llama2-chat,none,default,politicians
Barack Obama,499,1.0,50,36,Simplicity,1,0.16,-52.75647032454392,1,1.0,llama2-chat,none,default,politicians
Abraham Lincoln,499,1.0,50,36,Simplicity,1,0.16,-52.75647032454392,1,1.0,llama2-chat,none,default,politicians
Richard Nixon,499,1.0,50,36,Simplicity,1,0.16,-52.75647032454392,1,1.0,llama2-chat,none,default,politicians
a salmon,499,1.0,75,36,Simplicity,1,0.16,-61.646195641772586,1,1.0,llama2-chat,none,default,animals
an eagle,499,1.0,75,36,Simplicity,1,0.16,-55.50738925676664,1,1.0,llama2-chat,none,default,animals
a seal,499,1.0,75,36,Simplicity,1,0.16,-55.50738925676664,1,1.0,llama2-chat,none,default,animals
an ostrich,499,1.0,75,36,Simplicity,1,0.16,-55.50738925676664,1,1.0,llama2-chat,none,default,animals
a whale,499,1.0,75,36,Simplicity,1,0.16,-55.50738925676664,1,1.0,llama2-chat,none,default,animals
a chicken,499,1.0,75,36,Simplicity,1,0.16,-55.50738925676664,1,1.0,llama2-chat,none,default,animals
a penguin,499,1.0,75,36,Simplicity,1,0.16,-65.79042446017692,1,1.0,llama2-chat,none,default,animals
a robin,499,1.0,75,36,Simplicity,1,0.16,-55.50738925676664,1,1.0,llama2-chat,none,default,animals
a finch,499,1.0,75,36,Simplicity,1,0.16,-55.50738925676664,1,1.0,llama2-chat,none,default,animals
a dolphin,499,1.0,75,36,Simplicity,1,0.16,-55.50738925676664,1,1.0,llama2-chat,none,default,animals
Hillary Clinton,499,1.0,75,36,Simplicity,1,0.16,-83.97311668955241,1,1.0,llama2-chat,none,default,politicians
