ID,Table,Concept,model_name,prompt,temperature,concept_category
0,0,a salmon,llama2-chat,none,default,animals
4,0,a salmon,llama2-chat,none,default,animals
7,0,a salmon,llama2-chat,none,default,animals
28,0,a salmon,llama2-chat,none,default,animals
34,0,a salmon,llama2-chat,none,default,animals
37,0,a salmon,llama2-chat,none,default,animals
48,0,a salmon,llama2-chat,none,default,animals
68,0,a salmon,llama2-chat,none,default,animals
80,0,a salmon,llama2-chat,none,default,animals
94,0,a salmon,llama2-chat,none,default,animals
97,0,a salmon,llama2-chat,none,default,animals
102,0,a salmon,llama2-chat,none,default,animals
103,0,a salmon,llama2-chat,none,default,animals
117,0,a salmon,llama2-chat,none,default,animals
118,0,a salmon,llama2-chat,none,default,animals
123,0,a salmon,llama2-chat,none,default,animals
128,0,a salmon,llama2-chat,none,default,animals
129,0,a salmon,llama2-chat,none,default,animals
131,0,a salmon,llama2-chat,none,default,animals
141,0,a salmon,llama2-chat,none,default,animals
143,0,a salmon,llama2-chat,none,default,animals
151,0,a salmon,llama2-chat,none,default,animals
168,0,a salmon,llama2-chat,none,default,animals
180,0,a salmon,llama2-chat,none,default,animals
189,0,a salmon,llama2-chat,none,default,animals
191,0,a salmon,llama2-chat,none,default,animals
212,0,a salmon,llama2-chat,none,default,animals
217,0,a salmon,llama2-chat,none,default,animals
224,0,a salmon,llama2-chat,none,default,animals
227,0,a salmon,llama2-chat,none,default,animals
236,0,a salmon,llama2-chat,none,default,animals
273,0,a salmon,llama2-chat,none,default,animals
279,0,a salmon,llama2-chat,none,default,animals
308,0,a salmon,llama2-chat,none,default,animals
321,0,a salmon,llama2-chat,none,default,animals
331,0,a salmon,llama2-chat,none,default,animals
333,0,a salmon,llama2-chat,none,default,animals
340,0,a salmon,llama2-chat,none,default,animals
347,0,a salmon,llama2-chat,none,default,animals
350,0,a salmon,llama2-chat,none,default,animals
369,0,a salmon,llama2-chat,none,default,animals
374,0,a salmon,llama2-chat,none,default,animals
384,0,a salmon,llama2-chat,none,default,animals
389,0,a salmon,llama2-chat,none,default,animals
402,0,a salmon,llama2-chat,none,default,animals
405,0,a salmon,llama2-chat,none,default,animals
419,0,a salmon,llama2-chat,none,default,animals
423,0,a salmon,llama2-chat,none,default,animals
440,0,a salmon,llama2-chat,none,default,animals
460,0,a salmon,llama2-chat,none,default,animals
470,0,a salmon,llama2-chat,none,default,animals
491,0,a salmon,llama2-chat,none,default,animals
493,0,a salmon,llama2-chat,none,default,animals
496,0,a salmon,llama2-chat,none,default,animals
497,0,a salmon,llama2-chat,none,default,animals
512,0,a salmon,llama2-chat,none,default,animals
524,0,a salmon,llama2-chat,none,default,animals
