Concept,Iteration,S_Chao1,NumberOfPeople,NumberOfTrials,Prior,Tables,Alpha,Posterior,Chain,ProbabilityOfSameTable,model_name,prompt,temperature,concept_category
Hillary Clinton,499,1.0,25,36,Simplicity,1,0.16,-334.753390749236,1,1.0,mistral-instruct,none,default,politicians
Donald Trump,499,1.0,25,36,Simplicity,1,0.16,-387.4198671854493,1,1.0,mistral-instruct,none,default,politicians
Joe Biden,499,1.0,25,36,Simplicity,1,0.16,-344.21464499701216,1,1.0,mistral-instruct,none,default,politicians
Elizabeth Warren,499,2.5,2,36,Simplicity,2,0.16,-50.59974418087606,1,0.5,mistral-instruct,none,default,politicians
Ronald Reagan,499,1.0,25,36,Simplicity,1,0.16,-362.7979688215781,1,1.0,mistral-instruct,none,default,politicians
Bernie Sanders,499,1.0,8,36,Simplicity,1,0.16,-119.0155402614021,1,1.0,mistral-instruct,none,default,politicians
George W. Bush,499,1.0,25,36,Simplicity,1,0.16,-364.2636697033552,1,1.0,mistral-instruct,none,default,politicians
Barack Obama,499,1.0,23,36,Simplicity,1,0.16,-322.8379592102788,1,1.0,mistral-instruct,none,default,politicians
Abraham Lincoln,499,1.0,25,36,Simplicity,1,0.16,-360.5024482606491,1,1.0,mistral-instruct,none,default,politicians
Richard Nixon,499,1.0,25,36,Simplicity,1,0.16,-353.84812291456615,1,1.0,mistral-instruct,none,default,politicians
a salmon,499,1.0,15,36,Simplicity,1,0.16,-232.52076369637444,1,1.0,mistral-instruct,none,default,animals
an eagle,499,1.0,25,36,Simplicity,1,0.16,-530.7926353558322,1,1.0,mistral-instruct,none,default,animals
a seal,499,3.9230769230769234,13,36,Simplicity,3,0.16,-268.2497421193342,1,0.727810650887574,mistral-instruct,none,default,animals
an ostrich,499,1.0,25,36,Simplicity,1,0.16,-474.9895200915191,1,1.0,mistral-instruct,none,default,animals
a whale,499,1.0,13,36,Simplicity,1,0.16,-232.87259839771988,1,1.0,mistral-instruct,none,default,animals
a chicken,499,2.0,6,36,Simplicity,2,0.16,-142.24458741610616,1,0.5555555555555556,mistral-instruct,none,default,animals
a penguin,499,1.0,23,36,Simplicity,1,0.16,-403.5259590132028,1,1.0,mistral-instruct,none,default,animals
a robin,499,1.0,25,36,Simplicity,1,0.16,-460.9335672676039,1,1.0,mistral-instruct,none,default,animals
a finch,499,1.0,17,36,Simplicity,1,0.16,-329.48357235754287,1,1.0,mistral-instruct,none,default,animals
a dolphin,499,1.0,12,36,Simplicity,1,0.16,-208.969744162986,1,1.0,mistral-instruct,none,default,animals
Hillary Clinton,499,1.0,46,36,Simplicity,1,0.16,-577.1400510044512,1,1.0,mistral-instruct,none,default,politicians
Donald Trump,499,1.0,32,36,Simplicity,1,0.16,-482.455165236572,1,1.0,mistral-instruct,none,default,politicians
Joe Biden,499,1.0,27,36,Simplicity,1,0.16,-372.3374865491887,1,1.0,mistral-instruct,none,default,politicians
Elizabeth Warren,499,2.5,2,36,Simplicity,2,0.16,-50.59974418087606,1,0.5,mistral-instruct,none,default,politicians
Ronald Reagan,499,1.0,36,36,Simplicity,1,0.16,-504.4257098123981,1,1.0,mistral-instruct,none,default,politicians
Bernie Sanders,499,1.0,8,36,Simplicity,1,0.16,-119.0155402614021,1,1.0,mistral-instruct,none,default,politicians
George W. Bush,499,1.0,29,36,Simplicity,1,0.16,-411.036806894942,1,1.0,mistral-instruct,none,default,politicians
Barack Obama,499,1.0,23,36,Simplicity,1,0.16,-322.8379592102788,1,1.0,mistral-instruct,none,default,politicians
Abraham Lincoln,499,1.0,50,36,Simplicity,1,0.16,-676.6449886775068,1,1.0,mistral-instruct,none,default,politicians
Richard Nixon,499,1.0,39,36,Simplicity,1,0.16,-524.2981456749293,1,1.0,mistral-instruct,none,default,politicians
a salmon,499,1.0,15,36,Simplicity,1,0.16,-232.52076369637444,1,1.0,mistral-instruct,none,default,animals
an eagle,499,1.0,25,36,Simplicity,1,0.16,-530.7926353558322,1,1.0,mistral-instruct,none,default,animals
a seal,499,3.9230769230769234,13,36,Simplicity,3,0.16,-268.2497421193342,1,0.727810650887574,mistral-instruct,none,default,animals
an ostrich,499,1.0,26,36,Simplicity,1,0.16,-489.7932458367196,1,1.0,mistral-instruct,none,default,animals
a whale,499,1.0,13,36,Simplicity,1,0.16,-232.87259839771988,1,1.0,mistral-instruct,none,default,animals
a chicken,499,2.0,6,36,Simplicity,2,0.16,-142.24458741610616,1,0.5555555555555556,mistral-instruct,none,default,animals
a penguin,499,1.0,23,36,Simplicity,1,0.16,-403.5259590132028,1,1.0,mistral-instruct,none,default,animals
a robin,499,1.0,25,36,Simplicity,1,0.16,-460.9335672676039,1,1.0,mistral-instruct,none,default,animals
a finch,499,1.0,17,36,Simplicity,1,0.16,-329.48357235754287,1,1.0,mistral-instruct,none,default,animals
a dolphin,499,1.0,12,36,Simplicity,1,0.16,-208.969744162986,1,1.0,mistral-instruct,none,default,animals
Hillary Clinton,499,1.0,46,36,Simplicity,1,0.16,-577.1400510044512,1,1.0,mistral-instruct,none,default,politicians
Donald Trump,499,1.0,32,36,Simplicity,1,0.16,-482.455165236572,1,1.0,mistral-instruct,none,default,politicians
