Concept,Iteration,S_Chao1,NumberOfPeople,NumberOfTrials,Prior,Tables,Alpha,Posterior,Chain,ProbabilityOfSameTable,model_name,prompt,temperature,concept_category
Hillary Clinton,499,2.0,25,36,Simplicity,2,0.16,-588.5921248717033,1,0.9232,openchat,none,default,politicians
Donald Trump,499,3.96,25,36,Simplicity,3,0.16,-585.0662906679393,1,0.8496000000000001,openchat,none,default,politicians
Joe Biden,499,3.96,25,36,Simplicity,3,0.16,-555.4286307446977,1,0.8496000000000001,openchat,none,default,politicians
Elizabeth Warren,499,1.0,25,36,Simplicity,1,0.16,-565.0948754628191,1,1.0,openchat,none,default,politicians
Ronald Reagan,499,2.0,25,36,Simplicity,2,0.16,-562.46662615413,1,0.9232,openchat,none,default,politicians
Bernie Sanders,499,6.88,25,36,Simplicity,4,0.16,-575.3519317638847,1,0.7792000000000001,openchat,none,default,politicians
George W. Bush,499,2.0,25,36,Simplicity,2,0.16,-590.5668446620995,1,0.9232,openchat,none,default,politicians
Barack Obama,499,2.0,25,36,Simplicity,2,0.16,-566.2653235751656,1,0.9232,openchat,none,default,politicians
Abraham Lincoln,499,1.0,25,36,Simplicity,1,0.16,-507.021550843885,1,1.0,openchat,none,default,politicians
Richard Nixon,499,2.0,25,36,Simplicity,2,0.16,-572.9364257739575,1,0.9232,openchat,none,default,politicians
a salmon,499,2.0,25,36,Simplicity,2,0.16,-436.61609313323225,1,0.9232,openchat,none,default,animals
an eagle,499,1.0,25,36,Simplicity,1,0.16,-505.8795330993285,1,1.0,openchat,none,default,animals
a seal,499,1.0,25,36,Simplicity,1,0.16,-431.3949862398795,1,1.0,openchat,none,default,animals
an ostrich,499,1.0,25,36,Simplicity,1,0.16,-361.2370413503882,1,1.0,openchat,none,default,animals
a whale,499,1.0,25,36,Simplicity,1,0.16,-291.73142608780705,1,1.0,openchat,none,default,animals
a chicken,499,1.0,25,36,Simplicity,1,0.16,-345.0949301500738,1,1.0,openchat,none,default,animals
a penguin,499,2.0,25,36,Simplicity,2,0.16,-406.529932794357,1,0.9232,openchat,none,default,animals
a robin,499,2.0,25,36,Simplicity,2,0.16,-373.67594976138514,1,0.9232,openchat,none,default,animals
a finch,499,2.0,25,36,Simplicity,2,0.16,-408.807712937794,1,0.9232,openchat,none,default,animals
a dolphin,499,1.0,25,36,Simplicity,1,0.16,-331.6398962075913,1,1.0,openchat,none,default,animals
Hillary Clinton,499,1.0,50,36,Simplicity,1,0.16,-1096.1540326313095,1,1.0,openchat,none,default,politicians
Donald Trump,499,1.0,50,36,Simplicity,1,0.16,-1143.1002195896608,1,1.0,openchat,none,default,politicians
Joe Biden,499,2.0,50,36,Simplicity,2,0.16,-1032.263092704903,1,0.9608,openchat,none,default,politicians
Elizabeth Warren,499,1.0,50,36,Simplicity,1,0.16,-1045.2781173833555,1,1.0,openchat,none,default,politicians
Ronald Reagan,499,3.98,50,36,Simplicity,3,0.16,-1092.8500998909517,1,0.9224,openchat,none,default,politicians
Bernie Sanders,499,1.0,50,36,Simplicity,1,0.16,-1088.9565459248458,1,1.0,openchat,none,default,politicians
George W. Bush,499,1.0,50,36,Simplicity,1,0.16,-1102.662431490593,1,1.0,openchat,none,default,politicians
Barack Obama,499,1.0,50,36,Simplicity,1,0.16,-1085.9256845914515,1,1.0,openchat,none,default,politicians
Abraham Lincoln,499,1.0,50,36,Simplicity,1,0.16,-960.5573552525108,1,1.0,openchat,none,default,politicians
Richard Nixon,499,1.0,50,36,Simplicity,1,0.16,-1072.6744965104526,1,1.0,openchat,none,default,politicians
a salmon,499,1.0,50,36,Simplicity,1,0.16,-837.9097074079294,1,1.0,openchat,none,default,animals
an eagle,499,1.0,50,36,Simplicity,1,0.16,-949.3440310517936,1,1.0,openchat,none,default,animals
a seal,499,1.0,50,36,Simplicity,1,0.16,-798.5903143685283,1,1.0,openchat,none,default,animals
an ostrich,499,1.0,50,36,Simplicity,1,0.16,-752.7913256461705,1,1.0,openchat,none,default,animals
a whale,499,1.0,50,36,Simplicity,1,0.16,-574.3816128878107,1,1.0,openchat,none,default,animals
a chicken,499,1.0,50,36,Simplicity,1,0.16,-655.8059143145399,1,1.0,openchat,none,default,animals
a penguin,499,1.0,50,36,Simplicity,1,0.16,-755.8526736886706,1,1.0,openchat,none,default,animals
a robin,499,1.0,50,36,Simplicity,1,0.16,-711.5539996990453,1,1.0,openchat,none,default,animals
a finch,499,1.0,50,36,Simplicity,1,0.16,-745.9178911909748,1,1.0,openchat,none,default,animals
a dolphin,499,1.0,50,36,Simplicity,1,0.16,-632.9409482298015,1,1.0,openchat,none,default,animals
Hillary Clinton,499,1.0,73,36,Simplicity,1,0.16,-1537.9595976828873,1,1.0,openchat,none,default,politicians
Donald Trump,499,1.0,58,36,Simplicity,1,0.16,-1312.8213895979698,1,1.0,openchat,none,default,politicians
Joe Biden,499,1.0,67,36,Simplicity,1,0.16,-1334.4445308784595,1,1.0,openchat,none,default,politicians
Elizabeth Warren,499,1.0,75,36,Simplicity,1,0.16,-1531.6246441825997,1,1.0,openchat,none,default,politicians
Ronald Reagan,499,3.986666666666667,75,36,Simplicity,3,0.16,-1591.658327930173,1,0.9477333333333336,openchat,none,default,politicians
Bernie Sanders,499,2.0,75,36,Simplicity,2,0.16,-1589.950225608878,1,0.973688888888889,openchat,none,default,politicians
George W. Bush,499,1.0,72,36,Simplicity,1,0.16,-1523.6697060709064,1,1.0,openchat,none,default,politicians
Barack Obama,499,1.0,61,36,Simplicity,1,0.16,-1300.324921311159,1,1.0,openchat,none,default,politicians
Abraham Lincoln,499,1.0,75,36,Simplicity,1,0.16,-1422.6385277694003,1,1.0,openchat,none,default,politicians
Richard Nixon,499,1.0,58,36,Simplicity,1,0.16,-1238.587198717346,1,1.0,openchat,none,default,politicians
a salmon,499,2.0,75,36,Simplicity,2,0.16,-1205.384620908717,1,0.973688888888889,openchat,none,default,animals
an eagle,499,1.0,75,36,Simplicity,1,0.16,-1398.771420906131,1,1.0,openchat,none,default,animals
a seal,499,1.0,75,36,Simplicity,1,0.16,-1150.562506960076,1,1.0,openchat,none,default,animals
an ostrich,499,1.0,75,36,Simplicity,1,0.16,-1075.0676138027063,1,1.0,openchat,none,default,animals
a whale,499,1.0,75,36,Simplicity,1,0.16,-863.9046253085875,1,1.0,openchat,none,default,animals
a chicken,499,1.0,75,36,Simplicity,1,0.16,-912.129332567118,1,1.0,openchat,none,default,animals
a penguin,499,1.0,75,36,Simplicity,1,0.16,-1083.30120656706,1,1.0,openchat,none,default,animals
a robin,499,1.0,74,36,Simplicity,1,0.16,-995.3831054261444,1,1.0,openchat,none,default,animals
a finch,499,1.0,75,36,Simplicity,1,0.16,-1141.153483266402,1,1.0,openchat,none,default,animals
a dolphin,499,1.0,75,36,Simplicity,1,0.16,-911.7470157769268,1,1.0,openchat,none,default,animals
Hillary Clinton,499,1.0,73,36,Simplicity,1,0.16,-1537.9595976828873,1,1.0,openchat,none,default,politicians
Donald Trump,499,1.0,58,36,Simplicity,1,0.16,-1312.8213895979698,1,1.0,openchat,none,default,politicians
Joe Biden,499,2.0,67,36,Simplicity,2,0.16,-1340.7410827292372,1,0.970594787257741,openchat,none,default,politicians
Elizabeth Warren,499,1.0,77,36,Simplicity,1,0.16,-1576.9429771358216,1,1.0,openchat,none,default,politicians
Ronald Reagan,499,6.961538461538462,78,36,Simplicity,4,0.16,-1662.4096648846378,1,0.9250493096646942,openchat,none,default,politicians
Bernie Sanders,499,2.0,93,36,Simplicity,2,0.16,-1951.625993488227,1,0.9787258642617644,openchat,none,default,politicians
George W. Bush,499,2.0,72,36,Simplicity,2,0.16,-1525.0950227831618,1,0.9726080246913582,openchat,none,default,politicians
Barack Obama,499,1.0,61,36,Simplicity,1,0.16,-1300.324921311159,1,1.0,openchat,none,default,politicians
Abraham Lincoln,499,1.0,82,36,Simplicity,1,0.16,-1551.0525764778563,1,1.0,openchat,none,default,politicians
Richard Nixon,499,1.0,58,36,Simplicity,1,0.16,-1238.587198717346,1,1.0,openchat,none,default,politicians
a salmon,499,1.0,84,36,Simplicity,1,0.16,-1344.6899809140752,1,1.0,openchat,none,default,animals
