ID,Table,Concept,model_name,prompt,temperature,concept_category
6,0,Bernie Sanders,openchat,none,default,politicians
13,0,Bernie Sanders,openchat,none,default,politicians
27,0,Bernie Sanders,openchat,none,default,politicians
31,0,Bernie Sanders,openchat,none,default,politicians
33,0,Bernie Sanders,openchat,none,default,politicians
50,0,Bernie Sanders,openchat,none,default,politicians
86,0,Bernie Sanders,openchat,none,default,politicians
89,0,Bernie Sanders,openchat,none,default,politicians
90,0,Bernie Sanders,openchat,none,default,politicians
106,0,Bernie Sanders,openchat,none,default,politicians
109,0,Bernie Sanders,openchat,none,default,politicians
113,0,Bernie Sanders,openchat,none,default,politicians
122,0,Bernie Sanders,openchat,none,default,politicians
132,0,Bernie Sanders,openchat,none,default,politicians
150,0,Bernie Sanders,openchat,none,default,politicians
157,0,Bernie Sanders,openchat,none,default,politicians
170,0,Bernie Sanders,openchat,none,default,politicians
184,0,Bernie Sanders,openchat,none,default,politicians
204,0,Bernie Sanders,openchat,none,default,politicians
207,0,Bernie Sanders,openchat,none,default,politicians
209,0,Bernie Sanders,openchat,none,default,politicians
210,0,Bernie Sanders,openchat,none,default,politicians
226,0,Bernie Sanders,openchat,none,default,politicians
239,0,Bernie Sanders,openchat,none,default,politicians
240,0,Bernie Sanders,openchat,none,default,politicians
241,0,Bernie Sanders,openchat,none,default,politicians
255,0,Bernie Sanders,openchat,none,default,politicians
257,0,Bernie Sanders,openchat,none,default,politicians
263,0,Bernie Sanders,openchat,none,default,politicians
274,0,Bernie Sanders,openchat,none,default,politicians
277,0,Bernie Sanders,openchat,none,default,politicians
283,0,Bernie Sanders,openchat,none,default,politicians
291,0,Bernie Sanders,openchat,none,default,politicians
293,0,Bernie Sanders,openchat,none,default,politicians
298,0,Bernie Sanders,openchat,none,default,politicians
304,0,Bernie Sanders,openchat,none,default,politicians
310,0,Bernie Sanders,openchat,none,default,politicians
316,0,Bernie Sanders,openchat,none,default,politicians
335,0,Bernie Sanders,openchat,none,default,politicians
346,0,Bernie Sanders,openchat,none,default,politicians
352,0,Bernie Sanders,openchat,none,default,politicians
373,0,Bernie Sanders,openchat,none,default,politicians
379,0,Bernie Sanders,openchat,none,default,politicians
382,0,Bernie Sanders,openchat,none,default,politicians
406,0,Bernie Sanders,openchat,none,default,politicians
408,0,Bernie Sanders,openchat,none,default,politicians
433,1,Bernie Sanders,openchat,none,default,politicians
446,0,Bernie Sanders,openchat,none,default,politicians
449,0,Bernie Sanders,openchat,none,default,politicians
451,0,Bernie Sanders,openchat,none,default,politicians
457,0,Bernie Sanders,openchat,none,default,politicians
459,0,Bernie Sanders,openchat,none,default,politicians
468,0,Bernie Sanders,openchat,none,default,politicians
485,0,Bernie Sanders,openchat,none,default,politicians
487,0,Bernie Sanders,openchat,none,default,politicians
499,0,Bernie Sanders,openchat,none,default,politicians
510,0,Bernie Sanders,openchat,none,default,politicians
514,0,Bernie Sanders,openchat,none,default,politicians
533,0,Bernie Sanders,openchat,none,default,politicians
551,0,Bernie Sanders,openchat,none,default,politicians
