Concept,Iteration,S_Chao1,NumberOfPeople,NumberOfTrials,Prior,Tables,Alpha,Posterior,Chain,ProbabilityOfSameTable,model_name,prompt,temperature,concept_category
a salmon,499,1.0,25,36,Simplicity,1,0.16,-388.606488251671,1,1.0,starling,none,default,animals
an eagle,499,1.0,25,36,Simplicity,1,0.16,-451.17142520468167,1,1.0,starling,none,default,animals
a seal,499,1.0,25,36,Simplicity,1,0.16,-425.5348126925371,1,1.0,starling,none,default,animals
an ostrich,499,1.0,25,36,Simplicity,1,0.16,-349.84873532592644,1,1.0,starling,none,default,animals
a whale,499,1.0,25,36,Simplicity,1,0.16,-312.81507943111245,1,1.0,starling,none,default,animals
a chicken,499,1.0,25,36,Simplicity,1,0.16,-341.91305190967137,1,1.0,starling,none,default,animals
a penguin,499,1.0,25,36,Simplicity,1,0.16,-349.5395270199672,1,1.0,starling,none,default,animals
a robin,499,1.0,25,36,Simplicity,1,0.16,-279.50291378400806,1,1.0,starling,none,default,animals
a finch,499,1.0,25,36,Simplicity,1,0.16,-364.0142177454872,1,1.0,starling,none,default,animals
a dolphin,499,1.0,25,36,Simplicity,1,0.16,-324.14464066407857,1,1.0,starling,none,default,animals
Hillary Clinton,499,2.0,25,36,Simplicity,2,0.16,-541.342443389789,1,0.9232,starling,none,default,politicians
Donald Trump,499,1.0,25,36,Simplicity,1,0.16,-609.1040436283467,1,1.0,starling,none,default,politicians
Joe Biden,499,1.0,25,36,Simplicity,1,0.16,-423.6604984028538,1,1.0,starling,none,default,politicians
Elizabeth Warren,499,1.0,25,36,Simplicity,1,0.16,-482.7276092041885,1,1.0,starling,none,default,politicians
Ronald Reagan,499,10.76,25,36,Simplicity,5,0.16,-570.6034211195434,1,0.7120000000000001,starling,none,default,politicians
Bernie Sanders,499,2.0,25,36,Simplicity,2,0.16,-549.8528671513224,1,0.9232,starling,none,default,politicians
George W. Bush,499,2.0,25,36,Simplicity,2,0.16,-562.1661452123551,1,0.9232,starling,none,default,politicians
Barack Obama,499,1.0,25,36,Simplicity,1,0.16,-466.1337541102293,1,1.0,starling,none,default,politicians
Abraham Lincoln,499,1.0,25,36,Simplicity,1,0.16,-514.2796765502272,1,1.0,starling,none,default,politicians
Richard Nixon,499,2.0,25,36,Simplicity,2,0.16,-559.8967625477761,1,0.9232,starling,none,default,politicians
a salmon,499,1.0,50,36,Simplicity,1,0.16,-773.3341455252845,1,1.0,starling,none,default,animals
an eagle,499,1.0,50,36,Simplicity,1,0.16,-862.188350552577,1,1.0,starling,none,default,animals
a seal,499,1.0,50,36,Simplicity,1,0.16,-800.6319990048546,1,1.0,starling,none,default,animals
an ostrich,499,1.0,50,36,Simplicity,1,0.16,-643.5652895319269,1,1.0,starling,none,default,animals
a whale,499,1.0,50,36,Simplicity,1,0.16,-576.0351764243527,1,1.0,starling,none,default,animals
a chicken,499,1.0,50,36,Simplicity,1,0.16,-584.5902185721756,1,1.0,starling,none,default,animals
a penguin,499,2.0,50,36,Simplicity,2,0.16,-681.1515386054582,1,0.9608,starling,none,default,animals
a robin,499,1.0,50,36,Simplicity,1,0.16,-568.1819858997336,1,1.0,starling,none,default,animals
a finch,499,1.0,50,36,Simplicity,1,0.16,-642.980241377741,1,1.0,starling,none,default,animals
a dolphin,499,1.0,50,36,Simplicity,1,0.16,-599.1001571806942,1,1.0,starling,none,default,animals
Hillary Clinton,499,2.0,50,36,Simplicity,2,0.16,-1032.6798388083787,1,0.9608,starling,none,default,politicians
Donald Trump,499,1.0,50,36,Simplicity,1,0.16,-1114.0886676746466,1,1.0,starling,none,default,politicians
Joe Biden,499,1.0,50,36,Simplicity,1,0.16,-844.9172095496325,1,1.0,starling,none,default,politicians
Elizabeth Warren,499,1.0,50,36,Simplicity,1,0.16,-926.2927706087432,1,1.0,starling,none,default,politicians
Ronald Reagan,499,2.0,50,36,Simplicity,2,0.16,-1071.495545471611,1,0.9608,starling,none,default,politicians
Bernie Sanders,499,1.0,50,36,Simplicity,1,0.16,-1041.3804532632278,1,1.0,starling,none,default,politicians
George W. Bush,499,2.0,50,36,Simplicity,2,0.16,-1018.131108653022,1,0.9608,starling,none,default,politicians
Barack Obama,499,2.0,50,36,Simplicity,2,0.16,-898.9785508397343,1,0.9608,starling,none,default,politicians
Abraham Lincoln,499,1.0,50,36,Simplicity,1,0.16,-954.234141336822,1,1.0,starling,none,default,politicians
Richard Nixon,499,2.0,50,36,Simplicity,2,0.16,-1034.1659114108725,1,0.9608,starling,none,default,politicians
a salmon,499,1.0,75,36,Simplicity,1,0.16,-1095.96988846054,1,1.0,starling,none,default,animals
an eagle,499,1.0,75,36,Simplicity,1,0.16,-1282.2934825539242,1,1.0,starling,none,default,animals
a seal,499,1.0,75,36,Simplicity,1,0.16,-1164.2554950330937,1,1.0,starling,none,default,animals
an ostrich,499,1.0,75,36,Simplicity,1,0.16,-940.8697814665924,1,1.0,starling,none,default,animals
a whale,499,1.0,75,36,Simplicity,1,0.16,-844.6695349163998,1,1.0,starling,none,default,animals
a chicken,499,1.0,75,36,Simplicity,1,0.16,-826.794401786157,1,1.0,starling,none,default,animals
a penguin,499,2.0,75,36,Simplicity,2,0.16,-945.628406656885,1,0.973688888888889,starling,none,default,animals
a robin,499,1.0,75,36,Simplicity,1,0.16,-805.5736251254007,1,1.0,starling,none,default,animals
a finch,499,1.0,75,36,Simplicity,1,0.16,-968.265878597224,1,1.0,starling,none,default,animals
a dolphin,499,1.0,75,36,Simplicity,1,0.16,-898.1993815192432,1,1.0,starling,none,default,animals
Hillary Clinton,499,2.0,74,36,Simplicity,2,0.16,-1494.1432213067617,1,0.973338203067933,starling,none,default,politicians
Donald Trump,499,1.0,72,36,Simplicity,1,0.16,-1563.1160304442606,1,1.0,starling,none,default,politicians
Joe Biden,499,1.0,75,36,Simplicity,1,0.16,-1243.4254321399849,1,1.0,starling,none,default,politicians
Elizabeth Warren,499,2.0,75,36,Simplicity,2,0.16,-1373.656466450116,1,0.973688888888889,starling,none,default,politicians
Ronald Reagan,499,1.0,75,36,Simplicity,1,0.16,-1556.634748774189,1,1.0,starling,none,default,politicians
