Concept,Iteration,S_Chao1,NumberOfPeople,NumberOfTrials,Prior,Tables,Alpha,Posterior,Chain,ProbabilityOfSameTable,model_name,prompt,temperature,concept_category
Hillary Clinton,499,1.0,25,36,Simplicity,1,0.16,-591.2667104419937,1,1.0,tulu,none,default,politicians
Donald Trump,499,15.073717948717947,13,36,Simplicity,7,0.16,-333.8999544618695,1,0.1952662721893491,tulu,none,default,politicians
Joe Biden,499,6.88,25,36,Simplicity,4,0.16,-533.9186828570546,1,0.7792000000000001,tulu,none,default,politicians
Elizabeth Warren,499,1.0,25,36,Simplicity,1,0.16,-567.6447673364594,1,1.0,tulu,none,default,politicians
Ronald Reagan,499,2.0,25,36,Simplicity,2,0.16,-600.2573461742919,1,0.9232,tulu,none,default,politicians
Bernie Sanders,499,1.0,25,36,Simplicity,1,0.16,-575.1150586451588,1,1.0,tulu,none,default,politicians
George W. Bush,499,2.0,25,36,Simplicity,2,0.16,-626.1585092290429,1,0.9232,tulu,none,default,politicians
Barack Obama,499,2.0,25,36,Simplicity,2,0.16,-597.222156296355,1,0.9232,tulu,none,default,politicians
Abraham Lincoln,499,1.0,25,36,Simplicity,1,0.16,-585.6076407147065,1,1.0,tulu,none,default,politicians
Richard Nixon,499,1.0,24,36,Simplicity,1,0.16,-581.4351672128539,1,1.0,tulu,none,default,politicians
a salmon,499,3.9230769230769234,13,36,Simplicity,3,0.16,-340.8356234098252,1,0.727810650887574,tulu,none,default,animals
an eagle,499,3.941176470588236,17,36,Simplicity,3,0.16,-425.7967112231164,1,0.7854671280276817,tulu,none,default,animals
a seal,499,13.0,5,36,Simplicity,5,0.16,-129.55398424357233,1,0.2,tulu,none,default,animals
an ostrich,499,31.058823529411764,17,36,Simplicity,12,0.16,-439.56018996983454,1,0.1141868512110726,tulu,none,default,animals
a whale,499,10.6,15,36,Simplicity,5,0.16,-387.7499827293785,1,0.5555555555555556,tulu,none,default,animals
a chicken,499,7.6,5,36,Simplicity,4,0.16,-123.11931835876057,1,0.28,tulu,none,default,animals
a penguin,499,10.714285714285715,14,36,Simplicity,7,0.16,-368.8685879518866,1,0.2448979591836734,tulu,none,default,animals
a robin,499,2.0,11,36,Simplicity,2,0.16,-273.8137337996183,1,0.8347107438016528,tulu,none,default,animals
a finch,499,2.0,25,36,Simplicity,2,0.16,-613.2732203100501,1,0.9232,tulu,none,default,animals
a dolphin,499,24.666666666666664,12,36,Simplicity,10,0.16,-314.4814706034013,1,0.1111111111111111,tulu,none,default,animals
Hillary Clinton,499,1.0,32,36,Simplicity,1,0.16,-732.4529194932728,1,1.0,tulu,none,default,politicians
Donald Trump,499,15.073717948717947,13,36,Simplicity,7,0.16,-333.8999544618695,1,0.1952662721893491,tulu,none,default,politicians
Joe Biden,499,1.0,29,36,Simplicity,1,0.16,-612.6389605698236,1,1.0,tulu,none,default,politicians
Elizabeth Warren,499,2.0,37,36,Simplicity,2,0.16,-804.5689085528085,1,0.9474068663257852,tulu,none,default,politicians
Ronald Reagan,499,1.0,42,36,Simplicity,1,0.16,-973.7186574694276,1,1.0,tulu,none,default,politicians
Bernie Sanders,499,1.0,29,36,Simplicity,1,0.16,-653.5061982212914,1,1.0,tulu,none,default,politicians
George W. Bush,499,1.0,36,36,Simplicity,1,0.16,-891.3088996134511,1,1.0,tulu,none,default,politicians
Barack Obama,499,1.0,29,36,Simplicity,1,0.16,-689.1268428115272,1,1.0,tulu,none,default,politicians
Abraham Lincoln,499,1.0,50,36,Simplicity,1,0.16,-1120.0279903881494,1,1.0,tulu,none,default,politicians
Richard Nixon,499,1.0,24,36,Simplicity,1,0.16,-581.4351672128539,1,1.0,tulu,none,default,politicians
a salmon,499,3.9230769230769234,13,36,Simplicity,3,0.16,-340.8356234098252,1,0.727810650887574,tulu,none,default,animals
an eagle,499,3.941176470588236,17,36,Simplicity,3,0.16,-425.7967112231164,1,0.7854671280276817,tulu,none,default,animals
a seal,499,13.0,5,36,Simplicity,5,0.16,-129.55398424357233,1,0.2,tulu,none,default,animals
an ostrich,499,31.058823529411764,17,36,Simplicity,12,0.16,-439.56018996983454,1,0.1141868512110726,tulu,none,default,animals
a whale,499,10.6,15,36,Simplicity,5,0.16,-387.7499827293785,1,0.5555555555555556,tulu,none,default,animals
a chicken,499,7.6,5,36,Simplicity,4,0.16,-123.11931835876057,1,0.28,tulu,none,default,animals
a penguin,499,10.714285714285715,14,36,Simplicity,7,0.16,-368.8685879518866,1,0.2448979591836734,tulu,none,default,animals
a robin,499,2.0,11,36,Simplicity,2,0.16,-273.8137337996183,1,0.8347107438016528,tulu,none,default,animals
a finch,499,2.0,25,36,Simplicity,2,0.16,-613.2732203100501,1,0.9232,tulu,none,default,animals
a dolphin,499,24.666666666666664,12,36,Simplicity,10,0.16,-314.4814706034013,1,0.1111111111111111,tulu,none,default,animals
Hillary Clinton,499,1.0,32,36,Simplicity,1,0.16,-732.4529194932728,1,1.0,tulu,none,default,politicians
Donald Trump,499,15.073717948717947,13,36,Simplicity,7,0.16,-333.8999544618695,1,0.1952662721893491,tulu,none,default,politicians
Joe Biden,499,1.0,29,36,Simplicity,1,0.16,-612.6389605698236,1,1.0,tulu,none,default,politicians
Elizabeth Warren,499,2.0,37,36,Simplicity,2,0.16,-804.5689085528085,1,0.9474068663257852,tulu,none,default,politicians
Ronald Reagan,499,1.0,42,36,Simplicity,1,0.16,-973.7186574694276,1,1.0,tulu,none,default,politicians
Bernie Sanders,499,1.0,29,36,Simplicity,1,0.16,-653.5061982212914,1,1.0,tulu,none,default,politicians
George W. Bush,499,1.0,36,36,Simplicity,1,0.16,-891.3088996134511,1,1.0,tulu,none,default,politicians
Barack Obama,499,1.0,29,36,Simplicity,1,0.16,-689.1268428115272,1,1.0,tulu,none,default,politicians
Abraham Lincoln,499,2.0,54,36,Simplicity,2,0.16,-1211.9177354322142,1,0.9636488340192044,tulu,none,default,politicians
Richard Nixon,499,1.0,24,36,Simplicity,1,0.16,-581.4351672128539,1,1.0,tulu,none,default,politicians
a salmon,499,3.9230769230769234,13,36,Simplicity,3,0.16,-340.8356234098252,1,0.727810650887574,tulu,none,default,animals
an eagle,499,3.941176470588236,17,36,Simplicity,3,0.16,-425.7967112231164,1,0.7854671280276817,tulu,none,default,animals
a seal,499,13.0,5,36,Simplicity,5,0.16,-129.55398424357233,1,0.2,tulu,none,default,animals
an ostrich,499,31.058823529411764,17,36,Simplicity,12,0.16,-439.56018996983454,1,0.1141868512110726,tulu,none,default,animals
a whale,499,10.6,15,36,Simplicity,5,0.16,-387.7499827293785,1,0.5555555555555556,tulu,none,default,animals
a chicken,499,7.6,5,36,Simplicity,4,0.16,-123.11931835876057,1,0.28,tulu,none,default,animals
a penguin,499,10.714285714285715,14,36,Simplicity,7,0.16,-368.8685879518866,1,0.2448979591836734,tulu,none,default,animals
a robin,499,2.0,11,36,Simplicity,2,0.16,-273.8137337996183,1,0.8347107438016528,tulu,none,default,animals
a finch,499,2.0,25,36,Simplicity,2,0.16,-613.2732203100501,1,0.9232,tulu,none,default,animals
a dolphin,499,24.666666666666664,12,36,Simplicity,10,0.16,-314.4814706034013,1,0.1111111111111111,tulu,none,default,animals
Hillary Clinton,499,1.0,32,36,Simplicity,1,0.16,-732.4529194932728,1,1.0,tulu,none,default,politicians
Donald Trump,499,15.073717948717947,13,36,Simplicity,7,0.16,-333.8999544618695,1,0.1952662721893491,tulu,none,default,politicians
Joe Biden,499,1.0,29,36,Simplicity,1,0.16,-612.6389605698236,1,1.0,tulu,none,default,politicians
Elizabeth Warren,499,2.0,37,36,Simplicity,2,0.16,-804.5689085528085,1,0.9474068663257852,tulu,none,default,politicians
Ronald Reagan,499,1.0,42,36,Simplicity,1,0.16,-973.7186574694276,1,1.0,tulu,none,default,politicians
Bernie Sanders,499,1.0,29,36,Simplicity,1,0.16,-653.5061982212914,1,1.0,tulu,none,default,politicians
George W. Bush,499,6.916666666666666,36,36,Simplicity,4,0.16,-890.7276058421768,1,0.8425925925925923,tulu,none,default,politicians
Barack Obama,499,1.0,29,36,Simplicity,1,0.16,-689.1268428115272,1,1.0,tulu,none,default,politicians
Abraham Lincoln,499,1.0,54,36,Simplicity,1,0.16,-1206.8045411810515,1,1.0,tulu,none,default,politicians
Richard Nixon,499,2.0,24,36,Simplicity,2,0.16,-581.216227602133,1,0.9201388888888892,tulu,none,default,politicians
a salmon,499,15.230769230769232,13,36,Simplicity,6,0.16,-348.9054782667327,1,0.408284023668639,tulu,none,default,animals
an eagle,499,3.941176470588236,17,36,Simplicity,3,0.16,-424.4015170679592,1,0.7854671280276817,tulu,none,default,animals
a seal,499,13.0,5,36,Simplicity,5,0.16,-129.55398424357233,1,0.2,tulu,none,default,animals
an ostrich,499,2.0,17,36,Simplicity,2,0.16,-439.7080024760953,1,0.8892733564013842,tulu,none,default,animals
a whale,499,3.9333333333333336,15,36,Simplicity,3,0.16,-385.09081673429466,1,0.7600000000000001,tulu,none,default,animals
a chicken,499,7.6,5,36,Simplicity,4,0.16,-123.11931835876057,1,0.28,tulu,none,default,animals
a penguin,499,18.607142857142858,14,36,Simplicity,7,0.16,-365.0976919477456,1,0.2959183673469388,tulu,none,default,animals
a robin,499,12.18181818181818,11,36,Simplicity,6,0.16,-275.6910818293632,1,0.2396694214876032,tulu,none,default,animals
a finch,499,6.88,25,36,Simplicity,4,0.16,-620.3944226374941,1,0.7792000000000001,tulu,none,default,animals
a dolphin,499,14.5,12,36,Simplicity,9,0.16,-312.0088076563227,1,0.125,tulu,none,default,animals
a salmon,499,2.0,12,36,Simplicity,2,0.16,-274.412577489241,1,0.8472222222222221,tulu,random,default,animals
an eagle,499,3.8333333333333335,6,36,Simplicity,3,0.16,-129.91741972558228,1,0.5,tulu,random,default,animals
a seal,499,2.5,2,36,Simplicity,2,0.16,-50.59974418087606,1,0.5,tulu,random,default,animals
an ostrich,499,2.0,13,36,Simplicity,2,0.16,-291.04101226178994,1,0.7396449704142012,tulu,random,default,animals
a whale,499,7.6,5,36,Simplicity,4,0.16,-127.08132129649374,1,0.28,tulu,random,default,animals
a chicken,499,4.5,4,36,Simplicity,3,0.16,-104.48058782163474,1,0.375,tulu,random,default,animals
a penguin,499,2.5,2,36,Simplicity,2,0.16,-50.59974418087606,1,0.5,tulu,random,default,animals
a robin,499,3.857142857142857,7,36,Simplicity,3,0.16,-177.78162418191678,1,0.5510204081632654,tulu,random,default,animals
a finch,499,2.0,7,36,Simplicity,2,0.16,-171.02686140001825,1,0.7551020408163265,tulu,random,default,animals
a dolphin,499,1.0,2,36,Simplicity,1,0.16,-50.10808270266405,1,1.0,tulu,random,default,animals
Hillary Clinton,499,6.88,25,36,Simplicity,4,0.16,-578.9769755005217,1,0.7792000000000001,tulu,random,default,politicians
Donald Trump,499,1.0,25,36,Simplicity,1,0.16,-617.5510903850197,1,1.0,tulu,random,default,politicians
Joe Biden,499,1.0,25,36,Simplicity,1,0.16,-572.4594887398312,1,1.0,tulu,random,default,politicians
Elizabeth Warren,499,3.96,25,36,Simplicity,3,0.16,-595.3116884781647,1,0.8496000000000001,tulu,random,default,politicians
Ronald Reagan,499,2.0,25,36,Simplicity,2,0.16,-574.6526794846998,1,0.9232,tulu,random,default,politicians
Bernie Sanders,499,6.88,25,36,Simplicity,4,0.16,-595.8977916944422,1,0.7792000000000001,tulu,random,default,politicians
George W. Bush,499,6.88,25,36,Simplicity,4,0.16,-613.4594297102419,1,0.7792000000000001,tulu,random,default,politicians
Barack Obama,499,3.48,25,36,Simplicity,3,0.16,-589.5433310371108,1,0.7824,tulu,random,default,politicians
Abraham Lincoln,499,1.0,25,36,Simplicity,1,0.16,-544.2749478246292,1,1.0,tulu,random,default,politicians
Richard Nixon,499,1.0,25,36,Simplicity,1,0.16,-564.2527927069821,1,1.0,tulu,random,default,politicians
a salmon,499,2.0,12,36,Simplicity,2,0.16,-274.412577489241,1,0.8472222222222221,tulu,random,default,animals
an eagle,499,3.8333333333333335,6,36,Simplicity,3,0.16,-129.91741972558228,1,0.5,tulu,random,default,animals
a seal,499,2.5,2,36,Simplicity,2,0.16,-50.59974418087606,1,0.5,tulu,random,default,animals
an ostrich,499,2.0,13,36,Simplicity,2,0.16,-291.04101226178994,1,0.7396449704142012,tulu,random,default,animals
