Concept,Iteration,S_Chao1,NumberOfPeople,NumberOfTrials,Prior,Tables,Alpha,Posterior,Chain,ProbabilityOfSameTable,model_name,prompt,temperature,concept_category
Hillary Clinton,499,1.0,25,36,Simplicity,1,0.16,-421.8293272990426,1,1.0,tulu-dpo,none,default,politicians
Donald Trump,499,1.0,25,36,Simplicity,1,0.16,-466.57590277051946,1,1.0,tulu-dpo,none,default,politicians
Joe Biden,499,1.0,25,36,Simplicity,1,0.16,-387.9159839728083,1,1.0,tulu-dpo,none,default,politicians
Elizabeth Warren,499,1.0,25,36,Simplicity,1,0.16,-371.1744992521401,1,1.0,tulu-dpo,none,default,politicians
Ronald Reagan,499,1.0,25,36,Simplicity,1,0.16,-350.87361546924615,1,1.0,tulu-dpo,none,default,politicians
Bernie Sanders,499,1.0,25,36,Simplicity,1,0.16,-345.7019022648227,1,1.0,tulu-dpo,none,default,politicians
George W. Bush,499,1.0,25,36,Simplicity,1,0.16,-349.01721053833126,1,1.0,tulu-dpo,none,default,politicians
Barack Obama,499,1.0,25,36,Simplicity,1,0.16,-409.2036967052764,1,1.0,tulu-dpo,none,default,politicians
Abraham Lincoln,499,1.0,25,36,Simplicity,1,0.16,-401.9394193935369,1,1.0,tulu-dpo,none,default,politicians
Richard Nixon,499,1.0,25,36,Simplicity,1,0.16,-386.54237691410384,1,1.0,tulu-dpo,none,default,politicians
a salmon,499,1.0,25,36,Simplicity,1,0.16,-534.0101114381998,1,1.0,tulu-dpo,none,default,animals
an eagle,499,1.0,25,36,Simplicity,1,0.16,-369.68571876811353,1,1.0,tulu-dpo,none,default,animals
a seal,499,1.0,25,36,Simplicity,1,0.16,-532.5886128623127,1,1.0,tulu-dpo,none,default,animals
an ostrich,499,1.0,25,36,Simplicity,1,0.16,-441.1376746915629,1,1.0,tulu-dpo,none,default,animals
a whale,499,2.0,25,36,Simplicity,2,0.16,-558.0882447101473,1,0.9232,tulu-dpo,none,default,animals
a chicken,499,1.0,25,36,Simplicity,1,0.16,-425.6824243888636,1,1.0,tulu-dpo,none,default,animals
a penguin,499,1.0,25,36,Simplicity,1,0.16,-522.2091808022174,1,1.0,tulu-dpo,none,default,animals
a robin,499,1.0,25,36,Simplicity,1,0.16,-416.7523266279724,1,1.0,tulu-dpo,none,default,animals
a finch,499,1.0,25,36,Simplicity,1,0.16,-497.5826380231533,1,1.0,tulu-dpo,none,default,animals
a dolphin,499,1.0,25,36,Simplicity,1,0.16,-597.9451719409057,1,1.0,tulu-dpo,none,default,animals
Hillary Clinton,499,1.0,50,36,Simplicity,1,0.16,-782.8259169922542,1,1.0,tulu-dpo,none,default,politicians
Donald Trump,499,1.0,50,36,Simplicity,1,0.16,-842.38538075743,1,1.0,tulu-dpo,none,default,politicians
Joe Biden,499,1.0,50,36,Simplicity,1,0.16,-700.2863064063782,1,1.0,tulu-dpo,none,default,politicians
Elizabeth Warren,499,1.0,50,36,Simplicity,1,0.16,-712.1027868452786,1,1.0,tulu-dpo,none,default,politicians
Ronald Reagan,499,1.0,50,36,Simplicity,1,0.16,-663.2196162754276,1,1.0,tulu-dpo,none,default,politicians
Bernie Sanders,499,1.0,50,36,Simplicity,1,0.16,-648.5956820473544,1,1.0,tulu-dpo,none,default,politicians
George W. Bush,499,1.0,50,36,Simplicity,1,0.16,-636.768980977342,1,1.0,tulu-dpo,none,default,politicians
Barack Obama,499,1.0,50,36,Simplicity,1,0.16,-763.5671520169095,1,1.0,tulu-dpo,none,default,politicians
Abraham Lincoln,499,1.0,50,36,Simplicity,1,0.16,-770.0789630004832,1,1.0,tulu-dpo,none,default,politicians
Richard Nixon,499,1.0,50,36,Simplicity,1,0.16,-706.8291081160436,1,1.0,tulu-dpo,none,default,politicians
a salmon,499,1.0,50,36,Simplicity,1,0.16,-1043.1981019484267,1,1.0,tulu-dpo,none,default,animals
an eagle,499,1.0,50,36,Simplicity,1,0.16,-704.4318909304909,1,1.0,tulu-dpo,none,default,animals
a seal,499,1.0,50,36,Simplicity,1,0.16,-974.6983560239444,1,1.0,tulu-dpo,none,default,animals
an ostrich,499,1.0,50,36,Simplicity,1,0.16,-852.2253362828905,1,1.0,tulu-dpo,none,default,animals
a whale,499,1.0,50,36,Simplicity,1,0.16,-1056.3554367212428,1,1.0,tulu-dpo,none,default,animals
a chicken,499,1.0,50,36,Simplicity,1,0.16,-806.9997025622101,1,1.0,tulu-dpo,none,default,animals
a penguin,499,1.0,50,36,Simplicity,1,0.16,-991.9593447428676,1,1.0,tulu-dpo,none,default,animals
a robin,499,1.0,50,36,Simplicity,1,0.16,-821.6882133372212,1,1.0,tulu-dpo,none,default,animals
a finch,499,1.0,50,36,Simplicity,1,0.16,-923.6186110996994,1,1.0,tulu-dpo,none,default,animals
a dolphin,499,2.0,50,36,Simplicity,2,0.16,-1136.030845812493,1,0.9608,tulu-dpo,none,default,animals
Hillary Clinton,499,2.0,75,36,Simplicity,2,0.16,-1122.3972328913194,1,0.973688888888889,tulu-dpo,none,default,politicians
Donald Trump,499,1.0,71,36,Simplicity,1,0.16,-1163.9002286633122,1,1.0,tulu-dpo,none,default,politicians
Joe Biden,499,1.0,75,36,Simplicity,1,0.16,-1029.8771785859471,1,1.0,tulu-dpo,none,default,politicians
Elizabeth Warren,499,1.0,75,36,Simplicity,1,0.16,-1063.964694706607,1,1.0,tulu-dpo,none,default,politicians
Ronald Reagan,499,1.0,75,36,Simplicity,1,0.16,-972.780795029996,1,1.0,tulu-dpo,none,default,politicians
Bernie Sanders,499,1.0,75,36,Simplicity,1,0.16,-946.3069537790068,1,1.0,tulu-dpo,none,default,politicians
