ID,Table,Concept,model_name,prompt,temperature,concept_category
25,0,a finch,zephyr-gemma,identity,default,animals
51,0,a finch,zephyr-gemma,identity,default,animals
78,0,a finch,zephyr-gemma,identity,default,animals
83,0,a finch,zephyr-gemma,identity,default,animals
87,0,a finch,zephyr-gemma,identity,default,animals
91,0,a finch,zephyr-gemma,identity,default,animals
110,0,a finch,zephyr-gemma,identity,default,animals
114,0,a finch,zephyr-gemma,identity,default,animals
124,0,a finch,zephyr-gemma,identity,default,animals
145,0,a finch,zephyr-gemma,identity,default,animals
156,0,a finch,zephyr-gemma,identity,default,animals
164,0,a finch,zephyr-gemma,identity,default,animals
165,0,a finch,zephyr-gemma,identity,default,animals
171,0,a finch,zephyr-gemma,identity,default,animals
175,0,a finch,zephyr-gemma,identity,default,animals
176,0,a finch,zephyr-gemma,identity,default,animals
183,0,a finch,zephyr-gemma,identity,default,animals
193,0,a finch,zephyr-gemma,identity,default,animals
215,0,a finch,zephyr-gemma,identity,default,animals
220,0,a finch,zephyr-gemma,identity,default,animals
233,0,a finch,zephyr-gemma,identity,default,animals
246,0,a finch,zephyr-gemma,identity,default,animals
249,0,a finch,zephyr-gemma,identity,default,animals
266,0,a finch,zephyr-gemma,identity,default,animals
268,0,a finch,zephyr-gemma,identity,default,animals
275,0,a finch,zephyr-gemma,identity,default,animals
276,0,a finch,zephyr-gemma,identity,default,animals
289,0,a finch,zephyr-gemma,identity,default,animals
302,0,a finch,zephyr-gemma,identity,default,animals
305,0,a finch,zephyr-gemma,identity,default,animals
309,0,a finch,zephyr-gemma,identity,default,animals
326,0,a finch,zephyr-gemma,identity,default,animals
328,0,a finch,zephyr-gemma,identity,default,animals
344,0,a finch,zephyr-gemma,identity,default,animals
359,0,a finch,zephyr-gemma,identity,default,animals
365,0,a finch,zephyr-gemma,identity,default,animals
392,0,a finch,zephyr-gemma,identity,default,animals
395,0,a finch,zephyr-gemma,identity,default,animals
401,0,a finch,zephyr-gemma,identity,default,animals
421,0,a finch,zephyr-gemma,identity,default,animals
435,0,a finch,zephyr-gemma,identity,default,animals
442,0,a finch,zephyr-gemma,identity,default,animals
447,0,a finch,zephyr-gemma,identity,default,animals
448,0,a finch,zephyr-gemma,identity,default,animals
452,0,a finch,zephyr-gemma,identity,default,animals
453,0,a finch,zephyr-gemma,identity,default,animals
461,0,a finch,zephyr-gemma,identity,default,animals
486,0,a finch,zephyr-gemma,identity,default,animals
490,0,a finch,zephyr-gemma,identity,default,animals
495,0,a finch,zephyr-gemma,identity,default,animals
502,0,a finch,zephyr-gemma,identity,default,animals
507,0,a finch,zephyr-gemma,identity,default,animals
539,0,a finch,zephyr-gemma,identity,default,animals
576,0,a finch,zephyr-gemma,identity,default,animals
579,0,a finch,zephyr-gemma,identity,default,animals
598,0,a finch,zephyr-gemma,identity,default,animals
599,0,a finch,zephyr-gemma,identity,default,animals
622,0,a finch,zephyr-gemma,identity,default,animals
624,0,a finch,zephyr-gemma,identity,default,animals
640,0,a finch,zephyr-gemma,identity,default,animals
642,0,a finch,zephyr-gemma,identity,default,animals
644,0,a finch,zephyr-gemma,identity,default,animals
658,0,a finch,zephyr-gemma,identity,default,animals
671,0,a finch,zephyr-gemma,identity,default,animals
674,0,a finch,zephyr-gemma,identity,default,animals
677,0,a finch,zephyr-gemma,identity,default,animals
678,0,a finch,zephyr-gemma,identity,default,animals
690,0,a finch,zephyr-gemma,identity,default,animals
694,0,a finch,zephyr-gemma,identity,default,animals
712,0,a finch,zephyr-gemma,identity,default,animals
717,0,a finch,zephyr-gemma,identity,default,animals
722,0,a finch,zephyr-gemma,identity,default,animals
756,0,a finch,zephyr-gemma,identity,default,animals
761,0,a finch,zephyr-gemma,identity,default,animals
769,0,a finch,zephyr-gemma,identity,default,animals
800,0,a finch,zephyr-gemma,identity,default,animals
818,0,a finch,zephyr-gemma,identity,default,animals
831,0,a finch,zephyr-gemma,identity,default,animals
855,0,a finch,zephyr-gemma,identity,default,animals
871,0,a finch,zephyr-gemma,identity,default,animals
873,0,a finch,zephyr-gemma,identity,default,animals
874,0,a finch,zephyr-gemma,identity,default,animals
880,0,a finch,zephyr-gemma,identity,default,animals
892,0,a finch,zephyr-gemma,identity,default,animals
895,0,a finch,zephyr-gemma,identity,default,animals
