Concept,Iteration,S_Chao1,NumberOfPeople,NumberOfTrials,Prior,Tables,Alpha,Posterior,Chain,ProbabilityOfSameTable,model_name,prompt,temperature,concept_category
Hillary Clinton,499,1.0,19,36,Simplicity,1,0.16,-204.8854603417522,1,1.0,zephyr-mistral,none,default,politicians
Donald Trump,499,1.0,20,36,Simplicity,1,0.16,-256.31273580985703,1,1.0,zephyr-mistral,none,default,politicians
Joe Biden,499,1.0,14,36,Simplicity,1,0.16,-141.58308871649317,1,1.0,zephyr-mistral,none,default,politicians
Elizabeth Warren,499,1.0,18,36,Simplicity,1,0.16,-126.978875074477,1,1.0,zephyr-mistral,none,default,politicians
Ronald Reagan,499,1.0,19,36,Simplicity,1,0.16,-171.97399531237136,1,1.0,zephyr-mistral,none,default,politicians
Bernie Sanders,499,1.0,23,36,Simplicity,1,0.16,-153.8377650430374,1,1.0,zephyr-mistral,none,default,politicians
George W. Bush,499,1.0,5,36,Simplicity,1,0.16,-63.99059677512927,1,1.0,zephyr-mistral,none,default,politicians
Barack Obama,499,1.0,7,36,Simplicity,1,0.16,-77.28169323345372,1,1.0,zephyr-mistral,none,default,politicians
Richard Nixon,499,1.0,3,36,Simplicity,1,0.16,-51.494883623574296,1,1.0,zephyr-mistral,none,default,politicians
a salmon,499,1.0,25,36,Simplicity,1,0.16,-334.68887797850647,1,1.0,zephyr-mistral,none,default,animals
an eagle,499,1.0,4,36,Simplicity,1,0.16,-38.32503058112724,1,1.0,zephyr-mistral,none,default,animals
a seal,499,1.0,25,36,Simplicity,1,0.16,-205.19122170970283,1,1.0,zephyr-mistral,none,default,animals
an ostrich,499,1.0,25,36,Simplicity,1,0.16,-88.25837575390904,1,1.0,zephyr-mistral,none,default,animals
a whale,499,1.0,25,36,Simplicity,1,0.16,-255.6933564377475,1,1.0,zephyr-mistral,none,default,animals
a chicken,499,1.0,25,36,Simplicity,1,0.16,-58.0754549775092,1,1.0,zephyr-mistral,none,default,animals
a penguin,499,1.0,25,36,Simplicity,1,0.16,-286.116481006245,1,1.0,zephyr-mistral,none,default,animals
a robin,499,1.0,25,36,Simplicity,1,0.16,-74.09802794631213,1,1.0,zephyr-mistral,none,default,animals
a finch,499,1.0,25,36,Simplicity,1,0.16,-58.0754549775092,1,1.0,zephyr-mistral,none,default,animals
a dolphin,499,1.0,25,36,Simplicity,1,0.16,-298.726566689902,1,1.0,zephyr-mistral,none,default,animals
Hillary Clinton,499,1.0,19,36,Simplicity,1,0.16,-204.8854603417522,1,1.0,zephyr-mistral,none,default,politicians
Donald Trump,499,1.0,20,36,Simplicity,1,0.16,-256.31273580985703,1,1.0,zephyr-mistral,none,default,politicians
Joe Biden,499,1.0,14,36,Simplicity,1,0.16,-141.58308871649317,1,1.0,zephyr-mistral,none,default,politicians
Elizabeth Warren,499,1.0,18,36,Simplicity,1,0.16,-126.978875074477,1,1.0,zephyr-mistral,none,default,politicians
Ronald Reagan,499,1.0,19,36,Simplicity,1,0.16,-171.97399531237136,1,1.0,zephyr-mistral,none,default,politicians
Bernie Sanders,499,1.0,23,36,Simplicity,1,0.16,-153.8377650430374,1,1.0,zephyr-mistral,none,default,politicians
George W. Bush,499,1.0,5,36,Simplicity,1,0.16,-63.99059677512927,1,1.0,zephyr-mistral,none,default,politicians
Barack Obama,499,1.0,7,36,Simplicity,1,0.16,-77.28169323345372,1,1.0,zephyr-mistral,none,default,politicians
Richard Nixon,499,1.0,3,36,Simplicity,1,0.16,-51.494883623574296,1,1.0,zephyr-mistral,none,default,politicians
a salmon,499,1.0,30,36,Simplicity,1,0.16,-384.35959696054334,1,1.0,zephyr-mistral,none,default,animals
an eagle,499,1.0,4,36,Simplicity,1,0.16,-38.32503058112724,1,1.0,zephyr-mistral,none,default,animals
a seal,499,1.0,50,36,Simplicity,1,0.16,-318.5168138406449,1,1.0,zephyr-mistral,none,default,animals
an ostrich,499,1.0,50,36,Simplicity,1,0.16,-136.93688151764158,1,1.0,zephyr-mistral,none,default,animals
a whale,499,1.0,50,36,Simplicity,1,0.16,-457.7813177095727,1,1.0,zephyr-mistral,none,default,animals
a chicken,499,1.0,50,36,Simplicity,1,0.16,-64.21179382143617,1,1.0,zephyr-mistral,none,default,animals
a penguin,499,1.0,50,36,Simplicity,1,0.16,-536.5021653299099,1,1.0,zephyr-mistral,none,default,animals
a robin,499,1.0,50,36,Simplicity,1,0.16,-104.10306435156974,1,1.0,zephyr-mistral,none,default,animals
a finch,499,1.0,50,36,Simplicity,1,0.16,-76.74900221973776,1,1.0,zephyr-mistral,none,default,animals
a dolphin,499,1.0,50,36,Simplicity,1,0.16,-562.6328012784095,1,1.0,zephyr-mistral,none,default,animals
Hillary Clinton,499,1.0,19,36,Simplicity,1,0.16,-204.8854603417522,1,1.0,zephyr-mistral,none,default,politicians
Donald Trump,499,1.0,20,36,Simplicity,1,0.16,-256.31273580985703,1,1.0,zephyr-mistral,none,default,politicians
