ID,Table,Concept,model_name,prompt,temperature,concept_category
6,0,a chicken,zephyr-mistral,none,default,animals
13,0,a chicken,zephyr-mistral,none,default,animals
27,0,a chicken,zephyr-mistral,none,default,animals
31,0,a chicken,zephyr-mistral,none,default,animals
33,0,a chicken,zephyr-mistral,none,default,animals
50,0,a chicken,zephyr-mistral,none,default,animals
89,0,a chicken,zephyr-mistral,none,default,animals
90,0,a chicken,zephyr-mistral,none,default,animals
109,0,a chicken,zephyr-mistral,none,default,animals
111,0,a chicken,zephyr-mistral,none,default,animals
113,0,a chicken,zephyr-mistral,none,default,animals
122,0,a chicken,zephyr-mistral,none,default,animals
132,0,a chicken,zephyr-mistral,none,default,animals
157,0,a chicken,zephyr-mistral,none,default,animals
170,0,a chicken,zephyr-mistral,none,default,animals
184,0,a chicken,zephyr-mistral,none,default,animals
204,0,a chicken,zephyr-mistral,none,default,animals
207,0,a chicken,zephyr-mistral,none,default,animals
209,0,a chicken,zephyr-mistral,none,default,animals
210,0,a chicken,zephyr-mistral,none,default,animals
226,0,a chicken,zephyr-mistral,none,default,animals
239,0,a chicken,zephyr-mistral,none,default,animals
240,0,a chicken,zephyr-mistral,none,default,animals
241,0,a chicken,zephyr-mistral,none,default,animals
255,0,a chicken,zephyr-mistral,none,default,animals
257,0,a chicken,zephyr-mistral,none,default,animals
263,0,a chicken,zephyr-mistral,none,default,animals
274,0,a chicken,zephyr-mistral,none,default,animals
277,0,a chicken,zephyr-mistral,none,default,animals
293,0,a chicken,zephyr-mistral,none,default,animals
298,0,a chicken,zephyr-mistral,none,default,animals
310,0,a chicken,zephyr-mistral,none,default,animals
316,0,a chicken,zephyr-mistral,none,default,animals
335,0,a chicken,zephyr-mistral,none,default,animals
373,0,a chicken,zephyr-mistral,none,default,animals
379,0,a chicken,zephyr-mistral,none,default,animals
382,0,a chicken,zephyr-mistral,none,default,animals
406,0,a chicken,zephyr-mistral,none,default,animals
408,0,a chicken,zephyr-mistral,none,default,animals
433,0,a chicken,zephyr-mistral,none,default,animals
446,0,a chicken,zephyr-mistral,none,default,animals
449,0,a chicken,zephyr-mistral,none,default,animals
451,0,a chicken,zephyr-mistral,none,default,animals
457,0,a chicken,zephyr-mistral,none,default,animals
459,0,a chicken,zephyr-mistral,none,default,animals
468,0,a chicken,zephyr-mistral,none,default,animals
485,0,a chicken,zephyr-mistral,none,default,animals
499,0,a chicken,zephyr-mistral,none,default,animals
506,0,a chicken,zephyr-mistral,none,default,animals
510,0,a chicken,zephyr-mistral,none,default,animals
514,0,a chicken,zephyr-mistral,none,default,animals
518,0,a chicken,zephyr-mistral,none,default,animals
