ID,Table,Concept
5,0,a whale
22,0,a whale
26,0,a whale
42,0,a whale
44,0,a whale
59,0,a whale
63,0,a whale
75,0,a whale
93,0,a whale
116,0,a whale
120,0,a whale
121,0,a whale
140,0,a whale
166,0,a whale
187,0,a whale
208,0,a whale
225,0,a whale
228,0,a whale
315,0,a whale
323,0,a whale
325,0,a whale
332,0,a whale
334,0,a whale
339,0,a whale
354,0,a whale
356,0,a whale
357,0,a whale
361,0,a whale
383,0,a whale
387,0,a whale
393,0,a whale
394,0,a whale
407,0,a whale
416,0,a whale
417,0,a whale
424,0,a whale
425,0,a whale
431,0,a whale
432,0,a whale
434,0,a whale
455,0,a whale
462,0,a whale
464,0,a whale
465,0,a whale
472,0,a whale
515,0,a whale
528,0,a whale
529,0,a whale
531,0,a whale
537,0,a whale
538,0,a whale
543,0,a whale
565,0,a whale
566,0,a whale
571,0,a whale
586,0,a whale
612,0,a whale
616,0,a whale
634,0,a whale
668,0,a whale
669,0,a whale
684,0,a whale
715,0,a whale
723,0,a whale
746,0,a whale
752,0,a whale
762,0,a whale
764,0,a whale
770,0,a whale
779,0,a whale
797,0,a whale
803,0,a whale
809,0,a whale
820,0,a whale
825,0,a whale
862,0,a whale
866,0,a whale
875,0,a whale
884,0,a whale
887,0,a whale
