ID,Table,Concept
3,0,Elizabeth Warren
9,0,Elizabeth Warren
15,0,Elizabeth Warren
20,0,Elizabeth Warren
32,0,Elizabeth Warren
45,0,Elizabeth Warren
71,0,Elizabeth Warren
73,0,Elizabeth Warren
92,0,Elizabeth Warren
105,0,Elizabeth Warren
112,0,Elizabeth Warren
115,0,Elizabeth Warren
127,0,Elizabeth Warren
137,0,Elizabeth Warren
155,0,Elizabeth Warren
172,0,Elizabeth Warren
181,0,Elizabeth Warren
186,0,Elizabeth Warren
196,0,Elizabeth Warren
234,0,Elizabeth Warren
235,0,Elizabeth Warren
269,0,Elizabeth Warren
287,0,Elizabeth Warren
290,0,Elizabeth Warren
300,0,Elizabeth Warren
303,0,Elizabeth Warren
307,0,Elizabeth Warren
364,0,Elizabeth Warren
367,0,Elizabeth Warren
368,0,Elizabeth Warren
391,0,Elizabeth Warren
400,0,Elizabeth Warren
403,0,Elizabeth Warren
409,0,Elizabeth Warren
412,0,Elizabeth Warren
415,0,Elizabeth Warren
418,0,Elizabeth Warren
422,0,Elizabeth Warren
427,0,Elizabeth Warren
450,0,Elizabeth Warren
473,0,Elizabeth Warren
478,0,Elizabeth Warren
482,0,Elizabeth Warren
494,0,Elizabeth Warren
516,0,Elizabeth Warren
517,0,Elizabeth Warren
521,0,Elizabeth Warren
523,0,Elizabeth Warren
527,0,Elizabeth Warren
532,0,Elizabeth Warren
548,0,Elizabeth Warren
549,0,Elizabeth Warren
584,0,Elizabeth Warren
587,0,Elizabeth Warren
589,0,Elizabeth Warren
600,0,Elizabeth Warren
618,0,Elizabeth Warren
625,0,Elizabeth Warren
631,0,Elizabeth Warren
637,0,Elizabeth Warren
645,0,Elizabeth Warren
655,0,Elizabeth Warren
659,0,Elizabeth Warren
660,0,Elizabeth Warren
665,0,Elizabeth Warren
667,0,Elizabeth Warren
672,0,Elizabeth Warren
692,0,Elizabeth Warren
696,0,Elizabeth Warren
697,0,Elizabeth Warren
718,0,Elizabeth Warren
727,0,Elizabeth Warren
730,0,Elizabeth Warren
749,0,Elizabeth Warren
750,0,Elizabeth Warren
796,0,Elizabeth Warren
822,0,Elizabeth Warren
829,0,Elizabeth Warren
832,0,Elizabeth Warren
834,0,Elizabeth Warren
846,0,Elizabeth Warren
864,0,Elizabeth Warren
877,0,Elizabeth Warren
885,0,Elizabeth Warren
893,0,Elizabeth Warren
5,0,Ronald Reagan
22,0,Ronald Reagan
26,0,Ronald Reagan
42,0,Ronald Reagan
44,0,Ronald Reagan
59,0,Ronald Reagan
63,0,Ronald Reagan
65,0,Ronald Reagan
75,0,Ronald Reagan
93,0,Ronald Reagan
95,0,Ronald Reagan
116,0,Ronald Reagan
120,0,Ronald Reagan
121,0,Ronald Reagan
140,0,Ronald Reagan
158,0,Ronald Reagan
166,0,Ronald Reagan
187,0,Ronald Reagan
208,0,Ronald Reagan
225,0,Ronald Reagan
228,0,Ronald Reagan
313,0,Ronald Reagan
315,0,Ronald Reagan
323,0,Ronald Reagan
325,0,Ronald Reagan
332,0,Ronald Reagan
334,0,Ronald Reagan
339,0,Ronald Reagan
354,0,Ronald Reagan
357,0,Ronald Reagan
361,0,Ronald Reagan
378,0,Ronald Reagan
383,0,Ronald Reagan
385,0,Ronald Reagan
387,0,Ronald Reagan
394,0,Ronald Reagan
407,0,Ronald Reagan
416,0,Ronald Reagan
417,0,Ronald Reagan
424,0,Ronald Reagan
425,0,Ronald Reagan
431,0,Ronald Reagan
432,0,Ronald Reagan
455,0,Ronald Reagan
464,0,Ronald Reagan
465,0,Ronald Reagan
466,0,Ronald Reagan
472,0,Ronald Reagan
481,0,Ronald Reagan
515,0,Ronald Reagan
528,0,Ronald Reagan
529,0,Ronald Reagan
537,0,Ronald Reagan
538,0,Ronald Reagan
543,0,Ronald Reagan
546,0,Ronald Reagan
565,0,Ronald Reagan
566,0,Ronald Reagan
606,0,Ronald Reagan
612,0,Ronald Reagan
614,0,Ronald Reagan
