ID,Table,Concept
2,0,a seal
11,0,a seal
12,0,a seal
17,0,a seal
49,0,a seal
54,0,a seal
67,0,a seal
70,0,a seal
74,0,a seal
82,0,a seal
84,0,a seal
85,0,a seal
99,0,a seal
104,0,a seal
107,0,a seal
153,0,a seal
159,0,a seal
161,0,a seal
174,0,a seal
192,0,a seal
216,0,a seal
219,0,a seal
243,0,a seal
245,0,a seal
247,0,a seal
250,0,a seal
253,0,a seal
271,0,a seal
272,0,a seal
285,0,a seal
301,0,a seal
317,0,a seal
318,0,a seal
327,0,a seal
338,0,a seal
345,0,a seal
366,0,a seal
375,0,a seal
381,0,a seal
399,0,a seal
436,0,a seal
439,0,a seal
444,0,a seal
454,0,a seal
463,0,a seal
475,0,a seal
484,0,a seal
492,0,a seal
542,0,a seal
552,0,a seal
573,0,a seal
581,0,a seal
607,0,a seal
609,0,a seal
611,0,a seal
615,0,a seal
635,0,a seal
639,0,a seal
679,0,a seal
681,0,a seal
713,0,a seal
721,0,a seal
726,0,a seal
737,0,a seal
739,0,a seal
741,0,a seal
768,0,a seal
777,0,a seal
781,0,a seal
816,0,a seal
817,0,a seal
827,0,a seal
839,0,a seal
845,0,a seal
848,0,a seal
856,0,a seal
861,0,a seal
883,0,a seal
889,0,a seal
897,0,a seal
3,0,an ostrich
9,0,an ostrich
15,0,an ostrich
20,0,an ostrich
32,0,an ostrich
35,0,an ostrich
45,0,an ostrich
71,0,an ostrich
73,1,an ostrich
92,0,an ostrich
105,0,an ostrich
112,0,an ostrich
115,0,an ostrich
127,0,an ostrich
137,0,an ostrich
155,0,an ostrich
172,0,an ostrich
181,0,an ostrich
186,0,an ostrich
196,0,an ostrich
234,0,an ostrich
235,0,an ostrich
269,0,an ostrich
287,0,an ostrich
290,0,an ostrich
296,0,an ostrich
300,0,an ostrich
303,0,an ostrich
307,0,an ostrich
364,0,an ostrich
367,0,an ostrich
368,0,an ostrich
386,0,an ostrich
388,0,an ostrich
391,0,an ostrich
400,0,an ostrich
403,0,an ostrich
409,0,an ostrich
412,0,an ostrich
415,0,an ostrich
418,0,an ostrich
422,0,an ostrich
427,0,an ostrich
437,0,an ostrich
450,0,an ostrich
473,0,an ostrich
478,0,an ostrich
482,0,an ostrich
494,0,an ostrich
516,0,an ostrich
523,0,an ostrich
527,0,an ostrich
532,0,an ostrich
549,0,an ostrich
584,0,an ostrich
587,0,an ostrich
589,0,an ostrich
590,0,an ostrich
600,0,an ostrich
610,0,an ostrich
618,0,an ostrich
625,0,an ostrich
631,0,an ostrich
637,0,an ostrich
645,0,an ostrich
655,0,an ostrich
659,0,an ostrich
660,0,an ostrich
663,0,an ostrich
665,0,an ostrich
666,0,an ostrich
667,0,an ostrich
672,0,an ostrich
692,0,an ostrich
696,0,an ostrich
697,0,an ostrich
718,0,an ostrich
727,0,an ostrich
730,0,an ostrich
749,0,an ostrich
750,0,an ostrich
754,0,an ostrich
757,0,an ostrich
796,0,an ostrich
822,0,an ostrich
829,0,an ostrich
832,0,an ostrich
834,0,an ostrich
846,0,an ostrich
864,0,an ostrich
877,0,an ostrich
885,0,an ostrich
5,0,a whale
22,0,a whale
26,0,a whale
42,0,a whale
44,0,a whale
59,0,a whale
63,0,a whale
65,0,a whale
75,0,a whale
93,0,a whale
95,0,a whale
120,0,a whale
121,0,a whale
135,0,a whale
140,0,a whale
158,0,a whale
166,0,a whale
187,0,a whale
208,0,a whale
225,0,a whale
228,0,a whale
313,0,a whale
315,0,a whale
325,0,a whale
332,0,a whale
334,0,a whale
339,0,a whale
354,0,a whale
356,0,a whale
357,0,a whale
361,0,a whale
378,0,a whale
383,0,a whale
385,0,a whale
387,0,a whale
393,0,a whale
394,0,a whale
407,0,a whale
416,0,a whale
417,0,a whale
424,0,a whale
425,0,a whale
431,0,a whale
432,0,a whale
434,0,a whale
455,0,a whale
462,0,a whale
465,0,a whale
466,0,a whale
472,0,a whale
481,0,a whale
515,0,a whale
528,0,a whale
529,0,a whale
531,0,a whale
546,0,a whale
565,0,a whale
566,0,a whale
571,0,a whale
586,0,a whale
606,0,a whale
612,0,a whale
614,0,a whale
616,0,a whale
