ID,Table,Concept
3,0,Elizabeth Warren
9,0,Elizabeth Warren
15,0,Elizabeth Warren
20,0,Elizabeth Warren
32,0,Elizabeth Warren
35,0,Elizabeth Warren
45,0,Elizabeth Warren
71,0,Elizabeth Warren
73,0,Elizabeth Warren
92,0,Elizabeth Warren
105,0,Elizabeth Warren
115,0,Elizabeth Warren
127,0,Elizabeth Warren
137,0,Elizabeth Warren
155,0,Elizabeth Warren
181,0,Elizabeth Warren
186,0,Elizabeth Warren
196,0,Elizabeth Warren
234,0,Elizabeth Warren
235,0,Elizabeth Warren
269,0,Elizabeth Warren
287,0,Elizabeth Warren
290,0,Elizabeth Warren
296,0,Elizabeth Warren
303,0,Elizabeth Warren
364,0,Elizabeth Warren
367,0,Elizabeth Warren
368,0,Elizabeth Warren
386,0,Elizabeth Warren
388,0,Elizabeth Warren
391,0,Elizabeth Warren
400,0,Elizabeth Warren
403,0,Elizabeth Warren
409,0,Elizabeth Warren
412,0,Elizabeth Warren
415,0,Elizabeth Warren
418,0,Elizabeth Warren
422,0,Elizabeth Warren
427,0,Elizabeth Warren
473,0,Elizabeth Warren
478,0,Elizabeth Warren
482,0,Elizabeth Warren
494,0,Elizabeth Warren
516,0,Elizabeth Warren
517,0,Elizabeth Warren
527,0,Elizabeth Warren
532,0,Elizabeth Warren
548,0,Elizabeth Warren
549,0,Elizabeth Warren
584,0,Elizabeth Warren
587,0,Elizabeth Warren
589,0,Elizabeth Warren
600,0,Elizabeth Warren
610,0,Elizabeth Warren
618,0,Elizabeth Warren
625,0,Elizabeth Warren
631,0,Elizabeth Warren
637,0,Elizabeth Warren
645,0,Elizabeth Warren
655,0,Elizabeth Warren
659,0,Elizabeth Warren
660,0,Elizabeth Warren
663,0,Elizabeth Warren
665,0,Elizabeth Warren
666,0,Elizabeth Warren
667,0,Elizabeth Warren
672,0,Elizabeth Warren
692,0,Elizabeth Warren
696,0,Elizabeth Warren
697,0,Elizabeth Warren
727,0,Elizabeth Warren
730,0,Elizabeth Warren
749,0,Elizabeth Warren
750,0,Elizabeth Warren
754,0,Elizabeth Warren
757,0,Elizabeth Warren
796,0,Elizabeth Warren
822,0,Elizabeth Warren
829,0,Elizabeth Warren
832,0,Elizabeth Warren
834,0,Elizabeth Warren
846,0,Elizabeth Warren
864,0,Elizabeth Warren
877,0,Elizabeth Warren
893,0,Elizabeth Warren
21,0,Abraham Lincoln
25,0,Abraham Lincoln
51,0,Abraham Lincoln
78,0,Abraham Lincoln
83,0,Abraham Lincoln
87,0,Abraham Lincoln
91,0,Abraham Lincoln
101,0,Abraham Lincoln
110,0,Abraham Lincoln
114,0,Abraham Lincoln
124,0,Abraham Lincoln
145,0,Abraham Lincoln
156,0,Abraham Lincoln
164,0,Abraham Lincoln
175,0,Abraham Lincoln
176,0,Abraham Lincoln
182,0,Abraham Lincoln
183,0,Abraham Lincoln
201,0,Abraham Lincoln
220,0,Abraham Lincoln
231,0,Abraham Lincoln
233,0,Abraham Lincoln
266,0,Abraham Lincoln
268,0,Abraham Lincoln
275,0,Abraham Lincoln
276,0,Abraham Lincoln
288,0,Abraham Lincoln
294,0,Abraham Lincoln
295,0,Abraham Lincoln
302,0,Abraham Lincoln
305,0,Abraham Lincoln
309,0,Abraham Lincoln
326,0,Abraham Lincoln
344,0,Abraham Lincoln
359,0,Abraham Lincoln
365,0,Abraham Lincoln
380,0,Abraham Lincoln
392,0,Abraham Lincoln
401,0,Abraham Lincoln
413,0,Abraham Lincoln
421,0,Abraham Lincoln
442,0,Abraham Lincoln
447,0,Abraham Lincoln
448,0,Abraham Lincoln
452,0,Abraham Lincoln
453,0,Abraham Lincoln
461,0,Abraham Lincoln
486,0,Abraham Lincoln
490,0,Abraham Lincoln
495,0,Abraham Lincoln
501,0,Abraham Lincoln
502,0,Abraham Lincoln
539,0,Abraham Lincoln
553,0,Abraham Lincoln
579,0,Abraham Lincoln
582,0,Abraham Lincoln
599,0,Abraham Lincoln
622,0,Abraham Lincoln
624,0,Abraham Lincoln
640,0,Abraham Lincoln
642,0,Abraham Lincoln
644,0,Abraham Lincoln
649,0,Abraham Lincoln
650,0,Abraham Lincoln
654,0,Abraham Lincoln
658,0,Abraham Lincoln
671,0,Abraham Lincoln
674,0,Abraham Lincoln
677,0,Abraham Lincoln
690,0,Abraham Lincoln
712,0,Abraham Lincoln
717,0,Abraham Lincoln
724,0,Abraham Lincoln
756,0,Abraham Lincoln
761,0,Abraham Lincoln
769,0,Abraham Lincoln
772,0,Abraham Lincoln
774,0,Abraham Lincoln
800,0,Abraham Lincoln
805,0,Abraham Lincoln
818,0,Abraham Lincoln
855,0,Abraham Lincoln
871,0,Abraham Lincoln
873,0,Abraham Lincoln
874,0,Abraham Lincoln
880,0,Abraham Lincoln
892,0,Abraham Lincoln
