ID,Table,Concept
3,0,Elizabeth Warren
9,0,Elizabeth Warren
20,1,Elizabeth Warren
32,0,Elizabeth Warren
35,1,Elizabeth Warren
45,0,Elizabeth Warren
71,1,Elizabeth Warren
73,0,Elizabeth Warren
92,0,Elizabeth Warren
105,0,Elizabeth Warren
112,1,Elizabeth Warren
115,1,Elizabeth Warren
127,0,Elizabeth Warren
137,1,Elizabeth Warren
155,0,Elizabeth Warren
172,0,Elizabeth Warren
181,0,Elizabeth Warren
186,0,Elizabeth Warren
196,0,Elizabeth Warren
234,0,Elizabeth Warren
235,0,Elizabeth Warren
269,0,Elizabeth Warren
287,1,Elizabeth Warren
290,0,Elizabeth Warren
296,0,Elizabeth Warren
300,0,Elizabeth Warren
303,0,Elizabeth Warren
307,1,Elizabeth Warren
367,0,Elizabeth Warren
386,1,Elizabeth Warren
388,0,Elizabeth Warren
391,0,Elizabeth Warren
400,0,Elizabeth Warren
403,0,Elizabeth Warren
409,0,Elizabeth Warren
412,0,Elizabeth Warren
415,0,Elizabeth Warren
418,0,Elizabeth Warren
427,0,Elizabeth Warren
450,0,Elizabeth Warren
473,0,Elizabeth Warren
478,0,Elizabeth Warren
482,0,Elizabeth Warren
494,0,Elizabeth Warren
516,0,Elizabeth Warren
527,1,Elizabeth Warren
532,0,Elizabeth Warren
548,0,Elizabeth Warren
549,1,Elizabeth Warren
584,0,Elizabeth Warren
587,0,Elizabeth Warren
589,1,Elizabeth Warren
590,1,Elizabeth Warren
600,1,Elizabeth Warren
610,0,Elizabeth Warren
618,0,Elizabeth Warren
625,1,Elizabeth Warren
631,0,Elizabeth Warren
637,0,Elizabeth Warren
655,0,Elizabeth Warren
659,0,Elizabeth Warren
660,0,Elizabeth Warren
663,0,Elizabeth Warren
665,0,Elizabeth Warren
666,0,Elizabeth Warren
667,0,Elizabeth Warren
692,0,Elizabeth Warren
696,0,Elizabeth Warren
697,0,Elizabeth Warren
718,0,Elizabeth Warren
727,1,Elizabeth Warren
730,0,Elizabeth Warren
749,0,Elizabeth Warren
750,0,Elizabeth Warren
754,0,Elizabeth Warren
757,0,Elizabeth Warren
796,1,Elizabeth Warren
822,1,Elizabeth Warren
829,0,Elizabeth Warren
832,0,Elizabeth Warren
877,0,Elizabeth Warren
885,0,Elizabeth Warren
893,0,Elizabeth Warren
