ID,Table,Concept
3,0,Elizabeth Warren
9,1,Elizabeth Warren
15,0,Elizabeth Warren
20,1,Elizabeth Warren
32,0,Elizabeth Warren
35,0,Elizabeth Warren
45,0,Elizabeth Warren
71,0,Elizabeth Warren
73,0,Elizabeth Warren
92,0,Elizabeth Warren
105,0,Elizabeth Warren
112,0,Elizabeth Warren
115,0,Elizabeth Warren
127,1,Elizabeth Warren
137,1,Elizabeth Warren
155,0,Elizabeth Warren
172,0,Elizabeth Warren
181,0,Elizabeth Warren
196,0,Elizabeth Warren
234,0,Elizabeth Warren
235,0,Elizabeth Warren
269,1,Elizabeth Warren
287,0,Elizabeth Warren
290,0,Elizabeth Warren
296,1,Elizabeth Warren
300,1,Elizabeth Warren
303,0,Elizabeth Warren
367,0,Elizabeth Warren
368,0,Elizabeth Warren
386,1,Elizabeth Warren
388,1,Elizabeth Warren
391,0,Elizabeth Warren
400,0,Elizabeth Warren
403,1,Elizabeth Warren
409,1,Elizabeth Warren
412,0,Elizabeth Warren
415,1,Elizabeth Warren
418,1,Elizabeth Warren
422,0,Elizabeth Warren
427,0,Elizabeth Warren
437,1,Elizabeth Warren
450,0,Elizabeth Warren
473,0,Elizabeth Warren
478,0,Elizabeth Warren
482,0,Elizabeth Warren
494,0,Elizabeth Warren
516,1,Elizabeth Warren
517,0,Elizabeth Warren
521,0,Elizabeth Warren
523,0,Elizabeth Warren
527,1,Elizabeth Warren
532,0,Elizabeth Warren
548,0,Elizabeth Warren
549,1,Elizabeth Warren
584,1,Elizabeth Warren
587,0,Elizabeth Warren
589,0,Elizabeth Warren
590,1,Elizabeth Warren
600,1,Elizabeth Warren
610,0,Elizabeth Warren
618,1,Elizabeth Warren
625,0,Elizabeth Warren
631,0,Elizabeth Warren
637,0,Elizabeth Warren
645,1,Elizabeth Warren
655,0,Elizabeth Warren
659,0,Elizabeth Warren
660,1,Elizabeth Warren
663,0,Elizabeth Warren
665,1,Elizabeth Warren
666,1,Elizabeth Warren
667,0,Elizabeth Warren
672,0,Elizabeth Warren
692,1,Elizabeth Warren
696,0,Elizabeth Warren
697,1,Elizabeth Warren
718,0,Elizabeth Warren
727,0,Elizabeth Warren
730,0,Elizabeth Warren
750,0,Elizabeth Warren
754,0,Elizabeth Warren
757,0,Elizabeth Warren
796,0,Elizabeth Warren
822,0,Elizabeth Warren
829,1,Elizabeth Warren
832,0,Elizabeth Warren
834,0,Elizabeth Warren
846,0,Elizabeth Warren
864,1,Elizabeth Warren
885,1,Elizabeth Warren
893,0,Elizabeth Warren
6,0,Bernie Sanders
13,0,Bernie Sanders
27,0,Bernie Sanders
31,0,Bernie Sanders
50,0,Bernie Sanders
86,0,Bernie Sanders
89,0,Bernie Sanders
90,0,Bernie Sanders
111,0,Bernie Sanders
113,0,Bernie Sanders
122,0,Bernie Sanders
132,0,Bernie Sanders
150,0,Bernie Sanders
157,0,Bernie Sanders
170,0,Bernie Sanders
184,0,Bernie Sanders
204,0,Bernie Sanders
207,0,Bernie Sanders
210,0,Bernie Sanders
226,0,Bernie Sanders
239,0,Bernie Sanders
240,0,Bernie Sanders
241,0,Bernie Sanders
255,0,Bernie Sanders
257,0,Bernie Sanders
263,0,Bernie Sanders
274,0,Bernie Sanders
277,0,Bernie Sanders
283,0,Bernie Sanders
291,0,Bernie Sanders
293,0,Bernie Sanders
298,0,Bernie Sanders
304,0,Bernie Sanders
310,0,Bernie Sanders
316,0,Bernie Sanders
335,0,Bernie Sanders
346,0,Bernie Sanders
352,0,Bernie Sanders
373,0,Bernie Sanders
379,0,Bernie Sanders
382,0,Bernie Sanders
406,0,Bernie Sanders
408,0,Bernie Sanders
433,0,Bernie Sanders
446,0,Bernie Sanders
449,0,Bernie Sanders
451,0,Bernie Sanders
457,0,Bernie Sanders
459,0,Bernie Sanders
468,0,Bernie Sanders
485,0,Bernie Sanders
487,0,Bernie Sanders
499,0,Bernie Sanders
510,0,Bernie Sanders
514,0,Bernie Sanders
518,0,Bernie Sanders
533,0,Bernie Sanders
551,0,Bernie Sanders
562,0,Bernie Sanders
567,0,Bernie Sanders
569,0,Bernie Sanders
577,0,Bernie Sanders
592,0,Bernie Sanders
593,0,Bernie Sanders
627,0,Bernie Sanders
630,0,Bernie Sanders
653,0,Bernie Sanders
662,0,Bernie Sanders
670,0,Bernie Sanders
675,0,Bernie Sanders
688,0,Bernie Sanders
699,0,Bernie Sanders
707,0,Bernie Sanders
732,0,Bernie Sanders
743,0,Bernie Sanders
744,0,Bernie Sanders
747,0,Bernie Sanders
748,0,Bernie Sanders
775,0,Bernie Sanders
787,0,Bernie Sanders
792,0,Bernie Sanders
793,0,Bernie Sanders
810,0,Bernie Sanders
819,0,Bernie Sanders
843,0,Bernie Sanders
844,0,Bernie Sanders
858,0,Bernie Sanders
863,0,Bernie Sanders
25,0,Abraham Lincoln
51,1,Abraham Lincoln
78,0,Abraham Lincoln
83,0,Abraham Lincoln
91,0,Abraham Lincoln
101,1,Abraham Lincoln
110,1,Abraham Lincoln
114,0,Abraham Lincoln
124,0,Abraham Lincoln
144,1,Abraham Lincoln
145,0,Abraham Lincoln
156,0,Abraham Lincoln
165,1,Abraham Lincoln
171,0,Abraham Lincoln
173,0,Abraham Lincoln
175,0,Abraham Lincoln
176,0,Abraham Lincoln
182,0,Abraham Lincoln
183,0,Abraham Lincoln
193,0,Abraham Lincoln
201,0,Abraham Lincoln
220,0,Abraham Lincoln
231,0,Abraham Lincoln
233,0,Abraham Lincoln
249,0,Abraham Lincoln
266,0,Abraham Lincoln
268,0,Abraham Lincoln
275,1,Abraham Lincoln
276,0,Abraham Lincoln
288,0,Abraham Lincoln
289,0,Abraham Lincoln
294,1,Abraham Lincoln
295,1,Abraham Lincoln
309,0,Abraham Lincoln
326,0,Abraham Lincoln
328,2,Abraham Lincoln
344,0,Abraham Lincoln
359,0,Abraham Lincoln
365,1,Abraham Lincoln
380,0,Abraham Lincoln
392,0,Abraham Lincoln
395,0,Abraham Lincoln
401,0,Abraham Lincoln
413,0,Abraham Lincoln
421,0,Abraham Lincoln
435,0,Abraham Lincoln
442,0,Abraham Lincoln
447,0,Abraham Lincoln
452,0,Abraham Lincoln
461,1,Abraham Lincoln
490,1,Abraham Lincoln
495,0,Abraham Lincoln
502,1,Abraham Lincoln
539,0,Abraham Lincoln
553,0,Abraham Lincoln
556,0,Abraham Lincoln
576,0,Abraham Lincoln
579,1,Abraham Lincoln
582,0,Abraham Lincoln
598,0,Abraham Lincoln
622,0,Abraham Lincoln
624,0,Abraham Lincoln
640,0,Abraham Lincoln
642,0,Abraham Lincoln
644,1,Abraham Lincoln
649,0,Abraham Lincoln
658,0,Abraham Lincoln
