ID,Table,Concept
6,0,a chicken
13,0,a chicken
27,0,a chicken
31,0,a chicken
33,0,a chicken
50,0,a chicken
89,0,a chicken
90,0,a chicken
109,0,a chicken
111,0,a chicken
113,0,a chicken
122,0,a chicken
132,0,a chicken
157,0,a chicken
170,0,a chicken
184,0,a chicken
204,0,a chicken
207,0,a chicken
209,0,a chicken
210,0,a chicken
226,0,a chicken
239,0,a chicken
240,0,a chicken
241,0,a chicken
255,0,a chicken
257,0,a chicken
263,0,a chicken
274,0,a chicken
277,0,a chicken
293,0,a chicken
298,0,a chicken
310,0,a chicken
316,0,a chicken
335,0,a chicken
373,0,a chicken
379,0,a chicken
382,0,a chicken
406,0,a chicken
408,0,a chicken
433,0,a chicken
446,0,a chicken
449,0,a chicken
451,0,a chicken
457,0,a chicken
459,0,a chicken
468,0,a chicken
485,0,a chicken
499,0,a chicken
506,0,a chicken
510,0,a chicken
514,0,a chicken
518,0,a chicken
533,0,a chicken
562,0,a chicken
567,0,a chicken
569,0,a chicken
577,0,a chicken
592,0,a chicken
593,0,a chicken
603,0,a chicken
630,0,a chicken
653,0,a chicken
670,0,a chicken
675,0,a chicken
688,0,a chicken
699,0,a chicken
707,0,a chicken
716,0,a chicken
743,0,a chicken
744,0,a chicken
747,0,a chicken
785,0,a chicken
787,0,a chicken
792,0,a chicken
793,0,a chicken
810,0,a chicken
819,0,a chicken
843,0,a chicken
844,0,a chicken
858,0,a chicken
863,0,a chicken
869,0,a chicken
879,0,a chicken
14,0,a penguin
18,0,a penguin
23,0,a penguin
57,0,a penguin
58,0,a penguin
61,0,a penguin
108,0,a penguin
133,0,a penguin
138,0,a penguin
152,0,a penguin
160,0,a penguin
179,0,a penguin
188,0,a penguin
194,0,a penguin
199,0,a penguin
200,0,a penguin
203,0,a penguin
244,0,a penguin
252,0,a penguin
262,0,a penguin
278,0,a penguin
281,0,a penguin
282,0,a penguin
297,0,a penguin
314,0,a penguin
320,0,a penguin
330,0,a penguin
351,0,a penguin
355,0,a penguin
358,0,a penguin
362,0,a penguin
363,0,a penguin
371,0,a penguin
397,0,a penguin
404,0,a penguin
410,0,a penguin
426,0,a penguin
505,0,a penguin
540,0,a penguin
550,0,a penguin
554,0,a penguin
561,0,a penguin
563,0,a penguin
583,0,a penguin
585,0,a penguin
588,0,a penguin
601,0,a penguin
602,0,a penguin
608,0,a penguin
621,0,a penguin
628,0,a penguin
641,0,a penguin
648,0,a penguin
661,0,a penguin
686,0,a penguin
687,0,a penguin
691,0,a penguin
701,0,a penguin
703,0,a penguin
711,0,a penguin
729,0,a penguin
736,0,a penguin
755,0,a penguin
767,0,a penguin
778,0,a penguin
791,0,a penguin
802,0,a penguin
814,0,a penguin
823,0,a penguin
828,0,a penguin
833,0,a penguin
835,0,a penguin
836,0,a penguin
849,0,a penguin
853,0,a penguin
854,0,a penguin
865,0,a penguin
867,0,a penguin
876,0,a penguin
881,0,a penguin
898,0,a penguin
21,0,a finch
25,0,a finch
51,0,a finch
78,0,a finch
83,0,a finch
87,0,a finch
101,0,a finch
110,0,a finch
114,0,a finch
124,0,a finch
144,0,a finch
145,0,a finch
156,0,a finch
165,0,a finch
171,0,a finch
173,0,a finch
175,0,a finch
176,0,a finch
183,0,a finch
193,0,a finch
201,0,a finch
215,0,a finch
220,0,a finch
233,0,a finch
246,0,a finch
266,0,a finch
268,0,a finch
275,0,a finch
276,0,a finch
288,0,a finch
294,0,a finch
302,0,a finch
305,0,a finch
309,0,a finch
326,0,a finch
328,0,a finch
344,0,a finch
359,0,a finch
380,0,a finch
395,0,a finch
401,0,a finch
413,0,a finch
421,0,a finch
435,0,a finch
447,0,a finch
448,0,a finch
452,0,a finch
453,0,a finch
461,0,a finch
486,0,a finch
495,0,a finch
502,0,a finch
507,0,a finch
539,0,a finch
553,0,a finch
556,0,a finch
576,0,a finch
579,0,a finch
582,0,a finch
598,0,a finch
599,0,a finch
622,0,a finch
624,0,a finch
640,0,a finch
644,0,a finch
654,0,a finch
658,0,a finch
671,0,a finch
674,0,a finch
677,0,a finch
690,0,a finch
694,0,a finch
712,0,a finch
717,0,a finch
722,0,a finch
756,0,a finch
769,0,a finch
772,0,a finch
774,0,a finch
800,0,a finch
805,0,a finch
818,0,a finch
831,0,a finch
855,0,a finch
871,0,a finch
873,0,a finch
892,0,a finch
895,0,a finch
