ID,Table,Concept
3,0,an ostrich
9,0,an ostrich
15,0,an ostrich
20,0,an ostrich
35,0,an ostrich
45,0,an ostrich
73,0,an ostrich
92,0,an ostrich
105,0,an ostrich
112,0,an ostrich
127,0,an ostrich
137,0,an ostrich
155,0,an ostrich
181,0,an ostrich
186,0,an ostrich
196,0,an ostrich
234,0,an ostrich
235,0,an ostrich
269,0,an ostrich
287,0,an ostrich
290,0,an ostrich
296,0,an ostrich
300,0,an ostrich
303,0,an ostrich
307,0,an ostrich
364,0,an ostrich
367,0,an ostrich
368,0,an ostrich
386,0,an ostrich
388,0,an ostrich
400,0,an ostrich
403,0,an ostrich
409,0,an ostrich
412,0,an ostrich
415,0,an ostrich
418,0,an ostrich
422,0,an ostrich
427,0,an ostrich
437,0,an ostrich
450,0,an ostrich
473,0,an ostrich
478,0,an ostrich
482,0,an ostrich
494,0,an ostrich
516,0,an ostrich
517,0,an ostrich
521,0,an ostrich
523,0,an ostrich
527,0,an ostrich
532,0,an ostrich
548,0,an ostrich
549,0,an ostrich
584,0,an ostrich
589,0,an ostrich
610,0,an ostrich
618,0,an ostrich
625,0,an ostrich
631,0,an ostrich
637,0,an ostrich
645,0,an ostrich
655,0,an ostrich
660,0,an ostrich
663,0,an ostrich
666,0,an ostrich
667,0,an ostrich
672,0,an ostrich
692,0,an ostrich
696,0,an ostrich
718,0,an ostrich
727,0,an ostrich
749,0,an ostrich
750,0,an ostrich
754,0,an ostrich
757,0,an ostrich
796,0,an ostrich
822,0,an ostrich
829,0,an ostrich
832,0,an ostrich
834,0,an ostrich
846,0,an ostrich
864,0,an ostrich
893,0,an ostrich
5,0,a whale
42,0,a whale
44,0,a whale
59,0,a whale
63,0,a whale
65,0,a whale
75,0,a whale
93,0,a whale
95,0,a whale
116,0,a whale
120,0,a whale
121,0,a whale
135,0,a whale
140,0,a whale
158,0,a whale
187,0,a whale
208,0,a whale
225,0,a whale
228,0,a whale
313,0,a whale
315,0,a whale
325,0,a whale
332,0,a whale
334,0,a whale
354,0,a whale
356,0,a whale
357,0,a whale
361,0,a whale
378,0,a whale
383,0,a whale
385,0,a whale
387,0,a whale
393,0,a whale
407,0,a whale
416,0,a whale
417,0,a whale
424,0,a whale
425,0,a whale
431,0,a whale
432,0,a whale
434,0,a whale
455,0,a whale
462,0,a whale
464,0,a whale
465,0,a whale
466,0,a whale
481,0,a whale
515,0,a whale
528,0,a whale
529,0,a whale
531,0,a whale
537,0,a whale
538,0,a whale
543,0,a whale
546,0,a whale
565,0,a whale
566,0,a whale
571,0,a whale
586,0,a whale
606,0,a whale
612,0,a whale
614,0,a whale
616,0,a whale
646,0,a whale
668,0,a whale
669,0,a whale
683,0,a whale
684,0,a whale
715,0,a whale
720,0,a whale
723,0,a whale
746,0,a whale
752,0,a whale
759,0,a whale
762,0,a whale
764,0,a whale
770,0,a whale
783,0,a whale
790,0,a whale
797,0,a whale
809,0,a whale
820,0,a whale
825,0,a whale
862,0,a whale
866,0,a whale
875,0,a whale
