participantID,wordSetID,rt,word,button_pressed,response_r,response_g,response_b,response_munsell,trial_index,time_elapsed,condition
652,0,4057.71500011906,sadness,18,173,204,247,5PB8/6,16,47962,block1_target_trial
652,0,2500.535000115633,pheasant,13,252,190,0,5Y8/14,17,50966,block1_target_trial
652,0,1781.775000039488,barley,26,64,196,164,10G7/8,18,53249,block1_target_trial
652,0,2177.309999940917,appearance,0,245,225,219,10R9/2,19,55932,block1_target_trial
652,0,1508.21499992162,sun,13,252,190,0,5Y8/14,20,57943,block1_target_trial
652,0,1984.5050000585616,rose,33,239,107,106,5R6/12,21,60431,block1_target_trial
652,0,1752.7950000949204,bone,0,245,225,219,10R9/2,22,62689,block1_target_trial
652,0,1708.4250000771135,fish,28,99,185,228,10B7/8,23,64900,block1_target_trial
652,0,1497.1900000236928,rock,43,163,162,162,N6,24,66900,block1_target_trial
652,0,1700.5600000265986,playfulness,42,226,110,159,5RP6/12,25,69103,block1_target_trial
652,0,1768.709999974817,excitement,23,244,150,0,10YR7/14,26,71375,block1_target_trial
652,0,1503.5749999806285,shampoo,50,0,146,196,10B5/12,27,73381,block1_target_trial
652,0,1406.6249998286366,chalk,0,245,225,219,10R9/2,28,75291,block1_target_trial
652,0,4527.694999938831,divinity,63,132,71,157,5P4/12,29,80321,block1_target_trial
652,0,2400.27999994345,loyal,51,124,112,186,10PB5/10,30,83225,block1_target_trial
652,0,2255.875000031665,optimism,13,252,190,0,5Y8/14,31,85983,block1_target_trial
652,0,1632.6500000432134,urge,49,0,147,152,10BG5/10,32,88119,block1_target_trial
652,0,1462.6249999273568,lemon,2,238,234,140,10Y9/6,33,90085,block1_target_trial
652,0,2033.2649999763817,robin,44,216,65,0,10R5/16,34,92621,block1_target_trial
652,0,2501.864999998361,pain,80,46,52,38,5GY2/2,35,95626,block1_target_trial
652,0,1970.54999996908,ache,66,137,34,17,10R3/10,36,98099,block1_target_trial
652,0,1399.3249998893589,desire,44,216,65,0,10R5/16,37,100001,block1_target_trial
652,0,1847.1450000070035,faith,13,252,190,0,5Y8/14,38,102351,block1_target_trial
652,0,1811.099999817088,success,63,132,71,157,5P4/12,39,104665,block1_target_trial
652,0,1208.549999864772,romance,44,216,65,0,10R5/16,40,106377,block1_target_trial
652,0,2614.555000094697,corpse,87,59,58,58,N2,41,109494,block1_target_trial
652,0,1663.5900000110269,temptation,44,216,65,0,10R5/16,42,111661,block1_target_trial
652,0,1519.510000012815,staple,48,0,149,112,10G5/10,43,113684,block1_target_trial
652,0,1284.5299998298287,energy,24,203,172,0,10Y7/12,44,115471,block1_target_trial
652,0,1776.5049999579787,relief,23,244,150,0,10YR7/14,45,117750,block1_target_trial
652,0,1575.0599999446422,fork,87,59,58,58,N2,46,119829,block1_target_trial
652,0,2058.930000057444,heroism,63,132,71,157,5P4/12,47,122390,block1_target_trial
652,0,1439.8300000466406,gloom,18,173,204,247,5PB8/6,48,124333,block1_target_trial
652,0,2032.6249999925496,boat,50,0,146,196,10B5/12,49,126869,block1_target_trial
652,0,3590.0250000413507,mansion,57,116,95,21,5Y4/6,50,130962,block1_target_trial
652,0,2078.734999988228,toe,11,254,185,179,5R8/6,51,133544,block1_target_trial
652,0,1758.5549999494106,computer,76,82,82,81,N3,52,135806,block1_target_trial
652,0,1522.5299999583513,heaven,50,0,146,196,10B5/12,54,139587,block1_target_trial
652,0,1499.0049998741597,tarantula,87,59,58,58,N2,55,141589,block1_target_trial
652,0,2273.5199998132885,belt,83,0,63,80,5B2/6,56,144365,block1_target_trial
300,0,21589.12000001874,faith,47,54,142,15,10GY5/12,16,129632,block1_target_trial
652,0,5412.385000148788,temptation,44,216,65,0,10R5/16,58,155247,block2_target_trial
300,0,3044.454999966547,success,47,54,142,15,10GY5/12,17,133182,block1_target_trial
652,0,1132.175000151619,romance,44,216,65,0,10R5/16,60,160904,block2_target_trial
300,0,6640.285000030417,sadness,80,46,52,38,5GY2/2,18,140329,block1_target_trial
652,0,2276.044999947771,robin,44,216,65,0,10R5/16,63,167866,block2_target_trial
300,0,4246.539999963716,toe,3,200,241,191,10GY9/4,19,145082,block1_target_trial
652,0,1432.859999826178,corpse,87,59,58,58,N2,65,170999,block2_target_trial
652,0,3105.784999905154,sadness,6,216,232,240,10B9/2,67,175780,block2_target_trial
300,0,6713.464999978896,corpse,25,103,196,96,10GY7/10,20,152301,block1_target_trial
300,0,4061.4150000037625,sun,34,231,111,0,5YR6/14,21,156870,block1_target_trial
652,0,1502.9649999924004,playfulness,13,252,190,0,5Y8/14,69,181540,block2_target_trial
300,0,4935.354999965057,pheasant,25,103,196,96,10GY7/10,22,162311,block1_target_trial
652,0,1889.6600001025945,barley,25,103,196,96,10GY7/10,71,186657,block2_target_trial
652,0,1511.49500021711,shampoo,61,0,121,148,5B4/10,73,190165,block2_target_trial
519,0,3269.185000041034,playfulness,23,244,150,0,10YR7/14,16,176582,block1_target_trial
300,0,5304.194999975152,rose,33,239,107,106,5R6/12,23,168120,block1_target_trial
519,0,1559.6999999834225,relief,17,158,211,223,5B8/4,17,178646,block1_target_trial
652,0,1260.054999962449,appearance,0,245,225,219,10R9/2,75,193343,block2_target_trial
519,0,2911.614999989979,gloom,78,75,41,23,5YR2/4,18,182070,block1_target_trial
652,0,1643.9100001007318,pain,77,99,14,38,5R2/8,77,196691,block2_target_trial
300,0,6034.594999975525,energy,23,244,150,0,10YR7/14,24,174659,block1_target_trial
652,0,2032.230000011623,lemon,2,238,234,140,10Y9/6,79,200870,block2_target_trial
519,0,5023.189999978058,loyal,55,190,26,52,5R4/14,19,187598,block1_target_trial
300,0,3749.654999992345,belt,2,238,234,140,10Y9/6,25,178920,block1_target_trial
652,0,1107.7149999327958,chalk,0,245,225,219,10R9/2,81,203971,block2_target_trial
314,0,4552.589999977499,desire,51,124,112,186,10PB5/10,16,212889,block1_target_trial
519,0,2119.0349999815226,computer,21,202,202,202,N8,21,192590,block1_target_trial
314,0,1663.6500000022352,heroism,45,170,103,0,10YR5/10,17,215059,block1_target_trial
652,0,1830.294999992475,optimism,13,252,190,0,5Y8/14,83,207475,block2_target_trial
314,0,1326.844999974128,ache,55,190,26,52,5R4/14,18,216893,block1_target_trial
