ID,Table,Concept
A27PINUYH0XHRB,6,Biden
AS4E902OXUO5Z,9,Biden
A2AAFWAAS9C1QC,3,Biden
A3IV1SF1LAAF2T,8,Biden
A1HNR6OIRFCEHS,7,Biden
A3SYUC3AAVVLC6,0,Biden
AU0GXLNMX1RL9,10,Biden
A3VTOW7WLPTBRR,5,Biden
A3MHKFOJIXO7QN,3,Biden
A3KK1BNF5H0N1Z,11,Biden
A3GOR38ZREUSKR,0,Biden
A29CQ6SI6TN3DJ,8,Biden
AQP4PHYDXRBPI,5,Biden
AREQ43Q0T8ENT,8,Biden
A1LVKDMSD3R6V0,3,Biden
A2JTSH1VPJQ8FR,6,Biden
A1MSEG3R7FFT6,0,Biden
A3G16WWK0QUQ80,7,Biden
A3OBN9AXXMSX0K,8,Biden
A33MIQMRYBQ4A1,1,Biden
A20VKYV1BCNFFV,5,Biden
A3388HIWAKD3DV,1,Biden
A2UDXT6CHF9796,0,Biden
A3FYWUZK52IC2J,3,Biden
AKJ22H1NTVIQX,2,Biden
A3ITZNJQUTIZ4C,2,Biden
A3AHCT6Q7A3Q23,2,Biden
A3J8Y94SGZ3R0E,3,Biden
ASB8T0H7L99RF,4,Biden
A3D8WP674HSOH,5,Biden
A1TGZ063G5UKEC,5,Biden
AA6RYE4V0IBKM,2,Biden
A3GI5CE1PTSA8K,3,Biden
A320QA9HJFUOZO,3,Biden
A27VFM67RPD2L5,2,Biden
A10GBO6PU2EI0K,0,Biden
A2SOHTPWH4VGP5,5,Biden
A36CQIFWEDEECU,2,Biden
A1NB29L9EH7JEG,3,Biden
A3Q9H7A8J8GR01,3,Biden
A2BK9RMC0NOIH8,3,Biden
A3PGUPNMOU5BPW,2,Biden
A2RBVMD2HTBCZ9,4,Biden
A1NDMFN9A5G25G,5,Biden
A38OPVI04AH4JG,2,Biden
A297OTX4PW0XS3,3,Biden
A2L26DMSVUEDP6,12,Biden
A1GKTC682SWY23,5,Biden
AA9SBG7LNCG8Q,2,Biden
A2VNSNAN1LZBAM,3,Biden
A20NITCOBY4775,3,Biden
AVJUIF9QHQRY8,0,Biden
A27MJOV91GA8R3,2,Biden
A2KMA9Q6EMGWFK,0,Biden
A1RUQQGXCZ5K0Z,2,Biden
A1GKD3NG1NNHRP,4,Biden
ABLX7SHMLMFLT,3,Biden
A14EYTLSMJRPUK,2,Biden
A7P3R1AIA4TVV,4,Biden
A26RO8GGTQAXGG,4,Biden
A1ZAGA05V3SYTU,5,Biden
A3BUDBPUB2XP1Z,5,Biden
A1V91Z2CQKMR55,3,Biden
A24LUXW1DB1QI5,2,Biden
A1Z8AOIDT5IV43,3,Biden
A2M3FPQF852HW4,2,Biden
A3NMQ3019X6YE0,5,Biden
A1VEXF7BDDZIMI,2,Biden
A25FH7PXC446RG,5,Biden
A1GYBKY3JMM0PW,3,Biden
A1V2H0UF94ATWY,2,Biden
A2LI8283SXAJS9,5,Biden
A1QT7BQZVOBSY0,3,Biden
ACZXP89TIXCUA,5,Biden
A15LHHN76OW2UM,3,Biden
A1BAEFJ2OG7NJ0,3,Biden
A3RCI8CN5BSLTZ,3,Biden
A2QQ3FZXBM1SAX,5,Biden
A3BOM8JMRJADNN,3,Biden
AUY5E86D8FUSB,13,Biden
A2OEH60JF5MCOM,2,Biden
AE1DWQLNREKRF,2,Biden
A19OCD2Q0K2U6M,2,Biden
A3W1M37EJKYIZI,0,Biden
A342YLIMT6THWO,2,Biden
A1M24593XO5Z3C,3,Biden
A3KIZLHCD945UK,2,Biden
A154X03NKVZZL1,2,Biden
A3EIVR2LS7CCWB,2,Biden
A1DS5O8MSI3ZH0,2,Biden
A200IYYC46AXW6,4,Biden
A1LRVMS6IUA63,3,Biden
A2OW2CIT4H7364,4,Biden
A2OGCXGLS44ZAO,2,Biden
A3LVLZS8S41ZD7,2,Biden
A3208HNABZNMUH,7,Biden
AVD6HMIO1HLFI,2,Biden
A3MYTEE8WSEQ2Z,2,Biden
ARSABS3TFA1GU,2,Biden
A1Y9395AXC1FS0,3,Biden
A2DH6KE258SZBH,2,Biden
A1ING769NXJIHR,4,Bush
A3866W0JYJGPA3,4,Bush
A2J6S7QR4CGXTW,1,Bush
A2VR9O234UCT9T,1,Bush
A3B7TNVOISSZ2O,4,Bush
A38N2MBXP7IOPS,1,Bush
AXKVHJHF1EOVT,4,Bush
AUEUAS2AEDEG9,4,Bush
A2WY6HLF2YLSOF,4,Bush
A18WQFMR0385FB,3,Bush
A3HMKAABOE3IPR,0,Bush
A21IEJML0YFCM7,0,Bush
A3V4AW6DGWBHDO,1,Bush
A245OXK3FQ3VOE,5,Bush
AIK9IRPT4M848,1,Bush
A37S96RT1P1IT2,4,Bush
AWKUOA7M4P8YI,4,Bush
A3EVXSWHYA1PTT,1,Bush
A3P0WSCNMY8S6W,1,Bush
A3I55L67X0MWC4,1,Bush
A2UMLFMF60AX21,5,Bush
A37VR7ZPZBGC33,0,Bush
A3US4NGKXBVI48,4,Bush
A1SOIE67CIL16C,0,Bush
A2ANOUOKGWGM2O,0,Bush
AEW0SPMI84LP3,5,Bush
A1QY5ULJEES0KW,1,Bush
A1JFLTN8254HM0,0,Bush
A3FSDH6HUZPNQ8,1,Bush
A35TWG9VW1MB5S,1,Bush
ATJ897K0QT9X3,1,Bush
A1N1EF0MIRSEZZ,4,Bush
A2YFNU4B8ZJ6PN,0,Bush
A8D8BPNBHWZ6N,7,Bush
A2AM62BHO8G9MB,1,Bush
A3N770LD28YDL1,4,Bush
A2QBFXY9UQMJTT,1,Bush
A02785981Z0J31YV173X0,4,Bush
A377LTGWJKY2IW,1,Bush
A3F90N8YVKJ4I7,4,Bush
A3H23IA2R0AKX9,4,Bush
A3Q76G8HI55CQP,8,Bush
AVNXCGTZQ1CFK,3,Bush
A2OFN0A5CPLH57,4,Bush
