ID,Table,Concept
0,1,Barack Obama
1,0,Barack Obama
10,0,Barack Obama
11,0,Barack Obama
12,0,Barack Obama
13,0,Barack Obama
14,0,Barack Obama
15,0,Barack Obama
16,0,Barack Obama
17,0,Barack Obama
18,0,Barack Obama
19,0,Barack Obama
2,0,Barack Obama
20,0,Barack Obama
21,0,Barack Obama
22,0,Barack Obama
23,0,Barack Obama
24,0,Barack Obama
25,0,Barack Obama
26,0,Barack Obama
27,0,Barack Obama
28,0,Barack Obama
29,0,Barack Obama
3,0,Barack Obama
30,0,Barack Obama
31,0,Barack Obama
32,0,Barack Obama
33,0,Barack Obama
34,0,Barack Obama
35,0,Barack Obama
36,0,Barack Obama
37,0,Barack Obama
38,0,Barack Obama
39,0,Barack Obama
4,0,Barack Obama
40,0,Barack Obama
41,0,Barack Obama
42,0,Barack Obama
43,0,Barack Obama
44,0,Barack Obama
45,0,Barack Obama
46,0,Barack Obama
47,0,Barack Obama
48,0,Barack Obama
49,0,Barack Obama
5,0,Barack Obama
50,0,Barack Obama
51,0,Barack Obama
52,0,Barack Obama
53,0,Barack Obama
54,0,Barack Obama
55,0,Barack Obama
56,0,Barack Obama
57,0,Barack Obama
58,0,Barack Obama
59,0,Barack Obama
6,0,Barack Obama
60,0,Barack Obama
61,0,Barack Obama
62,0,Barack Obama
63,0,Barack Obama
64,0,Barack Obama
65,0,Barack Obama
66,0,Barack Obama
67,0,Barack Obama
68,0,Barack Obama
69,0,Barack Obama
7,0,Barack Obama
70,0,Barack Obama
71,0,Barack Obama
72,0,Barack Obama
73,0,Barack Obama
74,0,Barack Obama
75,0,Barack Obama
76,0,Barack Obama
77,0,Barack Obama
78,0,Barack Obama
79,0,Barack Obama
8,0,Barack Obama
80,0,Barack Obama
81,0,Barack Obama
82,0,Barack Obama
83,0,Barack Obama
84,0,Barack Obama
85,0,Barack Obama
86,0,Barack Obama
87,0,Barack Obama
88,0,Barack Obama
89,0,Barack Obama
9,0,Barack Obama
90,0,Barack Obama
91,0,Barack Obama
92,0,Barack Obama
93,0,Barack Obama
94,0,Barack Obama
95,0,Barack Obama
96,0,Barack Obama
97,0,Barack Obama
98,0,Barack Obama
99,0,Barack Obama
0,0,Bernie Sanders
1,0,Bernie Sanders
10,0,Bernie Sanders
11,0,Bernie Sanders
12,0,Bernie Sanders
13,0,Bernie Sanders
14,0,Bernie Sanders
15,0,Bernie Sanders
16,0,Bernie Sanders
17,0,Bernie Sanders
18,0,Bernie Sanders
19,0,Bernie Sanders
2,0,Bernie Sanders
20,0,Bernie Sanders
21,0,Bernie Sanders
22,0,Bernie Sanders
23,0,Bernie Sanders
24,0,Bernie Sanders
25,0,Bernie Sanders
26,0,Bernie Sanders
27,0,Bernie Sanders
28,0,Bernie Sanders
29,0,Bernie Sanders
3,0,Bernie Sanders
30,0,Bernie Sanders
31,0,Bernie Sanders
32,0,Bernie Sanders
33,0,Bernie Sanders
34,0,Bernie Sanders
35,0,Bernie Sanders
36,0,Bernie Sanders
37,0,Bernie Sanders
38,0,Bernie Sanders
39,0,Bernie Sanders
4,0,Bernie Sanders
40,0,Bernie Sanders
41,0,Bernie Sanders
42,0,Bernie Sanders
43,0,Bernie Sanders
44,0,Bernie Sanders
45,0,Bernie Sanders
46,0,Bernie Sanders
47,0,Bernie Sanders
48,0,Bernie Sanders
49,0,Bernie Sanders
5,0,Bernie Sanders
50,0,Bernie Sanders
51,0,Bernie Sanders
52,0,Bernie Sanders
53,0,Bernie Sanders
54,0,Bernie Sanders
55,0,Bernie Sanders
56,0,Bernie Sanders
57,0,Bernie Sanders
58,0,Bernie Sanders
59,0,Bernie Sanders
6,0,Bernie Sanders
60,0,Bernie Sanders
61,0,Bernie Sanders
62,0,Bernie Sanders
63,0,Bernie Sanders
64,0,Bernie Sanders
65,0,Bernie Sanders
66,0,Bernie Sanders
67,0,Bernie Sanders
68,0,Bernie Sanders
69,0,Bernie Sanders
7,0,Bernie Sanders
70,0,Bernie Sanders
71,0,Bernie Sanders
72,0,Bernie Sanders
73,0,Bernie Sanders
74,0,Bernie Sanders
75,0,Bernie Sanders
76,0,Bernie Sanders
77,0,Bernie Sanders
78,0,Bernie Sanders
79,0,Bernie Sanders
8,0,Bernie Sanders
80,0,Bernie Sanders
81,0,Bernie Sanders
82,0,Bernie Sanders
83,0,Bernie Sanders
84,0,Bernie Sanders
85,0,Bernie Sanders
86,0,Bernie Sanders
87,0,Bernie Sanders
88,0,Bernie Sanders
89,0,Bernie Sanders
9,0,Bernie Sanders
90,0,Bernie Sanders
91,0,Bernie Sanders
92,0,Bernie Sanders
93,0,Bernie Sanders
94,0,Bernie Sanders
95,0,Bernie Sanders
96,0,Bernie Sanders
97,0,Bernie Sanders
98,0,Bernie Sanders
99,0,Bernie Sanders
